SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,UPDATE_XACT_RESPONSE_TIME,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,RG_NTCB,RG_NTCB_S,avgLocalGetTime,localReadOnlyTxCommitServiceTime,gMUClusteredGetCommandWaitingTime,avgWriteTxDuration,remoteUpdateTxPrepareResponseTime,localReadOnlyTxPrepareResponseTime,numKilledTxDueToValidation,localReadOnlyTxRemoteNodesRead,numLocalTxWaitingTimeInGMUQueueDueToSlowCommits,applicationContentionFactor,remoteUpdateTxCommitServiceTime,avgCompleteNotificationAsync,gMUWaitingTimeEnabled,avgLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgNumNodesCommit,numRemoteRemoteLockContentions,tOGMUPrepareRttMinusMaxValidationTime,avgCommitAsync,localUpdateTxTotalCpuTime,localUpdateCommittedXact,avgPrepareAsync,numLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,localReadOnlyTxPrepareServiceTime,waitedTimeInLocalCommitQueue,localUpdateTxLocalServiceTime,remoteUpdateTxPrepareServiceTime,avgNumOfLockRemoteTx,numWaitedLocalCommits,avgPutsPerWrTransaction,localUpdateTxCommitServiceTime,avgTOGMUPrepareNoWaitRtt,numberOfRemotePuts,avgTCBTime,numRemoteTxWaitingTimeInGMUQueueDuePendingTx,numTOGMUSuccessfulPrepareNoWait,numAbortedTxDueToWriteLock,avgNumNodesRemoteGet,currentState,localUpdateTxRemoteRollbackServiceTime,avgRemoteTxWaitingTimeInGMUQueueDuePendingTx,numberOfRemoteGets,avgLocalTxWaitingTimeInGMUQueueDuePendingTx,tOGMUPrepareWaitProbability,avgLocalLockHoldTime,avgNumAsyncSentCommitMsgs,avgPrepareCommandSize,numRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,tOGMUAvgSuccessfulValidationResponseTime,numLocalRemoteLockContentions,avgResponseTime,localReadOnlyCommittedXact,currentProtocolInfo,avgRemoteLockHoldTime,numberOfCommits,tOAvgValidationConditionalWaitTime,numOwnedWrItemsInLocalPrepare,avgRollbackCommandSize,numReadsBeforeWrite,numAbortedTxDueToValidation,abortRate,localUpdateTxLocalRollbackResponseTime,numberOfLocalCommits,avgNumOfLockLocalTx,avgGetsPerWrTransaction,remoteUpdateTxRollbackServiceTime,readOnlyTxTotalResponseTime,avgLockWaitingTime,currentProtocolAsInt,allowProtocolSwitch,remoteUpdateTxRollbackResponseTime,remotePutExecutionTime,avgRemoteTxCompleteNotifyTime,numOwnedWrItemsInRemotePrepare,avgReadOnlyTxDuration,avgClusteredGetCommandReplySize,numWaitedRemoteCommits,avgNumNodesRollback,replicationDegree,avgLocalLocalAbortLockHoldTime,remoteContentionProbability,numberOfPuts,avgNumSyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,avgGmuClusteredGetCommandRttNoWait,coolDownTimeExpired,avgRemotePutsPerWrTransaction,readOnlyTxTotalCpuTime,numWaitedRemoteGets,numLocalLocalLockContentions,avgClusteredGetCommandSize,tOMaxSuccessfulValidationWaitingTime,localUpdateTxRemoteRollbackResponseTime,enabled,localUpdateTxTotalResponseTime,avgRemoteGetsPerROTransaction,avgPrepareRtt,avgRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,numEarlyAborts,avgRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,terminationCost,throughput,tOGMUPrepareRttMinusAvgValidationTime,avgLocalSuccessfulLockHoldTime,avgCommitCommandSize,avgNumNodesCompleteNotification,switchCoolDownTime,numOwnedRdItemsInRemotePrepare,lockContentionProbability,tOPrepareWaitTime,remotelyDeadXact,avgGetsPerROTransaction,avgNumNodesPrepare,numLocalTxWaitingTimeInGMUQueueDuePendingTx,localActiveTransactions,localUpdateTxRemoteNodesRead,availableProtocolsInfo,localUpdateTxLocalRollbackServiceTime,tOGMUAvgSuccessfulValidationServiceTime,currentProtocolId,numLocalPrepareAborts,avgRemoteGetsPerWrTransaction,numOwnedRdItemsInLocalPrepare,avgAbortedWriteTxDuration,localUpdateTxPrepareServiceTime,remoteUpdateTxCommitResponseTime,avgLocalRemoteAbortLockHoldTime,numRemoteLocalLockContentions,localUpdateTxLocalResponseTime,remoteGetResponseTime,numAbortedTxDueDeadlock,localReadOnlyTxLocalResponseTime,localReadOnlyTxLocalServiceTime,avgNumOfLockSuccessLocalTx,avgNTCBTime,numAbortedTxDueToReadLock,localUpdateTxPrepareResponseTime,numberOfGets,avgCommitRtt,avgRemoteGetRtt,updateXactToPrepare,gMUClusteredGetCommandServiceTime,currentEpoch,avgLocalTxWaitingTimeInGMUQueueDueToSlowCommits,localUpdateTxCommitResponseTime,waitedTimeInRemoteCommitQueue,remoteGetServiceTime,localContentionProbability,avgNumPutsBySuccessfulLocalTx,avgLockHoldTime,availableProtocolIds,gMUClusteredGetCommandResponseTime,tONumValidationWaited,numAbortedXacts,avgTxArrivalRate,percentageSuccessWriteTransactions,avgRollbackAsync,localReadOnlyTxCommitResponseTime,writeSkewProbability,avgRollbackRtt,percentageWriteTransactions,Before,After
0,179989,0,32193,32561,0,0,4121.708956143853,1403.487220917591,4121.708956143853,2.0082843839762794,2759.166554866251,0.7030693458351953,3.265113418666667E8,1,200000,UNIFORM,1,13.402890060845662,8.171139898693518,20,0,0,4067,27,0,0,0.9578169167210263,0,0.0,26,0,false,0,4,0,0,373,536,32561,0,0,0,0,176,26,0,0,1.0,132,0,16344,478,0,0,0,1,SAFE,0,0,64763,0,0,2483,3,664,0,0,0,2720,32193,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1922,180934,0,0.49804981419489575,0,-1.0,0,0.0,0,64754,0,2,0,1359,0,0,true,0,21,0,1.0,1357,0,0,0,4,0,0.0,32561,0,0,0,true,0.5019501858051043,175,0,0,44,0,0,true,4070,1.0007765663342962,2093,0,0,0,12681,359.74444444444447,0,2483,71,0,60,0.0,0.0,0,0,2,4,0,0,0.9560517183133196,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.9995086146002887,0.0,0,203,26,0,0,1371,1237,0,1308,145,0,51,0,2193,129508,0,1176,32561,0,0,0,456,0,103,0.0,1.0,1991,2PC__ TO__ PB,0,0,0,1005.1888888888889,0.5028415233035797,0,0,0.0,0,0.5028415233035797,99760,99760
1,179996,0,33179,33124,0,0,3986.042071911605,1426.9702250519906,3986.042071911605,1.7821702939535164,2648.181054039367,0.735436440206266,2.88673352E8,1,200000,UNIFORM,1,13.299236535300063,7.555376664705971,19,0,0,3932,24,0,0,0.9534946803701136,0,0.0,24,0,false,0,4,0,0,375,536,33124,0,0,0,0,182,24,0,0,1.0,131,0,16707,456,0,0,0,1,SAFE,0,0,66011,0,0,2343,3,664,0,0,0,2655,33179,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},2091,182523,0,0.4956225093587731,0,-1.0,0,0.0,0,66303,0,2,0,1383,0,0,true,0,35,0,1.0,1381,0,0,0,4,0,0.0,33124,0,0,0,true,0.5043774906412269,167,0,0,44,0,0,true,3935,0.9937611139576238,1972,0,0,0,13688,368.35,0,2343,71,0,60,0.0,0.0,0,0,2,4,0,0,0.9537193575655114,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.9974338847965222,0.0,0,198,24,0,0,1350,1232,0,1333,136,0,50,0,2076,132606,0,1175,33124,0,0,0,460,0,96,0.0,1.0,2122,2PC__ TO__ PB,0,0,0,1014.0166666666667,0.499585237470401,0,0,0.0,0,0.499585237470401,99884,99884
2,179995,0,33285,33737,0,0,4002.145240744583,1331.4743632567222,4002.145240744583,1.5540907761630511,2683.519583098675,0.7284309432288746,2.9762473706666666E8,1,200000,UNIFORM,1,13.609956864910028,8.219201620363464,19,0,0,3950,26,0,0,0.9521406038756196,0,0.0,25,0,false,0,4,0,0,366,547,33737,0,0,0,0,185,24,0,0,1.0,134,0,16694,467,0,0,0,1,SAFE,0,0,66846,0,0,2378,3,664,0,0,0,2627,33285,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1911,182778,0,0.5051723626878502,0,-1.0,0,0.0,0,67022,0,2,0,1288,0,0,true,0,36,0,1.0,1286,0,0,0,4,0,0.0,33737,0,0,0,true,0.49482763731214985,172,0,0,44,0,0,true,3953,0.9996394772420009,2018,0,0,0,12448,372.34444444444443,0,2378,71,0,60,0.0,0.0,0,0,2,4,0,0,0.9496102202329786,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.9951388683048286,0.0,0,202,23,0,0,1330,1169,0,1236,139,0,51,0,2121,134044,0,1114,33737,0,0,0,453,0,97,0.0,1.0,1972,2PC__ TO__ PB,0,0,0,1015.4333333333333,0.5033720270955806,0,0,0.0,0,0.5033720270955806,99866,99866
3,179995,0,32954,32493,0,0,4109.819880497338,1391.0104624021362,4109.819880497338,2.3808301832016747,2763.4269712553473,0.6185426861072202,2.9870292693333334E8,1,200000,UNIFORM,1,13.415422922364662,7.926756627500114,19,0,0,4051,27,0,0,0.9554227104448625,0,0.0,24,0,false,0,4,0,0,373,552,32493,0,0,0,0,186,25,0,0,1.0,134,0,16130,477,0,0,0,1,SAFE,0,0,65223,0,0,2395,3,664,0,0,0,2687,32954,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},2023,182270,0,0.5035853876219494,0,-1.0,0,0.0,0,65447,0,2,0,1344,0,0,true,0,37,0,1.0,1342,0,0,0,4,0,0.0,32493,0,0,0,true,0.4964146123780507,171,0,0,44,0,0,true,4054,0.9970261576743339,2078,0,0,0,13315,363.59444444444443,0,2395,71,0,60,0.0,0.0,0,0,2,4,0,0,0.952297417905395,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.9961222417135999,0.0,0,207,23,0,0,1359,1213,0,1292,139,0,54,0,2187,130894,0,1156,32493,0,0,0,457,0,98,0.0,1.0,2070,2PC__ TO__ PB,0,0,0,1012.6111111111111,0.49647806622152274,0,0,0.0,0,0.49647806622152274,100164,100164
4,180005,0,33753,33806,0,0,3980.8124058451162,1327.311617456226,3980.8124058451162,1.949912165662606,2573.450639797669,0.7631764868730345,2.95104936E8,1,200000,UNIFORM,1,13.243089196110066,7.76749848280762,19,0,0,3926,27,0,0,0.949634106597932,0,0.0,24,0,false,0,4,0,0,360,530,33806,0,0,0,0,181,24,0,0,1.0,129,0,16825,443,0,0,0,1,SAFE,0,0,67206,0,0,2355,3,664,0,0,0,2604,33753,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},2046,184006,0,0.5023072827308762,0,-1.0,0,0.0,0,67559,0,2,0,1282,0,0,true,0,32,0,1.0,1279,0,0,0,4,0,0.0,33806,0,0,0,true,0.49769271726912384,166,0,0,44,0,0,true,3929,0.9939560927917519,1922,0,0,0,13088,375.3277777777778,0,2355,71,0,60,0.0,0.0,0,0,2,4,0,0,0.9532627344258415,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.9955924983730698,0.0,0,196,71,0,0,1418,1221,0,1233,136,0,52,0,2020,135118,0,1166,33806,0,0,0,442,0,95,0.0,1.0,2084,2PC__ TO__ PB,0,0,0,1022.2555555555556,0.5003922497372667,0,0,0.0,0,0.5003922497372667,100264,100264
5,179995,0,33336,33677,0,0,3990.310346646079,1350.9148788396928,3990.310346646079,2.0540800292480563,2691.871512159634,0.7789067609448762,2.8976032746666664E8,1,200000,UNIFORM,1,12.152194216047631,7.71126596332055,19,0,0,3936,25,0,0,0.955153587712983,0,0.0,24,0,false,0,4,0,0,379,554,33677,0,0,0,0,182,24,0,0,1.0,137,0,16730,465,0,0,0,1,SAFE,0,0,66880,0,0,2323,3,664,0,0,0,2626,33336,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1897,183353,0,0.5032217834130118,0,-1.0,0,0.0,0,67013,0,2,0,1304,0,0,true,0,33,0,1.0,1302,0,0,0,4,0,0.0,33677,0,0,0,true,0.4967782165869882,168,0,0,44,0,0,true,3939,0.9992200623950084,2018,0,0,0,13264,372.2944444444444,0,2323,71,0,60,0.0,0.0,0,0,2,4,0,0,0.9547465629361285,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.9968227573714998,0.0,0,210,24,0,0,1308,1172,0,1253,137,0,51,0,2122,134026,0,1116,33677,0,0,0,461,0,96,0.0,1.0,1951,2PC__ TO__ PB,0,0,0,1018.6277777777777,0.5025442824526585,0,0,0.0,0,0.5025442824526585,100267,100267
6,180001,0,33660,33676,0,0,3993.1725517579284,1335.912931818182,3993.1725517579284,1.4504821937745038,2679.969355653878,0.7759261373131268,2.9564120373333335E8,1,200000,UNIFORM,1,12.708838229179042,7.678731332422479,19,0,0,3940,26,0,0,0.9532382650029709,0,0.0,25,0,false,0,4,0,0,380,553,33676,0,0,0,0,184,24,0,0,1.0,138,0,16788,462,0,0,0,1,SAFE,0,0,67458,0,0,3027,3,664,0,0,0,2615,33660,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1924,183747,0,0.5014847369046205,0,-1.0,0,0.0,0,67336,0,2,0,1293,0,0,true,0,33,0,1.0,1291,0,0,0,4,0,0.0,33676,0,0,0,true,0.4985152630953795,168,0,0,44,0,0,true,3942,0.9985739750445632,2013,0,0,0,11831,374.0888888888889,0,3027,71,0,60,0.0,0.0,0,0,2,4,0,0,0.9588727877420121,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,1.0050481054757097,0.0,0,207,23,0,0,1325,1172,0,1245,138,0,50,0,2112,134672,0,1117,33676,0,0,0,458,0,98,0.0,1.0,2059,2PC__ TO__ PB,0,0,0,1020.8166666666667,0.5001188071759535,0,0,0.0,0,0.5001188071759535,99971,99971
7,179995,0,32665,32749,0,0,4099.562229228373,1382.7440080514314,4099.562229228373,1.763739994496591,2765.1057038688205,0.6865560411031818,2.9112424693333334E8,1,200000,UNIFORM,1,12.959190830709023,7.948337756443575,19,0,0,4043,26,0,0,0.9500382672585336,0,0.0,24,0,false,0,4,0,0,397,562,32749,0,0,0,0,185,24,0,0,1.0,140,0,16376,476,0,0,0,1,SAFE,0,0,65255,0,0,2398,3,664,0,0,0,2690,32665,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1912,181320,0,0.49995419707471983,0,-1.0,0,0.0,0,65414,0,2,0,1337,0,0,true,0,34,0,1.0,1334,0,0,0,4,0,0.0,32749,0,0,0,true,0.5000458029252801,171,0,0,44,0,0,true,4046,0.9980407163630798,2077,0,0,0,13011,363.4111111111111,0,2398,71,0,60,0.0,0.0,0,0,2,4,0,0,0.9501969525787047,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.9970991480655897,0.0,0,213,23,0,0,1345,1207,0,1285,140,0,52,0,2178,130828,0,1151,32749,0,0,0,475,0,99,0.0,1.0,1972,2PC__ TO__ PB,0,0,0,1007.3333333333334,0.500642064389886,0,0,0.0,0,0.500642064389886,99856,99856
