SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,UPDATE_XACT_RESPONSE_TIME,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,RG_NTCB,RG_NTCB_S,avgLocalGetTime,localReadOnlyTxCommitServiceTime,gMUClusteredGetCommandWaitingTime,avgWriteTxDuration,remoteUpdateTxPrepareResponseTime,localReadOnlyTxPrepareResponseTime,numKilledTxDueToValidation,numLocalTxWaitingTimeInGMUQueueDueToSlowCommits,localReadOnlyTxRemoteNodesRead,applicationContentionFactor,gMUWaitingTimeEnabled,avgCompleteNotificationAsync,avgLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,remoteUpdateTxCommitServiceTime,tOGMUPrepareRttMinusMaxValidationTime,numRemoteRemoteLockContentions,avgNumNodesCommit,avgCommitAsync,localUpdateTxTotalCpuTime,localUpdateCommittedXact,avgPrepareAsync,numLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,localReadOnlyTxPrepareServiceTime,waitedTimeInLocalCommitQueue,avgNumOfLockRemoteTx,localUpdateTxLocalServiceTime,remoteUpdateTxPrepareServiceTime,avgPutsPerWrTransaction,numWaitedLocalCommits,localUpdateTxCommitServiceTime,avgTOGMUPrepareNoWaitRtt,numberOfRemotePuts,avgTCBTime,numRemoteTxWaitingTimeInGMUQueueDuePendingTx,numTOGMUSuccessfulPrepareNoWait,numAbortedTxDueToWriteLock,avgNumNodesRemoteGet,currentState,localUpdateTxRemoteRollbackServiceTime,avgRemoteTxWaitingTimeInGMUQueueDuePendingTx,numberOfRemoteGets,avgLocalTxWaitingTimeInGMUQueueDuePendingTx,tOGMUPrepareWaitProbability,avgLocalLockHoldTime,avgNumAsyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgPrepareCommandSize,tOGMUAvgSuccessfulValidationResponseTime,numLocalRemoteLockContentions,avgResponseTime,localReadOnlyCommittedXact,currentProtocolInfo,avgRemoteLockHoldTime,numberOfCommits,tOAvgValidationConditionalWaitTime,numOwnedWrItemsInLocalPrepare,avgRollbackCommandSize,numReadsBeforeWrite,numAbortedTxDueToValidation,localUpdateTxLocalRollbackResponseTime,abortRate,avgNumOfLockLocalTx,numberOfLocalCommits,avgGetsPerWrTransaction,remoteUpdateTxRollbackServiceTime,readOnlyTxTotalResponseTime,avgLockWaitingTime,allowProtocolSwitch,currentProtocolAsInt,remoteUpdateTxRollbackResponseTime,remotePutExecutionTime,avgRemoteTxCompleteNotifyTime,numOwnedWrItemsInRemotePrepare,avgReadOnlyTxDuration,avgClusteredGetCommandReplySize,numWaitedRemoteCommits,avgNumNodesRollback,replicationDegree,avgLocalLocalAbortLockHoldTime,remoteContentionProbability,numberOfPuts,avgNumSyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,avgGmuClusteredGetCommandRttNoWait,coolDownTimeExpired,avgRemotePutsPerWrTransaction,readOnlyTxTotalCpuTime,numWaitedRemoteGets,numLocalLocalLockContentions,avgClusteredGetCommandSize,tOMaxSuccessfulValidationWaitingTime,localUpdateTxRemoteRollbackResponseTime,enabled,localUpdateTxTotalResponseTime,avgRemoteGetsPerROTransaction,avgPrepareRtt,avgRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,numEarlyAborts,avgRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,terminationCost,throughput,tOGMUPrepareRttMinusAvgValidationTime,avgCommitCommandSize,avgLocalSuccessfulLockHoldTime,avgNumNodesCompleteNotification,switchCoolDownTime,lockContentionProbability,numOwnedRdItemsInRemotePrepare,tOPrepareWaitTime,avgGetsPerROTransaction,remotelyDeadXact,avgNumNodesPrepare,numLocalTxWaitingTimeInGMUQueueDuePendingTx,localActiveTransactions,localUpdateTxRemoteNodesRead,availableProtocolsInfo,localUpdateTxLocalRollbackServiceTime,tOGMUAvgSuccessfulValidationServiceTime,currentProtocolId,numLocalPrepareAborts,avgRemoteGetsPerWrTransaction,numOwnedRdItemsInLocalPrepare,avgAbortedWriteTxDuration,localUpdateTxPrepareServiceTime,remoteUpdateTxCommitResponseTime,avgLocalRemoteAbortLockHoldTime,localUpdateTxLocalResponseTime,numRemoteLocalLockContentions,remoteGetResponseTime,numAbortedTxDueDeadlock,localReadOnlyTxLocalServiceTime,localReadOnlyTxLocalResponseTime,avgNumOfLockSuccessLocalTx,avgNTCBTime,numAbortedTxDueToReadLock,localUpdateTxPrepareResponseTime,numberOfGets,avgCommitRtt,avgRemoteGetRtt,updateXactToPrepare,gMUClusteredGetCommandServiceTime,currentEpoch,avgLocalTxWaitingTimeInGMUQueueDueToSlowCommits,waitedTimeInRemoteCommitQueue,localUpdateTxCommitResponseTime,remoteGetServiceTime,localContentionProbability,avgNumPutsBySuccessfulLocalTx,avgLockHoldTime,availableProtocolIds,gMUClusteredGetCommandResponseTime,tONumValidationWaited,numAbortedXacts,avgTxArrivalRate,percentageSuccessWriteTransactions,avgRollbackAsync,localReadOnlyTxCommitResponseTime,writeSkewProbability,avgRollbackRtt,percentageWriteTransactions,Before,After
0,180562,0,87,82,0,0,1058528.591597561,1077542.1462988504,1058528.591597561,6.885562130177514,6567.055987804879,0.6073571126694447,1.423132432E8,1,100000,UNIFORM,1,81.44739053254438,54.54279881656805,18,0,0,1058282,180,0,0,0,39.0,0.0,false,0,0,134,0,0,8,772,100299,82,0,0,0,0,0,98884,180,5.0,0,484,0,394,20,0,0,0,1,SAFE,0,0,160676,0,0,5414,8,0,2863,0,0,1068050,87,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4147,908,0,0.1951219512195122,0,-1.0,0,0,0.0,0,169,1000,0,1077265,0,true,0,0,47,0,1.094722598105548,1077257,0,0,0,2,0,0.0,410,0,0,0,true,4.804878048780488,103831,0,0,43,0,0,true,1058298,951.4942528735633,4344,0,0,0,82785,0.9388888888888889,0,71,5414,0,60,0.0,0.0,0,1000,0,8,0,0,39.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,949.9512195121952,0.0,0,846,255,0,1052032,0,1099,0,103487,1076774,0,239,0,4813,169000,0,1057,82,0,0,0,0,1343,94,0.0,5.0,4172,2PC__ TO__ PB,0,0,0,5.044444444444444,0.48520710059171596,0,0,0.0,0,0.48520710059171596,4940,4940
1,180766,0,92,77,0,0,1072947.8511298702,1066658.5273152173,1072947.8511298702,10.165792899408283,7588.515025974026,0.6270332015952158,8.297062453333333E7,1,100000,UNIFORM,1,86.94867455621302,55.717076923076924,15,0,0,1072674,209,0,0,0,39.0,0.0,false,0,0,146,0,0,9,954,99668,77,0,0,0,0,0,97868,181,5.0,0,658,0,366,22,0,0,0,1,SAFE,0,0,160696,0,0,4765,8,0,2863,0,0,1069266,92,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4131,911,0,0.24675324675324675,0,-1.0,0,0,0.0,0,169,1000,0,1066421,0,true,0,0,102,0,1.091644204851752,1066414,0,0,0,2,0,0.0,385,0,0,0,true,4.753246753246753,98989,0,0,43,0,0,true,1072684,950.8369565217391,5180,0,0,0,75750,0.9388888888888889,0,71,4765,0,60,0.0,0.0,0,1000,0,9,0,0,39.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,950.8961038961039,0.0,0,1048,141,0,1065393,0,1099,0,98642,1066008,0,246,0,5713,169000,0,1063,77,0,0,0,0,1424,90,0.0,5.0,4147,2PC__ TO__ PB,0,0,0,5.061111111111111,0.4556213017751479,0,0,0.0,0,0.4556213017751479,4873,4873
2,180212,0,89,89,0,0,1026599.3016067415,998060.2801910111,1026599.3016067415,12.873168539325842,6671.529292134832,0.6850501551341189,7.039154026666667E7,1,100000,UNIFORM,1,124.63708988764046,53.28728651685394,14,0,0,1026362,192,0,0,0,39.0,0.0,false,0,0,129,0,0,9,806,99874,89,0,0,0,0,0,98156,169,5.0,0,631,0,425,21,0,0,0,1,SAFE,0,0,169024,0,0,4994,8,0,2863,0,0,1012056,89,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4125,950,0,0.2247191011235955,0,-1.0,0,0,0.0,0,178,1000,0,997757,0,true,0,0,83,0,1.0958549222797926,997750,0,0,0,2,0,0.0,445,0,0,0,true,4.775280898876405,93493,0,0,43,0,0,true,1026370,949.7865168539325,4611,0,0,0,66080,0.9888888888888889,0,71,4994,0,60,0.0,0.0,0,1000,0,9,0,0,39.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,949.3595505617977,0.0,0,1003,124,0,1019988,0,1041,0,93170,997302,0,267,0,5034,178000,0,1007,89,0,0,0,0,1247,88,0.0,5.0,4153,2PC__ TO__ PB,0,0,0,5.277777777777778,0.5,0,0,0.0,0,0.5,5036,5036
3,180201,0,85,86,0,0,1064427.9880465115,1042776.8238235294,1064427.9880465115,9.30038596491228,7357.300848837209,0.6486570398199879,8.732468746666667E7,1,100000,UNIFORM,1,133.83244444444443,57.28292397660819,16,0,0,1063955,207,0,0,0,39.0,0.0,false,0,0,143,0,0,8,1073,104116,86,0,0,0,0,0,102413,185,5.0,0,645,0,412,20,0,0,0,1,SAFE,0,0,162591,0,0,7852,8,0,2863,0,0,1053318,85,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4050,880,0,0.20930232558139536,0,-1.0,0,0,0.0,0,171,1000,0,1042563,0,true,0,0,91,0,1.1100141043723555,1042556,0,0,0,2,0,0.0,430,0,0,0,true,4.790697674418604,97230,0,0,43,0,0,true,1063963,951.0235294117647,4707,0,0,0,82443,0.95,0,71,7852,0,60,0.0,0.0,0,1000,0,8,0,0,39.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,950.6279069767442,0.0,0,966,139,0,1057060,0,1083,0,96879,1042050,0,366,0,5157,171000,0,1045,86,0,0,0,0,1551,92,0.0,5.0,4120,2PC__ TO__ PB,0,0,0,4.888888888888889,0.5029239766081871,0,0,0.0,0,0.5029239766081871,4984,4984
4,180418,0,90,83,0,0,1043060.1427710843,1042476.6672777778,1043060.1427710843,6.213757225433526,7366.468409638554,0.5614725069629457,7.83160576E7,1,100000,UNIFORM,1,110.41826011560694,53.04189595375722,14,0,0,1042834,180,0,0,0,39.0,0.0,false,0,0,139,0,0,9,936,103451,83,0,0,0,0,0,101592,182,5.0,0,685,0,389,22,0,0,0,1,SAFE,0,0,164384,0,0,6593,8,0,2863,0,0,1042535,90,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4166,960,0,0.3132530120481928,0,-1.0,0,0,0.0,0,173,1000,0,1042269,0,true,0,0,89,0,1.1027918781725887,1042260,0,0,0,2,0,0.0,415,0,0,0,true,4.686746987951807,99729,0,0,43,0,0,true,1042846,950.1444444444444,4910,0,0,0,72034,0.9611111111111111,0,71,6593,0,60,0.0,0.0,0,1000,0,9,0,0,39.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,950.2530120481928,0.0,0,1084,134,0,1035849,0,1071,0,99389,1041812,0,251,0,5411,173000,0,1034,83,0,0,0,0,1465,92,0.0,5.0,4231,2PC__ TO__ PB,0,0,0,5.338888888888889,0.4797687861271676,0,0,0.0,0,0.4797687861271676,4970,4970
5,180283,0,97,73,0,0,1045166.7531232877,1071828.7769381444,1045166.7531232877,5.976488235294117,7113.449328767124,0.6049416356273507,7.879426293333334E7,1,100000,UNIFORM,1,83.93108235294117,57.1458,14,0,0,1044911,175,0,0,0,39.0,0.0,false,0,0,142,0,0,9,930,100179,73,0,0,0,0,0,98397,178,5.0,0,654,0,346,20,0,0,0,1,SAFE,0,0,161397,0,0,8504,8,0,2863,0,0,1060130,97,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4611,933,0,0.2602739726027397,0,-1.0,0,0,0.0,0,170,1000,0,1071589,0,true,0,0,102,0,1.1231979030144168,1071582,0,0,0,2,0,0.0,365,0,0,0,true,4.739726027397261,102596,0,0,43,0,0,true,1044927,949.1958762886597,4639,0,0,0,70930,0.9444444444444444,0,71,8504,0,60,0.0,0.0,0,1000,0,9,0,0,39.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,949.6575342465753,0.0,0,1041,137,0,1038103,0,1093,0,102284,1071181,0,242,0,5072,170000,0,1054,73,0,0,0,0,1391,93,0.0,5.0,4672,2PC__ TO__ PB,0,0,0,5.183333333333334,0.4294117647058823,0,0,0.0,0,0.4294117647058823,4980,4980
6,180410,0,91,83,0,0,1056161.8890481927,1018989.6916813187,1056161.8890481927,8.225672413793104,8167.206457831325,0.6021363519429668,7.7258088E7,1,100000,UNIFORM,1,103.9727356321839,53.98251724137931,16,0,0,1055873,196,0,0,0,39.0,0.0,false,0,0,133,0,0,9,927,107906,83,0,0,0,0,0,106049,176,5.0,0,706,0,392,21,0,0,0,1,SAFE,0,0,165229,0,0,7695,8,0,2863,0,0,1036455,91,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4189,922,0,0.27710843373493976,0,-1.0,0,0,0.0,0,174,1000,0,1018752,0,true,0,0,115,0,1.108288770053476,1018743,0,0,0,2,0,0.0,415,0,0,0,true,4.72289156626506,99301,0,0,43,0,0,true,1055884,948.7802197802198,5746,0,0,0,81148,0.9666666666666667,0,71,7695,0,60,0.0,0.0,0,1000,0,9,0,0,39.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,950.4819277108434,0.0,0,1055,129,0,1048077,0,1066,0,98965,1018323,0,260,0,6184,174000,0,1026,83,0,0,0,0,1456,95,0.0,5.0,4283,2PC__ TO__ PB,0,0,0,5.122222222222222,0.47701149425287354,0,0,0.0,0,0.47701149425287354,5003,5003
7,180034,0,74,94,0,0,1070788.2107765956,1072408.774054054,1070788.2107765956,11.205351190476192,7188.946691489362,0.6327275127135058,7.504995733333333E7,1,100000,UNIFORM,1,130.53215476190476,61.26401785714285,17,0,0,1070541,175,0,0,0,39.0,0.0,false,0,0,141,0,0,8,1063,103551,94,0,0,0,0,0,101686,178,5.0,0,719,0,440,22,0,0,0,1,SAFE,0,0,159921,0,0,7641,8,0,2863,0,0,1071235,74,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4484,908,0,0.3191489361702128,0,-1.0,0,0,0.0,0,168,1000,0,1072122,0,true,0,0,94,0,1.1067567567567567,1072116,0,0,0,2,0,0.0,470,0,0,0,true,4.680851063829787,104862,0,0,43,0,0,true,1070558,950.418918918919,4869,0,0,0,75827,0.9333333333333333,0,71,7641,0,60,0.0,0.0,0,1000,0,8,0,0,39.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,953.0851063829788,0.0,0,1054,136,0,1063631,0,1099,0,104543,1071663,0,276,0,5302,168000,0,1057,94,0,0,0,0,1493,95,0.0,5.0,4591,2PC__ TO__ PB,0,0,0,5.044444444444444,0.5595238095238095,0,0,0.0,0,0.5595238095238095,4907,4907
8,180440,0,86,90,0,0,1030257.3938,1019760.8608488373,1030257.3938,7.197494318181818,6419.859133333333,0.599712467994368,7.481736213333334E7,1,100000,UNIFORM,1,91.69400568181818,56.41661363636364,16,0,0,1030009,174,0,0,0,39.0,0.0,false,0,0,137,0,0,8,937,101253,90,0,0,0,0,0,99498,176,5.0,0,666,0,427,20,0,0,0,1,SAFE,0,0,167005,0,0,5184,8,0,2863,0,0,1024860,86,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4327,936,0,0.25555555555555554,0,-1.0,0,0,0.0,0,176,1000,0,1019482,0,true,0,0,78,0,1.1223684210526317,1019472,0,0,0,2,0,0.0,450,0,0,0,true,4.7444444444444445,99426,0,0,43,0,0,true,1030027,948.3139534883721,4073,0,0,0,87582,0.9777777777777777,0,71,5184,0,60,0.0,0.0,0,1000,0,8,0,0,39.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,949.4444444444445,0.0,0,996,133,0,1023889,0,1056,0,99083,1019010,0,247,0,4521,176000,0,1018,90,0,0,0,0,1480,92,0.0,5.0,4348,2PC__ TO__ PB,0,0,0,5.2,0.5113636363636364,0,0,0.0,0,0.5113636363636364,5110,5110
9,180093,0,78,90,0,0,1091215.8603777778,1049502.4313205127,1091215.8603777778,6.155232142857143,6966.057177777778,0.6001521310277556,7.252369493333334E7,1,100000,UNIFORM,1,130.03316666666666,58.04128571428572,16,0,0,1090966,186,0,0,0,39.0,0.0,false,0,0,144,0,0,8,1108,109943,90,0,0,0,0,0,108097,186,5.0,0,703,0,422,21,0,0,0,1,SAFE,0,0,159602,0,0,5175,8,0,2863,0,0,1071578,78,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4091,903,0,0.3111111111111111,0,-1.0,0,0,0.0,0,168,1000,0,1049215,0,true,0,0,85,0,1.110204081632653,1049208,0,0,0,2,0,0.0,450,0,0,0,true,4.688888888888889,100393,0,0,43,0,0,true,1090986,949.525641025641,4324,0,0,0,81098,0.9333333333333333,0,71,5175,0,60,0.0,0.0,0,1000,0,8,0,0,39.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,950.4333333333333,0.0,0,1052,138,0,1084413,0,1102,0,100041,1048743,0,293,0,4824,168000,0,1061,90,0,0,0,0,1613,97,0.0,5.0,4131,2PC__ TO__ PB,0,0,0,5.016666666666667,0.5357142857142857,0,0,0.0,0,0.5357142857142857,4980,4980
