SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,UPDATE_XACT_RESPONSE_TIME,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,RG_NTCB,RG_NTCB_S,avgLocalGetTime,localReadOnlyTxCommitServiceTime,gMUClusteredGetCommandWaitingTime,avgWriteTxDuration,remoteUpdateTxPrepareResponseTime,numKilledTxDueToValidation,localReadOnlyTxPrepareResponseTime,numLocalTxWaitingTimeInGMUQueueDueToSlowCommits,applicationContentionFactor,avgLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgCompleteNotificationAsync,remoteUpdateTxCommitServiceTime,gMUWaitingTimeEnabled,tOGMUPrepareRttMinusMaxValidationTime,numRemoteRemoteLockContentions,avgNumNodesCommit,avgCommitAsync,localUpdateTxTotalCpuTime,avgPrepareAsync,numLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,localReadOnlyTxPrepareServiceTime,waitedTimeInLocalCommitQueue,remoteUpdateTxPrepareServiceTime,avgNumOfLockRemoteTx,localUpdateTxLocalServiceTime,numWaitedLocalCommits,avgPutsPerWrTransaction,localUpdateTxCommitServiceTime,avgTOGMUPrepareNoWaitRtt,numberOfRemotePuts,avgTCBTime,numRemoteTxWaitingTimeInGMUQueueDuePendingTx,numTOGMUSuccessfulPrepareNoWait,numAbortedTxDueToWriteLock,avgNumNodesRemoteGet,currentState,localUpdateTxRemoteRollbackServiceTime,avgRemoteTxWaitingTimeInGMUQueueDuePendingTx,numberOfRemoteGets,avgLocalTxWaitingTimeInGMUQueueDuePendingTx,tOGMUPrepareWaitProbability,avgLocalLockHoldTime,avgNumAsyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgPrepareCommandSize,tOGMUAvgSuccessfulValidationResponseTime,numLocalRemoteLockContentions,avgResponseTime,currentProtocolInfo,avgRemoteLockHoldTime,numberOfCommits,tOAvgValidationConditionalWaitTime,numOwnedWrItemsInLocalPrepare,avgRollbackCommandSize,numReadsBeforeWrite,numAbortedTxDueToValidation,abortRate,localUpdateTxLocalRollbackResponseTime,avgNumOfLockLocalTx,numberOfLocalCommits,avgGetsPerWrTransaction,remoteUpdateTxRollbackServiceTime,readOnlyTxTotalResponseTime,avgLockWaitingTime,allowProtocolSwitch,remoteUpdateTxRollbackResponseTime,remotePutExecutionTime,avgRemoteTxCompleteNotifyTime,avgClusteredGetCommandReplySize,numOwnedWrItemsInRemotePrepare,avgReadOnlyTxDuration,numWaitedRemoteCommits,avgNumNodesRollback,replicationDegree,remoteContentionProbability,avgLocalLocalAbortLockHoldTime,numberOfPuts,avgNumSyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,avgGmuClusteredGetCommandRttNoWait,avgRemotePutsPerWrTransaction,readOnlyTxTotalCpuTime,numLocalLocalLockContentions,numWaitedRemoteGets,avgClusteredGetCommandSize,tOMaxSuccessfulValidationWaitingTime,localUpdateTxRemoteRollbackResponseTime,enabled,localUpdateTxTotalResponseTime,avgRemoteGetsPerROTransaction,avgPrepareRtt,avgRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,numEarlyAborts,terminationCost,throughput,tOGMUPrepareRttMinusAvgValidationTime,avgCommitCommandSize,avgNumNodesCompleteNotification,avgLocalSuccessfulLockHoldTime,switchCoolDownTime,tOPrepareWaitTime,lockContentionProbability,numOwnedRdItemsInRemotePrepare,avgGetsPerROTransaction,remotelyDeadXact,avgNumNodesPrepare,numLocalTxWaitingTimeInGMUQueueDuePendingTx,localActiveTransactions,availableProtocolsInfo,tOGMUAvgSuccessfulValidationServiceTime,localUpdateTxLocalRollbackServiceTime,currentProtocolId,numLocalPrepareAborts,numOwnedRdItemsInLocalPrepare,avgRemoteGetsPerWrTransaction,avgAbortedWriteTxDuration,remoteUpdateTxCommitResponseTime,avgLocalRemoteAbortLockHoldTime,localUpdateTxPrepareServiceTime,numRemoteLocalLockContentions,localUpdateTxLocalResponseTime,remoteGetResponseTime,numAbortedTxDueDeadlock,localReadOnlyTxLocalServiceTime,localReadOnlyTxLocalResponseTime,avgNumOfLockSuccessLocalTx,avgNTCBTime,numAbortedTxDueToReadLock,localUpdateTxPrepareResponseTime,numberOfGets,avgCommitRtt,avgRemoteGetRtt,gMUClusteredGetCommandServiceTime,updateXactToPrepare,currentEpoch,avgLocalTxWaitingTimeInGMUQueueDueToSlowCommits,localUpdateTxCommitResponseTime,waitedTimeInRemoteCommitQueue,remoteGetServiceTime,localContentionProbability,avgNumPutsBySuccessfulLocalTx,avgLockHoldTime,availableProtocolIds,gMUClusteredGetCommandResponseTime,tONumValidationWaited,numAbortedXacts,avgTxArrivalRate,percentageSuccessWriteTransactions,avgRollbackAsync,writeSkewProbability,localReadOnlyTxCommitResponseTime,avgRollbackRtt,percentageWriteTransactions,Before,After
0,180010,0,6172,714,0,0,44459.39131932773,23988.93400631886,44459.39131932773,9.907399651466744,20570.358740896358,0.9829414628549745,2.7785354453333336E8,1,100000,UNIFORM,1,37.30304937554459,30.23944873656695,3,0,0,44362,70,0,0,0,0.0,0,0,48,false,0,0,60,2167,20883,0,0,0,0,56,0,18382,0,5.0,1144,0,0,1,0,0,0,0,SAFE,0,0,0,0,0,19629,59,0,2863,0,0,26026,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},14428,45667,0,5.0,0,-1.0,0,0.0,0,0,6886,5000,49,23906,0,true,46,0,0,0,5.0,23904,0,0,60,0.0,0,3570,0,0,0,0.0,18501,0,0,0,0,0,true,44364,0.0,17241,0,0,0,15513,38.25555555555555,0,71,0,19629,60,0,0.0,0.0,5000,0,60,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,55,0,1288,0,23929,0,0,18057,23359,0,102,0,17494,34430000,0,0,0,714,0,0,2856,0,0,0.0,5.0,14519,2PC__ TO__ PB,0,0,0,253.9,0.10368864362474586,0,0.0,0,0,0.10368864362474586,100120,100120
1,180002,0,5868,680,0,0,47898.7523117647,25094.42294495569,47898.7523117647,9.282521686010996,22112.111100000002,0.9851535948005026,2.2846849066666666E8,1,100000,UNIFORM,1,34.326948839340254,30.61718326206475,3,0,0,47787,65,0,0,0,0.0,0,0,48,false,0,0,60,2512,22264,0,0,0,0,54,0,19416,0,5.0,1256,0,0,2,0,0,0,0,SAFE,0,0,0,0,0,23603,59,0,2863,0,0,27367,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},15834,45363,0,5.0,0,-1.0,0,0.0,0,0,6548,5000,42,25005,0,true,40,0,0,0,5.0,25000,0,0,60,0.0,0,3400,0,0,0,0.0,19293,0,0,0,0,0,true,47789,0.0,18274,0,0,0,24241,36.37777777777778,0,71,0,23603,60,0,0.0,0.0,5000,0,60,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,56,0,1525,0,25826,0,0,18847,24450,0,101,0,18634,32740000,0,0,0,680,0,0,3251,0,0,0.0,5.0,15935,2PC__ TO__ PB,0,0,0,252.2111111111111,0.10384850335980451,0,0.0,0,0,0.10384850335980451,100120,100120
2,180009,0,6031,677,0,0,45817.54173412112,24674.28321024706,45817.54173412112,9.311049940369708,21921.56347562777,0.9845886010882843,2.19669864E8,1,100000,UNIFORM,1,35.23207364341086,29.10115816935003,3,0,0,45726,63,0,0,0,0.0,0,0,46,false,0,0,60,2561,21776,0,0,0,0,53,0,19013,0,5.0,1223,0,0,1,0,0,0,0,SAFE,0,0,0,0,0,21895,59,0,2863,0,0,26726,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},15758,45526,0,5.0,0,-1.0,0,0.0,0,0,6708,5000,41,24595,0,true,38,0,0,0,5.0,24593,0,0,60,0.0,0,3385,0,0,0,0.0,19123,0,0,0,0,0,true,45729,0.0,18089,0,0,0,16474,37.266666666666666,0,71,0,21895,60,0,0.0,0.0,5000,0,60,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,51,0,1474,0,23937,0,0,18704,24077,0,95,0,18447,33540000,0,0,0,677,0,0,3261,0,0,0.0,5.0,15859,2PC__ TO__ PB,0,0,0,253.11666666666667,0.1009242695289207,0,0.0,0,0,0.1009242695289207,100120,100120
3,180010,0,6109,664,0,2,46462.21516415662,24369.113788836145,46617.242262048196,9.41639483394834,22221.70281626506,0.985963496269372,2.2492962293333334E8,1,100000,UNIFORM,1,36.1283809594096,29.076216974169743,3,0,0,46377,64,0,0,0,0.0,0,0,44,false,0,0,60,2656,21612,0,0,0,0,51,0,18877,0,5.0,1198,0,0,1,0,0,2,0,SAFE,0,0,0,0,0,22672,59,0,2863,0,0,26469,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},15614,45604,0,5.0,71,-1.0,0,2.952029520295203E-4,9214,0,6773,5000,43,24290,0,true,41,0,0,0,5.0,24288,0,60,60,0.0,0,3320,0,0,0,0.0,18867,0,0,0,0,0,true,46379,0.0,18370,0,0,0,15851,37.62777777777778,0,71,0,22672,60,0,0.0,0.0,5000,0,60,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,925,2PC,2,0.0,0.0,51220,48,0,1475,0,24290,0,0,18472,23814,0,96,0,18702,33865000,0,0,0,666,0,0,3316,0,0,0.0,5.0,15709,2PC__ TO__ PB,0,0,2,253.55,0.09803632068507308,1407,0.0,0,0,0.09830258302583025,100120,100120
4,180007,0,6180,685,0,1,46206.09411970803,23965.09970064725,46274.04713284671,8.555713807165745,21918.149651094893,0.9854625294370867,2.1862640586666667E8,1,100000,UNIFORM,1,38.07711928342558,29.327696329740753,3,0,0,46103,64,0,0,0,0.0,0,0,43,false,0,0,60,2481,21586,0,0,0,0,52,0,18914,0,5.0,1164,0,0,1,0,0,1,0,SAFE,0,0,0,0,0,22656,59,0,2863,0,0,26105,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},15475,45675,0,5.0,71,-1.0,0,1.4564520827264782E-4,2975,0,6865,5000,43,23883,0,true,40,0,0,0,5.0,23881,0,60,60,0.0,26948,3425,0,0,0,0.0,18617,0,0,0,0,0,true,46105,0.0,18173,0,0,0,16105,38.138888888888886,0,71,0,22575,60,0,0.0,0.0,5000,0,60,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,821,2PC,1,0.0,0.0,46256,49,0,1448,0,24334,0,0,18232,23422,0,102,0,18528,34325000,0,0,0,686,0,0,3169,0,0,0.0,5.0,15596,2PC__ TO__ PB,0,0,1,253.94444444444446,0.09978150036416605,2345,0.0,0,0,0.09991261287503642,100120,100120
5,180013,0,6014,669,0,2,46055.30207772795,24755.899043565016,46216.675753363226,9.349278982797307,21954.758155455907,0.9495153006851453,1.904292624E8,1,100000,UNIFORM,1,41.718801944652206,32.1416937920718,3,0,0,45959,72,0,0,0,0.0,0,0,46,false,0,0,60,2594,21732,0,0,0,0,56,0,18939,0,5.0,1229,0,0,1,0,0,2,0,SAFE,0,0,0,0,0,21617,59,0,2863,0,0,26814,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},15517,45509,0,5.0,71,-1.0,0,2.991772625280479E-4,2914,0,6683,5000,40,24668,0,true,38,0,0,0,5.0,24666,0,60,60,0.0,0,3345,0,0,0,0.0,19056,0,0,0,0,0,true,45962,0.0,18131,0,0,0,21625,37.12777777777778,0,71,0,21617,60,0,0.0,0.0,5000,0,60,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,776,2PC,2,0.0,0.0,53761,54,0,1499,0,24133,0,0,18651,24176,0,103,0,18457,33415000,0,0,0,671,0,0,3293,0,0,0.0,5.0,15637,2PC__ TO__ PB,0,0,2,253.0222222222222,0.10010474337872213,2535,0.0,0,0,0.10037397157816005,100120,100120
6,180021,0,6085,745,0,1,45634.45785100671,23960.35662152835,45699.13099328859,8.36437432293954,21986.537810738253,0.9832432949652573,1.993367824E8,1,100000,UNIFORM,1,33.27084804567413,28.32373137168789,3,0,0,45544,67,0,0,0,0.0,0,0,43,false,0,0,60,2552,21339,0,0,0,0,52,0,18615,0,5.0,1190,0,0,1,0,0,1,0,SAFE,0,0,0,0,0,21087,59,0,2863,0,0,26249,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},13737,45580,0,5.0,71,-1.0,0,1.4639145073927682E-4,3913,0,6830,5000,40,23881,0,true,38,0,0,0,5.0,23879,0,60,60,0.0,0,3725,0,0,0,0.0,18672,0,0,0,0,0,true,45546,0.0,18189,0,0,0,15855,37.94444444444444,0,71,0,21087,60,0,0.0,0.0,5000,0,60,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,953,2PC,1,0.0,0.0,47741,51,0,1473,0,23713,0,0,18275,23402,0,97,0,18517,34150000,0,0,0,746,0,0,3244,0,0,0.0,5.0,13871,2PC__ TO__ PB,0,0,1,253.41666666666666,0.10907759882869693,3124,0.0,0,0,0.10920802225150052,100120,100120
7,179996,0,6222,677,0,0,45867.40737813885,23907.597464480874,45867.40737813885,9.088469053486012,21685.787933530282,0.9844694734520635,2.217808656E8,1,100000,UNIFORM,1,36.63856979272358,28.920393390346426,3,0,0,45765,65,0,0,0,0.0,0,0,43,false,0,0,60,2522,21595,0,0,0,0,52,0,18914,0,5.0,1178,0,0,1,0,0,0,0,SAFE,0,0,0,0,0,21562,59,0,2863,0,0,25977,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},14214,45717,0,5.0,0,-1.0,0,0.0,0,0,6899,5000,40,23826,0,true,38,0,0,0,5.0,23824,0,0,60,0.0,0,3385,0,0,0,0.0,18732,0,0,0,0,0,true,45770,0.0,17950,0,0,0,19330,38.327777777777776,0,71,0,21562,60,0,0.0,0.0,5000,0,60,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,48,0,1441,0,24214,0,0,18340,23359,0,96,0,18287,34495000,0,0,0,677,0,0,3194,0,0,0.0,5.0,14378,2PC__ TO__ PB,0,0,0,254.17777777777778,0.0981301637918539,0,0.0,0,0,0.0981301637918539,100120,100120
8,180003,0,6108,642,0,2,46280.64793146418,24558.682701702684,46436.84274454828,8.910422097156397,21805.611880062304,0.9699260675801687,2.049884608E8,1,100000,UNIFORM,1,34.96584078791469,28.53050518364929,3,0,0,46199,63,0,0,0,0.0,0,0,42,false,0,0,60,2516,21980,0,0,0,0,51,0,19271,0,5.0,1172,0,0,1,0,0,2,0,SAFE,0,0,0,0,0,21437,59,0,2863,0,0,26562,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},14277,45603,0,5.0,71,-1.0,0,2.962085308056872E-4,2475,0,6750,5000,41,24484,0,true,39,0,0,0,5.0,24482,0,60,60,0.0,0,3210,0,0,0,0.0,19258,0,0,0,0,0,true,46201,0.0,18112,0,0,0,13830,37.5,0,71,0,21437,60,0,0.0,0.0,5000,0,60,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,779,2PC,2,0.0,0.0,49929,50,0,1475,0,24509,0,0,18870,24004,0,92,0,18430,33750000,0,0,0,644,0,0,3186,0,0,0.0,5.0,14415,2PC__ TO__ PB,0,0,2,253.54444444444445,0.0951111111111111,2106,0.0,0,0,0.09537914691943128,100120,100120
9,180011,0,5824,667,0,0,47341.786865067465,25450.295440934067,47341.786865067465,10.56973948544138,22008.601784107945,0.9848133540862084,2.520034224E8,1,100000,UNIFORM,1,41.37100970574642,30.383549067940226,3,0,0,47252,75,0,0,0,0.0,0,0,50,false,0,0,60,2491,22386,0,0,0,0,59,0,19532,0,5.0,1264,0,0,2,0,0,0,0,SAFE,0,0,0,0,0,21598,59,0,2863,0,0,27609,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},14083,45319,0,5.0,0,-1.0,0,0.0,0,0,6491,5000,48,25361,0,true,46,0,0,0,5.0,25359,0,0,60,0.0,0,3335,0,0,0,0.0,19610,0,0,0,0,0,true,47255,0.0,18206,0,0,0,16599,36.06111111111111,0,71,0,21598,60,0,0.0,0.0,5000,0,60,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,54,0,1520,0,25384,0,0,19159,24810,0,109,0,18574,32455000,0,0,0,667,0,0,3212,0,0,0.0,5.0,14209,2PC__ TO__ PB,0,0,0,251.96666666666667,0.10275766445848097,0,0.0,0,0,0.10275766445848097,100120,100120
