SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,UPDATE_XACT_RESPONSE_TIME,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,RG_NTCB,RG_NTCB_S,avgLocalGetTime,localReadOnlyTxCommitServiceTime,avgWriteTxDuration,gMUClusteredGetCommandWaitingTime,remoteUpdateTxPrepareResponseTime,localReadOnlyTxPrepareResponseTime,numKilledTxDueToValidation,localReadOnlyTxRemoteNodesRead,numLocalTxWaitingTimeInGMUQueueDueToSlowCommits,applicationContentionFactor,avgCompleteNotificationAsync,gMUWaitingTimeEnabled,avgLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,remoteUpdateTxCommitServiceTime,avgNumNodesCommit,numRemoteRemoteLockContentions,tOGMUPrepareRttMinusMaxValidationTime,avgCommitAsync,localUpdateTxTotalCpuTime,localUpdateCommittedXact,avgPrepareAsync,numLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,localReadOnlyTxPrepareServiceTime,waitedTimeInLocalCommitQueue,remoteUpdateTxPrepareServiceTime,avgNumOfLockRemoteTx,localUpdateTxLocalServiceTime,avgPutsPerWrTransaction,numWaitedLocalCommits,localUpdateTxCommitServiceTime,avgTOGMUPrepareNoWaitRtt,numberOfRemotePuts,avgTCBTime,numRemoteTxWaitingTimeInGMUQueueDuePendingTx,numTOGMUSuccessfulPrepareNoWait,numAbortedTxDueToWriteLock,avgNumNodesRemoteGet,currentState,localUpdateTxRemoteRollbackServiceTime,avgRemoteTxWaitingTimeInGMUQueueDuePendingTx,numberOfRemoteGets,avgLocalTxWaitingTimeInGMUQueueDuePendingTx,tOGMUPrepareWaitProbability,avgLocalLockHoldTime,avgNumAsyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgPrepareCommandSize,tOGMUAvgSuccessfulValidationResponseTime,numLocalRemoteLockContentions,avgResponseTime,localReadOnlyCommittedXact,currentProtocolInfo,avgRemoteLockHoldTime,numberOfCommits,tOAvgValidationConditionalWaitTime,numOwnedWrItemsInLocalPrepare,avgRollbackCommandSize,numReadsBeforeWrite,numAbortedTxDueToValidation,localUpdateTxLocalRollbackResponseTime,abortRate,numberOfLocalCommits,avgNumOfLockLocalTx,avgGetsPerWrTransaction,remoteUpdateTxRollbackServiceTime,readOnlyTxTotalResponseTime,avgLockWaitingTime,allowProtocolSwitch,currentProtocolAsInt,remoteUpdateTxRollbackResponseTime,remotePutExecutionTime,avgRemoteTxCompleteNotifyTime,numOwnedWrItemsInRemotePrepare,avgReadOnlyTxDuration,avgClusteredGetCommandReplySize,numWaitedRemoteCommits,replicationDegree,avgNumNodesRollback,avgLocalLocalAbortLockHoldTime,remoteContentionProbability,numberOfPuts,avgNumSyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,avgGmuClusteredGetCommandRttNoWait,coolDownTimeExpired,avgRemotePutsPerWrTransaction,readOnlyTxTotalCpuTime,numWaitedRemoteGets,numLocalLocalLockContentions,avgClusteredGetCommandSize,tOMaxSuccessfulValidationWaitingTime,localUpdateTxRemoteRollbackResponseTime,enabled,localUpdateTxTotalResponseTime,avgRemoteGetsPerROTransaction,avgPrepareRtt,avgRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,numEarlyAborts,terminationCost,throughput,tOGMUPrepareRttMinusAvgValidationTime,avgCommitCommandSize,avgLocalSuccessfulLockHoldTime,avgNumNodesCompleteNotification,switchCoolDownTime,numOwnedRdItemsInRemotePrepare,lockContentionProbability,tOPrepareWaitTime,remotelyDeadXact,avgGetsPerROTransaction,avgNumNodesPrepare,numLocalTxWaitingTimeInGMUQueueDuePendingTx,localActiveTransactions,localUpdateTxRemoteNodesRead,availableProtocolsInfo,localUpdateTxLocalRollbackServiceTime,tOGMUAvgSuccessfulValidationServiceTime,currentProtocolId,numLocalPrepareAborts,avgRemoteGetsPerWrTransaction,numOwnedRdItemsInLocalPrepare,avgAbortedWriteTxDuration,remoteUpdateTxCommitResponseTime,localUpdateTxPrepareServiceTime,avgLocalRemoteAbortLockHoldTime,localUpdateTxLocalResponseTime,numRemoteLocalLockContentions,remoteGetResponseTime,numAbortedTxDueDeadlock,localReadOnlyTxLocalServiceTime,localReadOnlyTxLocalResponseTime,avgNumOfLockSuccessLocalTx,avgNTCBTime,numAbortedTxDueToReadLock,localUpdateTxPrepareResponseTime,numberOfGets,avgCommitRtt,avgRemoteGetRtt,updateXactToPrepare,gMUClusteredGetCommandServiceTime,currentEpoch,avgLocalTxWaitingTimeInGMUQueueDueToSlowCommits,waitedTimeInRemoteCommitQueue,localUpdateTxCommitResponseTime,remoteGetServiceTime,localContentionProbability,avgNumPutsBySuccessfulLocalTx,avgLockHoldTime,availableProtocolIds,gMUClusteredGetCommandResponseTime,tONumValidationWaited,numAbortedXacts,avgTxArrivalRate,percentageSuccessWriteTransactions,avgRollbackAsync,writeSkewProbability,localReadOnlyTxCommitResponseTime,avgRollbackRtt,percentageWriteTransactions,Before,After
0,179995,0,2521,22945,0,1,7624.447914273262,1770.2654117413724,7626.521217476575,4.08570628656693,5967.701175898889,0.7564319370751771,3.813448346666667E8,1,200000,UNIFORM,1,30.70180991086504,14.422011583618016,30,0,7544,0,23,0,0,0.9841332804442682,0,0.0,0,false,0,22,10,0,0,853,661,22945,0,0,0,0,21,0,179,1.0,0,185,0,11440,1562,0,0,1,1,SAFE,0,0,25912,0,0,5505,9,0,664,0,0,6967,2521,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4992,230264,0,0.5014164305949008,71,-1.0,0,2043,3.9266501747359325E-5,25466,0,2,61,1696,0,true,0,56,23,0,1.0,1694,0,0,10,10,0,0.0,22945,0,0,0,true,0.4985835694050991,193,0,0,44,0,0,true,7547,1.0087266957556524,4754,0,0,0,13725,141.4777777777778,0,71,5505,0,60,0.0,0.0,0,0,2,10,0,0,0.9950751797777293,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},440,0,2PC,1,1.0184789714534757,0.0,47269,22,271,0,1670,0,1480,0,155,1623,0,93,0,4870,50932,0,1395,22946,0,0,0,0,947,102,0.0,1.0,5018,2PC__ TO__ PB,0,0,1,1279.3055555555557,0.9010052619178512,780,0.0,0,0,0.9010091490949071,99820,99820
1,179995,0,2436,21268,0,0,8220.154404786534,1926.3482376847292,8220.154404786534,5.8324118714141076,6407.437756112469,0.6438644303699571,2.771169306666667E8,1,200000,UNIFORM,1,29.122596439419507,14.564081884913938,31,0,8123,0,24,0,0,0.9844006568144499,0,0.0,0,false,0,21,10,0,0,950,740,21268,0,0,0,0,22,0,217,1.0,0,204,0,10695,1666,0,0,0,1,SAFE,0,0,23764,0,0,6314,9,0,664,0,0,7475,2436,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4641,229755,0,0.4971318412638706,0,-1.0,0,0,0.0,23704,0,2,61,1823,0,true,0,55,52,0,1.0,1822,0,0,10,0,0,0.0,21268,0,0,0,true,0.5028681587361294,207,0,0,44,0,0,true,8125,1.0073891625615763,5044,0,0,0,16081,131.6888888888889,0,71,6314,0,60,0.0,0.0,0,0,2,10,0,0,0.9810983637389505,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,1.0019747978183187,0.0,0,21,290,0,1828,0,1593,0,167,1744,0,107,0,5169,47408,0,1488,21268,0,0,0,0,1062,109,0.0,1.0,4721,2PC__ TO__ PB,0,0,0,1276.4833333333333,0.8972325345933175,0,0.0,0,0,0.8972325345933175,99718,99718
2,179993,0,2535,22511,0,4,7770.515978144019,1742.2070390532544,7779.788021234063,4.9750998802395205,6102.148300653014,0.7714852454660779,2.966240896E8,1,200000,UNIFORM,1,26.181668542914174,13.809724151696606,26,0,7691,0,22,0,0,0.9680473372781065,0,0.0,0,false,0,21,10,0,0,883,715,22511,0,0,0,0,20,0,203,1.0,0,200,0,11219,1599,0,0,4,1,SAFE,0,0,24996,0,0,5797,9,0,664,0,0,7090,2535,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4870,230486,0,0.5016214295233441,71,-1.0,0,1372,1.596806387225549E-4,25046,0,2,45,1668,0,true,0,41,53,0,1.0,1667,0,0,10,10,0,0.0,22511,0,0,0,true,0.49837857047665585,194,0,0,44,0,0,true,7694,0.9925049309664694,4848,0,0,0,14198,139.14444444444445,0,71,5797,0,60,0.0,0.0,0,0,2,10,0,0,0.9793878548265292,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},411,0,2PC,4,0.9986228954733242,0.0,51713,21,284,0,1685,0,1473,0,157,1598,0,87,0,4966,50092,0,1384,22515,0,0,0,0,981,102,0.0,1.0,4919,2PC__ TO__ PB,0,0,4,1280.5333333333333,0.8987862333306715,1166,0.0,0,0,0.8988023952095808,99984,99984
3,179995,0,2399,21073,0,2,8283.647150382005,2015.0057057107128,8287.267497413752,7.949407003493227,6416.6585641342,0.7344653907207638,3.0196456746666664E8,1,200000,UNIFORM,1,33.49741582176024,16.065374925449433,36,0,8186,0,24,0,0,1.0029178824510212,0,0.0,0,false,0,22,10,0,0,902,758,21073,0,0,0,0,23,0,231,1.0,0,203,0,10593,1685,0,0,2,1,SAFE,0,0,23581,0,0,6020,9,0,664,0,0,7548,2399,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4724,229427,0,0.4973188440184122,71,-1.0,0,885,8.520064752492119E-5,23472,0,2,61,1911,0,true,0,57,56,0,1.0,1909,0,0,10,10,0,0.0,21073,0,0,0,true,0.5026811559815878,222,0,0,44,0,0,true,8188,1.0220925385577324,5070,0,0,0,16838,130.4,0,71,6020,0,60,0.0,0.0,0,0,2,10,0,0,0.9827741659944004,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},337,0,2PC,2,1.002657428937503,0.0,37450,22,294,0,1884,0,1627,0,181,1837,0,110,0,5219,46944,0,1511,21075,0,0,0,0,1019,118,0.0,1.0,4789,2PC__ TO__ PB,0,0,2,1274.6444444444444,0.8977931152010906,390,0.0,0,0,0.897801823293857,99895,99895
4,179991,0,2282,21270,0,0,8238.263420733427,1879.6672848378616,8238.263420733427,5.867648692255435,6448.896310437236,0.7250334144215069,2.767192384E8,1,200000,UNIFORM,1,29.380442680027173,15.616597443953804,34,0,8150,0,25,0,0,0.9588080631025416,0,0.0,0,false,0,23,10,0,0,961,751,21270,0,0,0,0,23,0,218,1.0,0,206,0,10507,1686,0,0,0,1,SAFE,0,0,23358,0,0,5927,9,0,664,0,0,7534,2282,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4717,229432,0,0.5060178655383168,0,-1.0,0,0,0.0,23552,0,2,60,1791,0,true,0,56,50,0,1.0,1790,0,0,10,0,0,0.0,21270,0,0,0,true,0.4939821344616831,209,0,0,44,0,0,true,8153,0.978965819456617,5061,0,0,0,13139,130.84444444444443,0,71,5927,0,60,0.0,0.0,0,0,2,10,0,0,0.9747061589092618,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.9931358721203574,0.0,0,23,297,0,1810,0,1580,0,169,1713,0,99,0,5199,47104,0,1478,21270,0,0,0,0,1076,111,0.0,1.0,4780,2PC__ TO__ PB,0,0,0,1274.6666666666667,0.9031080163043478,0,0.0,0,0,0.9031080163043478,100201,100201
5,180014,0,2409,21184,0,1,8259.22387509441,1841.6291511000416,8262.111049329684,5.11817127235738,6499.092526104608,0.7169635887991936,3.0031738453333336E8,1,200000,UNIFORM,1,31.554785920149193,16.31226138001187,30,0,8167,0,24,0,0,0.9925280199252802,0,0.0,0,false,0,22,10,0,0,973,742,21184,0,0,0,0,22,0,211,1.0,0,206,0,10558,1686,0,0,1,1,SAFE,0,0,23627,0,0,6072,9,0,664,0,0,7515,2409,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4904,230059,0,0.5016049848942599,71,-1.0,0,18907,4.238365686191405E-5,23593,0,2,46,1754,0,true,0,43,53,0,1.0,1752,0,0,10,10,0,0.0,21184,0,0,0,true,0.4983950151057402,206,0,0,44,0,0,true,8170,1.0149439601494397,5109,0,0,0,15793,131.07222222222222,0,71,6072,0,60,0.0,0.0,0,0,2,10,0,0,0.9775302114803626,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},803,0,2PC,1,0.9999055891238671,0.0,59747,22,298,0,1776,0,1548,0,166,1661,0,104,0,5240,47186,0,1452,21185,0,0,0,0,1086,108,0.0,1.0,4963,2PC__ TO__ PB,0,0,1,1278.161111111111,0.8978934429703725,1945,0.0,0,0,0.897897770619649,100201,100201
6,180005,0,2541,23266,0,1,7537.022141107195,1622.8923215269579,7538.005477778733,4.53290146466212,5888.413467248345,0.7599882513922324,3.015706E8,1,200000,UNIFORM,1,28.07708745350279,13.79189747365158,27,0,7459,0,21,0,0,0.9551357733175915,0,0.0,0,false,0,21,10,0,0,814,688,23266,0,0,0,0,20,0,195,1.0,0,191,0,11754,1558,0,0,1,1,SAFE,0,0,25606,0,0,5740,9,0,664,0,0,6878,2541,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4605,231070,0,0.49479927791627265,71,-1.0,0,1330,3.874767513949163E-5,25807,0,2,52,1555,0,true,0,45,44,0,1.0,1553,0,0,10,10,0,0.0,23266,0,0,0,true,0.5052007220837273,184,0,0,44,0,0,true,7461,0.9708776072412436,4721,0,0,0,13070,143.37222222222223,0,71,5740,0,60,0.0,0.0,0,0,2,10,0,0,0.9759735235966647,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},715,0,2PC,1,0.9945413908707986,0.0,22358,20,276,0,1660,0,1463,0,148,1487,0,89,0,4840,51614,0,1383,23267,0,0,0,0,904,101,0.0,1.0,4664,2PC__ TO__ PB,0,0,1,1283.7777777777778,0.9015383423102259,616,0.0,0,0,0.9015421574705518,100130,100130
7,180007,0,2408,21302,0,0,8202.644409257347,1972.2079219269103,8202.644409257347,5.302106832560101,6389.628880621538,0.7559556641093388,3.051815621333333E8,1,200000,UNIFORM,1,31.566249219738506,15.408233909742725,33,0,8115,0,24,0,0,0.9933554817275747,0,0.0,0,false,0,22,10,0,0,958,744,21302,0,0,0,0,22,0,214,1.0,0,205,0,10625,1661,0,0,0,1,SAFE,0,0,23805,0,0,6230,9,0,664,0,0,7483,2408,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4801,229593,0,0.5012205426720495,0,-1.0,0,0,0.0,23710,0,2,65,1891,0,true,0,61,54,0,1.0,1890,0,0,10,0,0,0.0,21302,0,0,0,true,0.4987794573279504,207,0,0,44,0,0,true,8117,1.0132890365448506,5034,0,0,0,13697,131.72222222222223,0,71,6230,0,60,0.0,0.0,0,0,2,10,0,0,0.9850718242418552,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,1.002957468782274,0.0,0,22,297,0,1823,0,1604,0,167,1808,0,100,0,5168,47420,0,1502,21302,0,0,0,0,1062,111,0.0,1.0,4871,2PC__ TO__ PB,0,0,0,1275.5722222222223,0.8984394770139181,0,0.0,0,0,0.8984394770139181,99960,99960
8,179996,0,2322,21162,0,1,8250.732311690766,2056.119075796727,8251.888607882052,6.945045731317863,6440.92211445043,0.6677009854472777,3.04568168E8,1,200000,UNIFORM,1,36.189943155205455,17.45982295081967,31,0,8157,0,26,0,0,0.9862187769164513,0,0.0,0,false,0,22,10,0,0,921,746,21162,0,0,0,0,23,0,223,1.0,0,201,0,10574,1689,0,0,1,1,SAFE,0,0,23433,0,0,5989,9,0,664,0,0,7545,2322,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4954,229178,0,0.5003307815896418,71,-1.0,0,2468,4.258037044922291E-5,23484,0,2,48,1956,0,true,0,45,59,0,1.0,1953,0,0,10,10,0,0.0,21162,0,0,0,true,0.49966921841035816,220,0,0,44,0,0,true,8160,1.0077519379844961,5095,0,0,0,16882,130.46666666666667,0,71,5989,0,60,0.0,0.0,0,0,2,10,0,0,0.9803893771855212,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},534,0,2PC,1,0.9967394386163879,0.0,23169,23,291,0,1820,0,1608,0,177,1871,0,110,0,5233,46968,0,1496,21163,0,0,0,0,1034,117,0.0,1.0,5005,2PC__ TO__ PB,0,0,1,1273.2722222222221,0.9011241696474195,494,0.0,0,0,0.9011283798169044,99768,99768
9,179998,0,2399,21522,0,2,8115.139813864882,1974.8452667778242,8116.675710203513,5.253995694519919,6332.640725676052,0.6464472376177482,3.0573695573333335E8,1,200000,UNIFORM,1,33.84562809848263,16.777361743928434,33,0,8033,0,23,0,0,0.9937473947478116,0,0.0,0,false,0,21,10,0,0,935,723,21522,0,0,0,0,22,0,208,1.0,0,199,0,10758,1653,0,0,2,1,SAFE,0,0,23958,0,0,6094,9,0,664,0,0,7417,2399,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4996,229586,0,0.5001393922497909,71,-1.0,0,1552,8.36015549889228E-5,23921,0,2,51,1879,0,true,0,47,51,0,1.0,1877,0,0,10,10,0,0.0,21522,0,0,0,true,0.4998606077502091,206,0,0,44,0,0,true,8035,1.0162567736556898,4999,0,0,0,14310,132.89444444444445,0,71,6094,0,60,0.0,0.0,0,0,2,10,0,0,0.9812285103614906,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},363,0,2PC,2,0.9999070718334727,0.0,16200,21,288,0,1789,0,1575,0,166,1795,0,99,0,5136,47842,0,1480,21524,0,0,0,0,1046,107,0.0,1.0,5050,2PC__ TO__ PB,0,0,2,1275.55,0.8997115505204631,928,0.0,0,0,0.8997199347907872,99943,99943
