SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,UPDATE_XACT_RESPONSE_TIME,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,RG_NTCB,RG_NTCB_S,avgLocalGetTime,localReadOnlyTxCommitServiceTime,gMUClusteredGetCommandWaitingTime,avgWriteTxDuration,remoteUpdateTxPrepareResponseTime,localReadOnlyTxPrepareResponseTime,numKilledTxDueToValidation,localReadOnlyTxRemoteNodesRead,numLocalTxWaitingTimeInGMUQueueDueToSlowCommits,applicationContentionFactor,remoteUpdateTxCommitServiceTime,avgCompleteNotificationAsync,gMUWaitingTimeEnabled,avgLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgNumNodesCommit,numRemoteRemoteLockContentions,tOGMUPrepareRttMinusMaxValidationTime,avgCommitAsync,localUpdateTxTotalCpuTime,localUpdateCommittedXact,avgPrepareAsync,numLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,localReadOnlyTxPrepareServiceTime,waitedTimeInLocalCommitQueue,localUpdateTxLocalServiceTime,remoteUpdateTxPrepareServiceTime,avgNumOfLockRemoteTx,numWaitedLocalCommits,avgPutsPerWrTransaction,localUpdateTxCommitServiceTime,avgTOGMUPrepareNoWaitRtt,numberOfRemotePuts,avgTCBTime,numRemoteTxWaitingTimeInGMUQueueDuePendingTx,numTOGMUSuccessfulPrepareNoWait,numAbortedTxDueToWriteLock,avgNumNodesRemoteGet,currentState,localUpdateTxRemoteRollbackServiceTime,avgRemoteTxWaitingTimeInGMUQueueDuePendingTx,numberOfRemoteGets,avgLocalTxWaitingTimeInGMUQueueDuePendingTx,tOGMUPrepareWaitProbability,avgLocalLockHoldTime,avgNumAsyncSentCommitMsgs,avgPrepareCommandSize,numRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,tOGMUAvgSuccessfulValidationResponseTime,numLocalRemoteLockContentions,avgResponseTime,localReadOnlyCommittedXact,currentProtocolInfo,avgRemoteLockHoldTime,numberOfCommits,tOAvgValidationConditionalWaitTime,numOwnedWrItemsInLocalPrepare,avgRollbackCommandSize,numReadsBeforeWrite,numAbortedTxDueToValidation,abortRate,localUpdateTxLocalRollbackResponseTime,numberOfLocalCommits,avgNumOfLockLocalTx,avgGetsPerWrTransaction,remoteUpdateTxRollbackServiceTime,readOnlyTxTotalResponseTime,avgLockWaitingTime,currentProtocolAsInt,allowProtocolSwitch,remoteUpdateTxRollbackResponseTime,remotePutExecutionTime,avgRemoteTxCompleteNotifyTime,numOwnedWrItemsInRemotePrepare,avgReadOnlyTxDuration,avgClusteredGetCommandReplySize,numWaitedRemoteCommits,avgNumNodesRollback,replicationDegree,avgLocalLocalAbortLockHoldTime,remoteContentionProbability,numberOfPuts,avgNumSyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,avgGmuClusteredGetCommandRttNoWait,coolDownTimeExpired,avgRemotePutsPerWrTransaction,readOnlyTxTotalCpuTime,numWaitedRemoteGets,numLocalLocalLockContentions,avgClusteredGetCommandSize,tOMaxSuccessfulValidationWaitingTime,localUpdateTxRemoteRollbackResponseTime,enabled,localUpdateTxTotalResponseTime,avgRemoteGetsPerROTransaction,avgPrepareRtt,avgRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,numEarlyAborts,avgRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,terminationCost,throughput,tOGMUPrepareRttMinusAvgValidationTime,avgLocalSuccessfulLockHoldTime,avgCommitCommandSize,avgNumNodesCompleteNotification,switchCoolDownTime,numOwnedRdItemsInRemotePrepare,lockContentionProbability,tOPrepareWaitTime,remotelyDeadXact,avgGetsPerROTransaction,avgNumNodesPrepare,numLocalTxWaitingTimeInGMUQueueDuePendingTx,localActiveTransactions,localUpdateTxRemoteNodesRead,availableProtocolsInfo,localUpdateTxLocalRollbackServiceTime,tOGMUAvgSuccessfulValidationServiceTime,currentProtocolId,numLocalPrepareAborts,avgRemoteGetsPerWrTransaction,numOwnedRdItemsInLocalPrepare,avgAbortedWriteTxDuration,localUpdateTxPrepareServiceTime,remoteUpdateTxCommitResponseTime,avgLocalRemoteAbortLockHoldTime,numRemoteLocalLockContentions,localUpdateTxLocalResponseTime,remoteGetResponseTime,numAbortedTxDueDeadlock,localReadOnlyTxLocalResponseTime,localReadOnlyTxLocalServiceTime,avgNumOfLockSuccessLocalTx,avgNTCBTime,numAbortedTxDueToReadLock,localUpdateTxPrepareResponseTime,numberOfGets,avgCommitRtt,avgRemoteGetRtt,updateXactToPrepare,gMUClusteredGetCommandServiceTime,currentEpoch,avgLocalTxWaitingTimeInGMUQueueDueToSlowCommits,localUpdateTxCommitResponseTime,waitedTimeInRemoteCommitQueue,remoteGetServiceTime,localContentionProbability,avgNumPutsBySuccessfulLocalTx,avgLockHoldTime,availableProtocolIds,gMUClusteredGetCommandResponseTime,tONumValidationWaited,numAbortedXacts,avgTxArrivalRate,percentageSuccessWriteTransactions,avgRollbackAsync,localReadOnlyTxCommitResponseTime,writeSkewProbability,avgRollbackRtt,percentageWriteTransactions,Before,After
0,179997,0,92620,4776,0,0,4022.6521335845896,1729.4188194882315,4022.6521335845896,1.4029594541870303,2214.184175879397,0.5675136323141634,6.318842613333333E7,1,2500,UNIFORM,1,9.155969444330363,6.613979516612592,17,0,0,3965,84,0,0,1.4157525372489743,0,0.0,71,0,false,0,2,0,0,263,840,4776,0,0,0,0,286,82,0,0,1.0,195,0,3574,76,0,0,0,1,SAFE,0,0,146240,0,0,1997,1,662,0,0,0,1803,92620,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1495,106159,0,0.2516750418760469,0,-1.0,0,0.0,0,97396,0,2,124,1693,0,0,true,121,61,0,1.0,1691,0,0,0,2,0,0.0,4776,0,0,0,true,0.748324958123953,216,0,0,42,0,0,true,3967,1.5009609155689916,1549,0,0,0,10518,541.0888888888888,0,1997,71,0,60,0.0,0.0,0,0,2,2,0,0,1.4279731993299833,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,1.5119346733668342,0.0,0,328,73,0,0,1814,1060,0,1649,183,0,38,0,1721,194792,0,1014,4776,0,0,0,387,0,97,0.0,1.0,1556,2PC__ TO__ PB,0,0,0,589.7777777777778,0.04903692143414514,0,0,0.0,0,0.04903692143414514,623,623
1,179995,0,93126,4850,0,0,4026.5416602061855,1716.6419246612118,4026.5416602061855,1.2413431248469011,2233.2350987628865,0.6594216804930308,9.253535146666667E7,1,2500,UNIFORM,1,8.950546358291827,6.746832214011595,17,0,0,3981,83,0,0,1.4071687820801924,0,0.0,70,0,false,0,2,0,0,275,835,4850,0,0,0,0,279,79,0,0,1.0,198,0,3646,76,0,0,0,1,SAFE,0,0,146607,0,0,1863,1,662,0,0,0,1795,93126,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1503,106875,0,0.24824742268041236,0,-1.0,0,0.0,0,97976,0,2,183,1682,0,0,true,177,67,0,1.0,1681,0,0,0,2,0,0.0,4850,0,0,0,true,0.7517525773195877,212,0,0,42,0,0,true,3984,1.4970899641346134,1550,0,0,0,10256,544.3111111111111,0,1863,71,0,60,0.0,0.0,0,0,2,2,0,0,1.3878350515463918,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,1.4822680412371134,0.0,0,329,69,0,0,1811,1056,0,1640,181,0,36,0,1720,195952,0,1011,4850,0,0,0,408,0,95,0.0,1.0,1544,2PC__ TO__ PB,0,0,0,593.7555555555556,0.04950191883726627,0,0,0.0,0,0.04950191883726627,629,629
2,179997,0,95286,5117,0,0,3870.5881725620484,1674.430029017904,3870.5881725620484,1.2715010906048625,2164.291169435216,0.6146052593879017,9.330717653333333E7,1,2500,UNIFORM,1,9.040081979622123,6.467823620808144,15,0,0,3827,76,0,0,1.4156749155174948,0,0.0,66,0,false,0,2,0,0,257,798,5117,0,0,0,0,266,75,0,0,1.0,188,0,3825,75,0,0,0,1,SAFE,0,0,150619,0,0,1775,1,662,0,0,0,1750,95286,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1460,109234,0,0.25249169435215946,0,-1.0,0,0.0,0,100403,0,2,113,1640,0,0,true,109,61,0,1.0,1639,0,0,0,2,0,0.0,5117,0,0,0,true,0.7475083056478405,202,0,0,42,0,0,true,3829,1.5005352307789181,1507,0,0,0,9547,557.7944444444445,0,1775,71,0,60,0.0,0.0,0,0,2,2,0,0,1.4107875708422903,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,1.4928669142075435,0.0,0,315,68,0,0,1733,1029,0,1601,172,0,36,0,1675,200806,0,988,5117,0,0,0,380,0,91,0.0,1.0,1502,2PC__ TO__ PB,0,0,0,606.8611111111111,0.050964612611176956,0,0,0.0,0,0.050964612611176956,632,632
3,179998,0,94471,4884,0,0,3884.4689828009828,1698.0096151517396,3884.4689828009828,1.1513885159277337,2130.7982651515154,0.42050833139062493,9.324624053333333E7,1,2500,UNIFORM,1,8.865627507422879,6.485381551003976,15,0,0,3845,80,0,0,1.4155560965799028,0,0.0,70,0,false,0,2,0,0,215,791,4884,0,0,0,0,274,79,0,0,1.0,170,0,3698,74,0,0,0,1,SAFE,0,0,149646,0,0,1786,1,662,0,0,0,1770,94471,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1457,108022,0,0.24283374283374284,0,-1.0,0,0.0,0,99355,0,2,0,1665,0,0,true,0,64,0,1.0,1663,0,0,0,2,0,0.0,4884,0,0,0,true,0.7571662571662572,205,0,0,42,0,0,true,3847,1.5062294249028803,1525,0,0,0,10283,551.9722222222222,0,1786,71,0,60,0.0,0.0,0,0,2,2,0,0,1.416871416871417,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,1.505118755118755,0.0,0,319,68,0,0,1772,1039,0,1622,173,0,35,0,1697,198710,0,998,4884,0,0,0,336,0,91,0.0,1.0,1496,2PC__ TO__ PB,0,0,0,600.1222222222223,0.04915706305671582,0,0,0.0,0,0.04915706305671582,615,615
4,179993,0,95577,5073,0,1,3785.860340429726,1675.533292455298,3794.257318746304,1.15064820021659,2055.616660358762,0.6953077686332412,8.605873653333333E7,1,2500,UNIFORM,1,8.615961103218051,6.511463661563224,14,0,0,3746,73,0,0,1.4228423156198666,0,0.0,67,0,false,0,2,0,0,214,780,5073,0,0,0,0,269,74,0,0,1.0,166,0,3856,72,0,0,1,1,SAFE,0,0,151655,0,0,1731,1,662,0,0,0,1748,95577,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1482,109341,0,0.23989749655036469,71,-1.0,0,9.935321059900051E-6,765,100650,0,2,0,1643,0,0,true,0,61,0,1.0,1642,0,0,2,2,0,0.0,5073,0,0,0,true,0.7601025034496354,207,0,0,42,0,0,true,3748,1.5065758498383501,1454,0,0,0,9868,559.1666666666666,0,1731,71,0,60,0.0,0.0,0,0,2,2,0,0,1.4224324857086537,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},361,0,2PC,1,1.5101517839542677,0.0,42224,318,65,0,0,1749,1028,0,1602,176,0,33,0,1623,201300,0,987,5074,0,0,0,335,0,93,0.0,1.0,1511,2PC__ TO__ PB,0,0,1,607.4555555555555,0.050402384500745155,134,0,0.0,0,0.050411819057932857,621,621
5,179996,0,94820,5042,0,1,3828.8029202697344,1687.9685994304998,3837.522793137644,1.3217724983227022,2108.082284609282,0.6161155567787492,8.539109173333333E7,1,2500,UNIFORM,1,8.42428188618407,6.466902165967375,14,0,0,3789,75,0,0,1.4002425648597343,0,0.0,66,0,false,0,2,0,0,229,799,5042,0,0,0,0,276,74,0,0,1.0,174,0,3759,74,0,0,1,1,SAFE,0,0,148253,0,0,1780,1,662,0,0,0,1760,94820,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1478,108866,0,0.25446251487504956,71,-1.0,0,1.0013718794748806E-5,1504,99862,0,2,129,1653,0,0,true,125,61,0,1.0,1651,0,0,2,2,0,0.0,5042,0,0,0,true,0.7455374851249504,212,0,0,42,0,0,true,3791,1.4843282008015186,1483,0,0,0,9996,554.7888888888889,0,1780,71,0,60,0.0,0.0,0,0,2,2,0,0,1.403014676715589,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},646,0,2PC,1,1.489289964299881,0.0,43515,321,68,0,0,1740,1047,0,1611,180,0,36,0,1656,199724,0,1004,5043,0,0,0,350,0,96,0.0,1.0,1515,2PC__ TO__ PB,0,0,1,604.8277777777778,0.0504896757525385,818,0,0.0,0,0.05049918388191823,647,647
6,179996,0,101715,5391,0,1,3654.854304025227,1568.8894762522734,3665.836455945094,1.18335055598607,2032.8130489705063,0.6078666166660642,9.294888693333334E7,1,2500,UNIFORM,1,8.707018346139842,6.607344804727982,15,0,0,3608,72,0,0,1.4034311556800865,0,0.0,66,0,false,0,2,0,0,228,786,5391,0,0,0,0,269,72,0,0,1.0,178,0,4066,71,0,0,1,1,SAFE,0,0,159465,0,0,1651,1,662,0,0,0,1640,101715,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1431,116031,0,0.24578000370988684,71,-1.0,0,9.336457934588776E-6,774,107106,0,2,0,1537,0,0,true,0,57,0,1.0,1535,0,0,2,2,0,0.0,5391,0,0,0,true,0.7542199962901132,203,0,0,42,0,0,true,3609,1.4891903848989825,1422,0,0,0,10295,595.0333333333333,0,1651,71,0,60,0.0,0.0,0,0,2,2,0,0,1.3926915229085512,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},440,0,2PC,1,1.4824707846410685,0.0,58883,311,67,0,0,1636,969,0,1499,174,0,34,0,1581,214212,0,929,5392,0,0,0,343,0,92,0.0,1.0,1459,2PC__ TO__ PB,0,0,1,644.6222222222223,0.05033331466024312,377,0,0.0,0,0.05034218118330268,643,643
7,179996,0,95198,5001,0,0,3755.8155936812636,1686.798942047102,3755.8155936812636,1.1690233036257847,2022.1580173965206,0.6047637462701502,8.555369173333333E7,1,2500,UNIFORM,1,9.381100939131128,6.88175888980928,16,0,0,3716,74,0,0,1.432561608437152,0,0.0,66,0,false,0,2,0,0,213,801,5001,0,0,0,0,274,74,0,0,1.0,171,0,3824,72,0,0,0,1,SAFE,0,0,151968,0,0,1656,1,662,0,0,0,1754,95198,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1484,108801,0,0.23535292941411717,0,-1.0,0,0.0,0,100199,0,2,175,1653,0,0,true,170,62,0,1.0,1651,0,0,0,2,0,0.0,5001,0,0,0,true,0.7646470705858828,211,0,0,42,0,0,true,3718,1.5166074917540284,1433,0,0,0,9241,556.6611111111112,0,1656,71,0,60,0.0,0.0,0,0,2,2,0,0,1.428114377124575,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,1.5176964607078585,0.0,0,329,65,0,0,1752,1027,0,1611,180,0,36,0,1599,200398,0,987,5001,0,0,0,327,0,95,0.0,1.0,1504,2PC__ TO__ PB,0,0,0,604.4555555555555,0.04991067775127496,0,0,0.0,0,0.04991067775127496,606,606
