SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,UPDATE_XACT_RESPONSE_TIME,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,RG_NTCB,RG_NTCB_S,avgLocalGetTime,localReadOnlyTxCommitServiceTime,avgWriteTxDuration,gMUClusteredGetCommandWaitingTime,remoteUpdateTxPrepareResponseTime,localReadOnlyTxPrepareResponseTime,numKilledTxDueToValidation,numLocalTxWaitingTimeInGMUQueueDueToSlowCommits,applicationContentionFactor,remoteUpdateTxCommitServiceTime,gMUWaitingTimeEnabled,avgLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgCompleteNotificationAsync,numRemoteRemoteLockContentions,tOGMUPrepareRttMinusMaxValidationTime,avgNumNodesCommit,avgCommitAsync,localUpdateTxTotalCpuTime,avgPrepareAsync,numLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,localReadOnlyTxPrepareServiceTime,waitedTimeInLocalCommitQueue,avgNumOfLockRemoteTx,remoteUpdateTxPrepareServiceTime,localUpdateTxLocalServiceTime,avgPutsPerWrTransaction,numWaitedLocalCommits,localUpdateTxCommitServiceTime,avgTOGMUPrepareNoWaitRtt,numberOfRemotePuts,avgTCBTime,numRemoteTxWaitingTimeInGMUQueueDuePendingTx,numTOGMUSuccessfulPrepareNoWait,numAbortedTxDueToWriteLock,avgNumNodesRemoteGet,currentState,localUpdateTxRemoteRollbackServiceTime,avgRemoteTxWaitingTimeInGMUQueueDuePendingTx,numberOfRemoteGets,avgLocalTxWaitingTimeInGMUQueueDuePendingTx,tOGMUPrepareWaitProbability,avgLocalLockHoldTime,avgNumAsyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgPrepareCommandSize,tOGMUAvgSuccessfulValidationResponseTime,numLocalRemoteLockContentions,avgResponseTime,currentProtocolInfo,avgRemoteLockHoldTime,numberOfCommits,tOAvgValidationConditionalWaitTime,numOwnedWrItemsInLocalPrepare,avgRollbackCommandSize,numReadsBeforeWrite,numAbortedTxDueToValidation,localUpdateTxLocalRollbackResponseTime,abortRate,avgNumOfLockLocalTx,numberOfLocalCommits,avgGetsPerWrTransaction,readOnlyTxTotalResponseTime,remoteUpdateTxRollbackServiceTime,avgLockWaitingTime,allowProtocolSwitch,remoteUpdateTxRollbackResponseTime,remotePutExecutionTime,avgRemoteTxCompleteNotifyTime,numOwnedWrItemsInRemotePrepare,avgClusteredGetCommandReplySize,avgReadOnlyTxDuration,numWaitedRemoteCommits,avgNumNodesRollback,replicationDegree,avgLocalLocalAbortLockHoldTime,remoteContentionProbability,numberOfPuts,avgNumSyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,avgGmuClusteredGetCommandRttNoWait,coolDownTimeExpired,avgRemotePutsPerWrTransaction,readOnlyTxTotalCpuTime,numLocalLocalLockContentions,numWaitedRemoteGets,avgClusteredGetCommandSize,tOMaxSuccessfulValidationWaitingTime,localUpdateTxRemoteRollbackResponseTime,enabled,localUpdateTxTotalResponseTime,avgRemoteGetsPerROTransaction,avgRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgPrepareRtt,avgRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,numEarlyAborts,terminationCost,throughput,tOGMUPrepareRttMinusAvgValidationTime,avgLocalSuccessfulLockHoldTime,avgNumNodesCompleteNotification,avgCommitCommandSize,switchCoolDownTime,lockContentionProbability,tOPrepareWaitTime,numOwnedRdItemsInRemotePrepare,avgGetsPerROTransaction,remotelyDeadXact,avgNumNodesPrepare,numLocalTxWaitingTimeInGMUQueueDuePendingTx,localActiveTransactions,availableProtocolsInfo,localUpdateTxLocalRollbackServiceTime,tOGMUAvgSuccessfulValidationServiceTime,currentProtocolId,numLocalPrepareAborts,avgRemoteGetsPerWrTransaction,numOwnedRdItemsInLocalPrepare,avgAbortedWriteTxDuration,avgLocalRemoteAbortLockHoldTime,localUpdateTxPrepareServiceTime,remoteUpdateTxCommitResponseTime,localUpdateTxLocalResponseTime,numRemoteLocalLockContentions,remoteGetResponseTime,numAbortedTxDueDeadlock,localReadOnlyTxLocalResponseTime,localReadOnlyTxLocalServiceTime,avgNumOfLockSuccessLocalTx,avgNTCBTime,numAbortedTxDueToReadLock,localUpdateTxPrepareResponseTime,numberOfGets,avgCommitRtt,avgRemoteGetRtt,gMUClusteredGetCommandServiceTime,updateXactToPrepare,currentEpoch,avgLocalTxWaitingTimeInGMUQueueDueToSlowCommits,waitedTimeInRemoteCommitQueue,localUpdateTxCommitResponseTime,remoteGetServiceTime,localContentionProbability,avgNumPutsBySuccessfulLocalTx,avgLockHoldTime,availableProtocolIds,gMUClusteredGetCommandResponseTime,tONumValidationWaited,numAbortedXacts,avgTxArrivalRate,percentageSuccessWriteTransactions,avgRollbackAsync,writeSkewProbability,localReadOnlyTxCommitResponseTime,avgRollbackRtt,percentageWriteTransactions,Before,After
0,299995,0,20418,20267,0,171,9917.548788967288,4716.049100989323,10029.533204124931,2.2871355247699237,5239.648346573247,0.8144289885870913,1.3166794991304348E8,1,5000,UNIFORM,1,15.020306221852358,11.124125220285881,2,0,9872,0,48,0,0,0,0.0,24,false,0,0,15,0,8,407,4043,0,0,0,0,0,35,3432,5.0,0,228,0,0,4,0,0,171,0,SAFE,0,0,0,0,0,5157,7,0,2857,0,15,7319,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4238,174143,0,5.0,71,-1.0,0,556,0.00418543176032896,0,40685,1000,4675,34,0,true,31,0,0,5.0,0,4674,0,7,8,8184,0.0,101335,0,0,0,true,0.0,3401,0,0,0,0,0,true,9873,0.0,0,4464,0,0,9186,135.61666666666667,0,5134,0,71,60,0.0,0,0.0,1000,0,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},212,0,2PC,171,0.0,0.0,13161,0,357,30,4695,0,0,0,4589,3339,0,48,0,4600,40685000,0,0,0,20438,0,0,0,538,0,1.4678539974557198E-4,5.0,4359,2PC__ TO__ PB,0,0,171,584.37,0.49814427921838517,474,0.0,0,0,0.5002447620912474,5016,5016
1,299995,0,19653,19876,0,161,10172.138220215336,4849.242703709358,10272.998220416583,3.2596139329805998,5332.595624018917,0.802313325431031,1.2567129495652173E8,1,5000,UNIFORM,1,16.98666301335349,13.134275233056185,2,0,10124,0,44,0,0,0,0.0,24,false,0,0,25,0,8,393,4182,0,0,0,0,0,35,3576,5.0,0,227,0,0,4,0,0,161,0,SAFE,0,0,0,0,0,5301,7,0,2857,0,25,7529,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4243,173380,0,5.0,71,-1.0,0,599,0.004056437389770723,0,39529,1000,4805,33,0,true,30,0,0,5.0,0,4804,0,7,8,7903,0.0,99380,0,0,0,true,0.0,3527,0,0,0,0,0,true,10125,0.0,0,4554,0,0,9057,131.76333333333332,0,5286,0,71,60,0.0,0,0.0,1000,0,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},212,0,2PC,161,0.0,0.0,12293,0,353,29,4860,0,0,0,4720,3464,0,54,0,4695,39529000,0,0,0,20037,0,0,0,531,0,2.495383540450167E-4,5.0,4380,2PC__ TO__ PB,0,0,161,581.86,0.502820713906246,495,0.0,0,0,0.5048374905517763,5016,5016
2,300005,0,19173,19256,0,160,10496.073112068965,4960.86774923069,10613.41194043415,2.9978782036331597,5572.983901277524,0.8045382970338947,1.0635490817391305E8,1,5000,UNIFORM,1,17.344068413278396,12.679100909585634,3,0,10449,0,50,0,0,0,0.0,25,false,0,0,15,0,8,518,4207,0,0,0,0,0,38,3579,5.0,0,250,0,0,4,0,0,160,0,SAFE,0,0,0,0,0,5510,7,0,2857,0,15,7746,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4198,172898,0,5.0,71,-1.0,0,609,0.004146259296690767,0,38429,1000,4917,35,0,true,31,0,0,5.0,0,4915,0,7,8,8749,0.0,96280,0,0,0,true,0.0,3561,0,0,0,0,0,true,10450,0.0,0,4640,0,0,10041,128.09666666666666,0,5487,0,71,60,0.0,0,0.0,1000,0,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},231,0,2PC,160,0.0,0.0,13993,0,350,30,4943,0,0,0,4833,3498,0,53,0,4796,38429000,0,0,0,19416,0,0,0,666,0,1.5451174289245981E-4,5.0,4363,2PC__ TO__ PB,0,0,160,580.22,0.5010799136069114,512,0.0,0,0,0.5031485656534246,5016,5016
3,300002,0,19136,18983,0,162,10549.092655639255,5066.625118938127,10672.991358742032,3.1193997805699953,5466.7326924089975,0.7803073105302055,1.1850897495652173E8,1,5000,UNIFORM,1,15.560936652647527,12.493552624017136,3,0,10507,0,47,0,0,0,0.0,24,false,0,0,18,0,8,469,4324,0,0,0,0,0,37,3714,5.0,0,236,0,0,4,0,0,162,0,SAFE,0,0,0,0,0,5420,7,0,2857,0,18,7816,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4229,172861,0,5.0,71,-1.0,0,668,0.00423186437135916,0,38119,1000,5026,35,0,true,31,0,0,5.0,0,5025,0,7,8,7821,0.0,94915,0,0,0,true,0.0,3679,0,0,0,0,0,true,10509,0.0,0,4604,0,0,8682,127.06333333333333,0,5404,0,71,60,0.0,0,0.0,1000,0,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},229,0,2PC,162,0.0,0.0,14417,0,347,31,5103,0,0,0,4940,3616,0,47,0,4754,38119000,0,0,0,19145,0,0,0,610,0,1.8803865238965788E-4,5.0,4378,2PC__ TO__ PB,0,0,162,580.1066666666667,0.4979931267871665,555,0.0,0,0,0.5001175517880934,5016,5016
4,300005,0,19482,19415,0,166,10374.232727169714,4920.3535499948675,10490.8186423384,2.9504658628369556,5381.612530929694,0.7840260082645516,1.4142481913043478E8,1,5000,UNIFORM,1,16.572289634692677,12.617885057471264,3,0,10330,0,46,0,0,0,0.0,24,false,0,0,19,0,8,463,4260,0,0,0,0,0,37,3634,5.0,0,239,0,0,4,0,0,166,0,SAFE,0,0,0,0,0,5357,7,0,2857,0,19,7658,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4214,173207,0,5.0,71,-1.0,0,667,0.004249545605816246,0,38897,1000,4881,35,0,true,31,0,0,5.0,0,4880,0,7,8,8684,0.0,97075,0,0,0,true,0.0,3576,0,0,0,0,0,true,10332,0.0,0,4528,0,0,9067,129.65666666666667,0,5336,0,71,60,0.0,0,0.0,1000,0,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},217,0,2PC,166,0.0,0.0,13483,0,360,30,5012,0,0,0,4790,3513,0,48,0,4675,38897000,0,0,0,19581,0,0,0,601,0,1.9406567591032122E-4,5.0,4360,2PC__ TO__ PB,0,0,166,581.2633333333333,0.4991387510604931,486,0.0,0,0,0.5012671837800476,5016,5016
5,299997,0,19155,19257,0,161,10502.848653061224,4961.4107722787785,10617.46920548372,3.437476887978638,5484.879374253518,0.8509914525420224,1.389632424347826E8,1,5000,UNIFORM,1,17.46244808544837,13.110213983874731,3,0,10451,0,48,0,0,0,0.0,24,false,0,0,16,0,8,484,4255,0,0,0,0,0,37,3617,5.0,0,251,0,0,4,0,0,161,0,SAFE,0,0,0,0,0,5435,7,0,2857,0,16,7747,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4179,172884,0,5.0,71,-1.0,0,581,0.004173904026132269,0,38412,1000,4916,34,109,true,30,0,0,5.0,0,4915,0,7,8,8418,0.0,96285,0,0,0,true,0.0,3528,0,0,0,0,0,true,10453,0.0,0,4561,0,0,11323,128.04,0,5415,0,71,60,0.0,0,0.0,1000,0,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},223,0,2PC,161,0.0,0.0,13611,0,359,30,5042,0,0,0,4822,3463,0,54,0,4721,38412000,0,0,0,19418,0,0,0,641,0,1.6479555052013596E-4,5.0,4335,2PC__ TO__ PB,0,0,161,580.1733333333333,0.5013277100905967,481,0.0,0,0,0.5034091203691702,5016,5016
6,300005,0,18564,18202,0,149,10916.020858751785,5317.958300043094,11031.363727667289,3.4727707436001625,5553.890688001319,0.8541260585036212,1.236503252173913E8,1,5000,UNIFORM,1,17.809263632669644,13.360475226872545,3,0,10866,0,49,0,0,0,0.0,25,false,0,0,13,0,8,500,4525,0,0,0,0,0,39,3877,5.0,0,260,0,0,4,0,0,149,0,SAFE,0,0,0,0,0,5534,7,0,2857,0,13,8099,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4196,172289,0,5.0,71,-1.0,0,610,0.004036299607205743,0,36766,1000,5275,36,0,true,32,0,0,5.0,0,5273,0,7,8,9761,0.0,91010,0,0,0,true,0.0,3791,0,0,0,0,0,true,10868,0.0,0,4616,0,0,9792,122.55333333333333,0,5510,0,71,60,0.0,0,0.0,1000,0,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},236,0,2PC,149,0.0,0.0,13975,0,358,31,5381,0,0,0,5186,3726,0,54,0,4775,36766000,0,0,0,18351,0,0,0,664,0,1.4168165222603672E-4,5.0,4355,2PC__ TO__ PB,0,0,149,578.1833333333333,0.4950769732905402,507,0.0,0,0,0.4971149939049167,5016,5016
7,299994,0,18429,18469,0,155,10760.400130109914,5354.167267133323,10876.334492121934,3.3032709902032225,5361.965484216796,0.8281935399840867,1.490891175652174E8,1,5000,UNIFORM,1,16.480911073327395,12.62349394111138,3,0,10712,0,49,0,0,0,0.0,24,false,0,0,12,0,8,428,4582,0,0,0,0,0,39,3966,5.0,0,240,0,0,4,0,0,155,0,SAFE,0,0,0,0,0,5271,7,0,2857,0,12,8072,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4213,172154,0,5.0,71,-1.0,0,538,0.004183197042074866,0,36898,1000,5312,36,0,true,33,0,0,5.0,0,5311,0,7,8,7062,0.0,92345,0,0,0,true,0.0,3903,0,0,0,0,0,true,10714,0.0,0,4530,0,0,9753,122.99333333333334,0,5261,0,71,60,0.0,0,0.0,1000,0,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},210,0,2PC,155,0.0,0.0,13656,0,345,31,5410,0,0,0,5221,3836,0,51,0,4677,36898000,0,0,0,18624,0,0,0,580,0,1.288659793814433E-4,5.0,4340,2PC__ TO__ PB,0,0,155,577.73,0.500542034798634,447,0.0,0,0,0.5026313658813052,5016,5016
