SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,UPDATE_XACT_RESPONSE_TIME,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,RG_NTCB,RG_NTCB_S,avgLocalGetTime,localReadOnlyTxCommitServiceTime,avgWriteTxDuration,gMUClusteredGetCommandWaitingTime,remoteUpdateTxPrepareResponseTime,localReadOnlyTxPrepareResponseTime,numKilledTxDueToValidation,localReadOnlyTxRemoteNodesRead,numLocalTxWaitingTimeInGMUQueueDueToSlowCommits,applicationContentionFactor,avgCompleteNotificationAsync,gMUWaitingTimeEnabled,avgLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,remoteUpdateTxCommitServiceTime,avgNumNodesCommit,numRemoteRemoteLockContentions,tOGMUPrepareRttMinusMaxValidationTime,avgCommitAsync,localUpdateTxTotalCpuTime,localUpdateCommittedXact,avgPrepareAsync,numLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,localReadOnlyTxPrepareServiceTime,waitedTimeInLocalCommitQueue,remoteUpdateTxPrepareServiceTime,avgNumOfLockRemoteTx,localUpdateTxLocalServiceTime,avgPutsPerWrTransaction,numWaitedLocalCommits,localUpdateTxCommitServiceTime,avgTOGMUPrepareNoWaitRtt,numberOfRemotePuts,avgTCBTime,numRemoteTxWaitingTimeInGMUQueueDuePendingTx,numTOGMUSuccessfulPrepareNoWait,numAbortedTxDueToWriteLock,avgNumNodesRemoteGet,currentState,localUpdateTxRemoteRollbackServiceTime,avgRemoteTxWaitingTimeInGMUQueueDuePendingTx,numberOfRemoteGets,avgLocalTxWaitingTimeInGMUQueueDuePendingTx,tOGMUPrepareWaitProbability,avgLocalLockHoldTime,avgNumAsyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgPrepareCommandSize,tOGMUAvgSuccessfulValidationResponseTime,numLocalRemoteLockContentions,avgResponseTime,localReadOnlyCommittedXact,currentProtocolInfo,avgRemoteLockHoldTime,numberOfCommits,tOAvgValidationConditionalWaitTime,numOwnedWrItemsInLocalPrepare,avgRollbackCommandSize,numReadsBeforeWrite,numAbortedTxDueToValidation,localUpdateTxLocalRollbackResponseTime,abortRate,numberOfLocalCommits,avgNumOfLockLocalTx,avgGetsPerWrTransaction,remoteUpdateTxRollbackServiceTime,readOnlyTxTotalResponseTime,avgLockWaitingTime,allowProtocolSwitch,currentProtocolAsInt,remoteUpdateTxRollbackResponseTime,remotePutExecutionTime,avgRemoteTxCompleteNotifyTime,numOwnedWrItemsInRemotePrepare,avgReadOnlyTxDuration,avgClusteredGetCommandReplySize,numWaitedRemoteCommits,replicationDegree,avgNumNodesRollback,avgLocalLocalAbortLockHoldTime,remoteContentionProbability,numberOfPuts,avgNumSyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,avgGmuClusteredGetCommandRttNoWait,coolDownTimeExpired,avgRemotePutsPerWrTransaction,readOnlyTxTotalCpuTime,numWaitedRemoteGets,numLocalLocalLockContentions,avgClusteredGetCommandSize,tOMaxSuccessfulValidationWaitingTime,localUpdateTxRemoteRollbackResponseTime,enabled,localUpdateTxTotalResponseTime,avgRemoteGetsPerROTransaction,avgPrepareRtt,avgRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,numEarlyAborts,terminationCost,throughput,tOGMUPrepareRttMinusAvgValidationTime,avgCommitCommandSize,avgLocalSuccessfulLockHoldTime,avgNumNodesCompleteNotification,switchCoolDownTime,numOwnedRdItemsInRemotePrepare,lockContentionProbability,tOPrepareWaitTime,remotelyDeadXact,avgGetsPerROTransaction,avgNumNodesPrepare,numLocalTxWaitingTimeInGMUQueueDuePendingTx,localActiveTransactions,localUpdateTxRemoteNodesRead,availableProtocolsInfo,localUpdateTxLocalRollbackServiceTime,tOGMUAvgSuccessfulValidationServiceTime,currentProtocolId,numLocalPrepareAborts,avgRemoteGetsPerWrTransaction,numOwnedRdItemsInLocalPrepare,avgAbortedWriteTxDuration,remoteUpdateTxCommitResponseTime,localUpdateTxPrepareServiceTime,avgLocalRemoteAbortLockHoldTime,localUpdateTxLocalResponseTime,numRemoteLocalLockContentions,remoteGetResponseTime,numAbortedTxDueDeadlock,localReadOnlyTxLocalServiceTime,localReadOnlyTxLocalResponseTime,avgNumOfLockSuccessLocalTx,avgNTCBTime,numAbortedTxDueToReadLock,localUpdateTxPrepareResponseTime,numberOfGets,avgCommitRtt,avgRemoteGetRtt,updateXactToPrepare,gMUClusteredGetCommandServiceTime,currentEpoch,avgLocalTxWaitingTimeInGMUQueueDueToSlowCommits,waitedTimeInRemoteCommitQueue,localUpdateTxCommitResponseTime,remoteGetServiceTime,localContentionProbability,avgNumPutsBySuccessfulLocalTx,avgLockHoldTime,availableProtocolIds,gMUClusteredGetCommandResponseTime,tONumValidationWaited,numAbortedXacts,avgTxArrivalRate,percentageSuccessWriteTransactions,avgRollbackAsync,writeSkewProbability,localReadOnlyTxCommitResponseTime,avgRollbackRtt,percentageWriteTransactions,Before,After
0,179997,0,65170,3434,0,2,47261.45984012813,254.52143986496853,47290.778808095514,3.020036002681981,46949.17326208504,0.8841435371388229,3.9962756053333336E8,1,100000,UNIFORM,1,20.671480847156225,5.743594233740489,29,0,47058,0,43,0,0,0.0,0,0.0,0,false,0,22,95,0,0,7546,2450,3434,0,0,0,0,21,0,78,1.0,0,959,0,0,994,0,0,2,0,SAFE,0,0,0,0,0,50910,94,0,663,0,0,2532,65170,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},37277,391664,0,1.0,71,-1.0,0,9696,2.915196921552051E-5,68604,0,2,44,188,0,true,0,91,0,0,1.0,185,0,0,95,95,0,0.0,3434,0,0,0,true,0.0,51,0,0,0,0,0,true,47062,0.0,38237,0,0,0,18767,381.1333333333333,0,71,50910,0,60,0.0,0.0,0,0,2,95,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},1180,0,2PC,2,0.0,0.0,49278,45,1376,0,315,0,0,0,33,125,0,80,0,38740,137208,0,0,3436,0,0,0,0,7890,0,0.0,1.0,37393,2PC__ TO__ PB,0,0,2,2177.211111111111,0.050055390356247446,9428,0.0,0,0,0.05008308311226423,100095,100095
1,180026,0,68319,3511,0,2,45934.2207485047,259.2846776445791,45959.82592594703,5.038542669005458,45557.79708003418,0.9044813159520507,2.827946938666667E8,1,100000,UNIFORM,1,18.790643877380553,5.4408338762668444,27,0,45806,0,31,0,0,0.0,0,0.0,0,false,0,20,95,0,0,6942,2537,3511,0,0,0,0,20,0,121,1.0,0,947,0,0,959,0,0,2,0,SAFE,0,0,0,0,0,47947,94,0,663,0,0,2417,68319,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},33489,394815,0,1.0,71,-1.0,0,4072,2.7842744180866465E-5,71830,0,2,44,188,0,true,0,45,0,0,1.0,186,0,0,95,95,0,0.0,3511,0,0,0,true,0.0,53,0,0,0,0,0,true,45809,0.0,37676,0,0,0,17467,399.05555555555554,0,71,47947,0,60,0.0,0.0,0,0,2,95,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},959,0,2PC,2,0.0,0.0,44655,29,1433,0,394,0,0,0,33,121,0,79,0,38107,143660,0,0,3513,0,0,0,0,7227,0,0.0,1.0,33593,2PC__ TO__ PB,0,0,2,2194.7166666666667,0.0488792983433106,3801,0.0,0,0,0.04890578015369195,100095,100095
2,180017,0,66655,3486,0,3,45820.14710298336,285.3822302302903,45870.27605421687,6.96858766252281,45419.481577452665,0.8679845774346273,2.85830256E8,1,100000,UNIFORM,1,20.957062813640512,5.511157689895073,31,0,45712,0,35,0,0,0.0,0,0.0,0,false,0,21,95,0,0,6626,2454,3486,0,0,0,0,20,0,126,1.0,0,917,0,0,986,0,0,3,0,SAFE,0,0,0,0,0,45481,94,0,663,0,0,2473,66655,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},33511,393139,0,1.0,71,-1.0,0,6063,4.276916058394161E-5,70141,0,2,41,211,0,true,0,50,0,0,1.0,209,0,0,95,95,0,0.0,3486,0,0,0,true,0.0,56,0,0,0,0,0,true,45716,0.0,37874,0,0,0,15753,389.6722222222222,0,71,45481,0,60,0.0,0.0,0,0,2,95,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},1074,0,2PC,3,0.0,0.0,55605,33,1375,0,432,0,0,0,35,133,0,85,0,38304,140282,0,0,3489,0,0,0,0,6904,0,0.0,1.0,33628,2PC__ TO__ PB,0,0,3,2185.4055555555556,0.04969989022112602,5684,0.0,0,0,0.049740533759124086,100095,100095
3,179994,0,66109,3521,0,1,45696.71284691848,273.11397493533406,45708.37736807725,4.466434447300771,45307.956145697244,0.854292897743595,2.836633024E8,1,100000,UNIFORM,1,20.540245465381798,5.618202582183223,30,0,45561,0,33,0,0,0.0,0,0.0,0,false,0,20,95,0,0,6929,2494,3521,0,0,0,0,21,0,110,1.0,0,934,0,0,985,0,0,1,0,SAFE,0,0,0,0,0,44449,94,0,663,0,0,2489,66109,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},34233,392588,0,1.0,71,-1.0,0,6439,1.436141948270167E-5,69630,0,2,43,198,0,true,0,61,0,0,1.0,194,0,0,95,95,0,0.0,3521,0,0,0,true,0.0,52,0,0,0,0,0,true,45566,0.0,37484,0,0,0,20048,386.8333333333333,0,71,44449,0,60,0.0,0.0,0,0,2,95,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},1069,0,2PC,1,0.0,0.0,40408,31,1413,0,389,0,0,0,33,126,0,83,0,37911,139260,0,0,3522,0,0,0,0,7194,0,0.0,1.0,34356,2PC__ TO__ PB,0,0,1,2182.3444444444444,0.05056728421657332,5861,0.0,0,0,0.050580919418075285,100095,100095
4,180016,0,67389,3656,0,3,44687.17060968272,232.69102758610455,44718.52546690372,4.134543308749015,44316.034843544854,0.8856091954670676,2.753663936E8,1,100000,UNIFORM,1,16.258057411890555,5.1978104802387115,25,0,44529,0,29,0,0,0.0,0,0.0,0,false,0,19,95,0,0,6318,2431,3656,0,0,0,0,19,0,121,1.0,0,912,0,0,986,0,0,3,0,SAFE,0,0,0,0,0,45607,94,0,663,0,0,2452,67389,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},33398,393875,0,1.0,71,-1.0,0,5564,4.22249746650152E-5,71045,0,2,41,169,0,true,0,65,0,0,1.0,167,0,0,95,95,0,0.0,3656,0,0,0,true,0.0,52,0,0,0,0,0,true,44532,0.0,37169,0,0,0,14338,394.69444444444446,0,71,45607,0,60,0.0,0.0,0,0,2,95,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},1000,0,2PC,3,0.0,0.0,37889,26,1363,0,336,0,0,0,33,109,0,74,0,37545,142090,0,0,3659,0,0,0,0,6567,0,0.0,1.0,33522,2PC__ TO__ PB,0,0,3,2189.4944444444445,0.05146034203673728,5220,0.0,0,0,0.05150039409976354,100095,100095
5,180020,0,64266,3433,0,4,46960.01633265366,276.2650757009928,47026.0676749199,4.221729760867318,46531.88640547626,0.8479740792202349,2.813451578666667E8,1,100000,UNIFORM,1,19.08662907108991,5.289931613074753,29,0,46796,0,31,0,0,0.0,0,0.0,0,false,0,21,95,0,0,7691,2503,3433,0,0,0,0,20,0,114,1.0,0,952,0,0,999,0,0,4,0,SAFE,0,0,0,0,0,48379,94,0,663,0,0,2565,64266,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},34462,390771,0,1.0,71,-1.0,0,10021,5.908157688728712E-5,67699,0,2,42,202,0,true,0,52,0,0,1.0,199,0,0,95,95,0,0.0,3433,0,0,0,true,0.0,53,0,0,0,0,0,true,46801,0.0,37903,0,0,0,17328,376.10555555555555,0,71,48379,0,60,0.0,0.0,0,0,2,95,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},905,0,2PC,4,0.0,0.0,56349,32,1402,0,400,0,0,0,32,127,0,85,0,38323,135398,0,0,3437,0,0,0,0,8004,0,0.0,1.0,34581,2PC__ TO__ PB,0,0,4,2172.25,0.05070975937606168,9621,0.0,0,0,0.05076584494040146,100095,100095
6,179992,0,63251,3282,0,1,48808.73450213285,296.9174280722834,48826.4857599025,3.6780775994228514,48351.33082632541,0.8734220090699044,2.9009287893333334E8,1,100000,UNIFORM,1,20.77397488502119,5.594015736315267,31,0,48618,0,44,0,0,0.0,0,0.0,0,false,0,22,95,0,0,8038,2704,3282,0,0,0,0,22,0,129,1.0,0,1032,0,0,1013,0,0,1,0,SAFE,0,0,0,0,0,47170,94,0,663,0,0,2606,63251,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},34943,389748,0,1.0,71,-1.0,0,9545,1.502990951994469E-5,66533,0,2,42,220,0,true,0,41,0,0,1.0,217,0,0,95,95,0,0.0,3282,0,0,0,true,0.0,58,0,0,0,0,0,true,48624,0.0,39225,0,0,0,20050,369.6277777777778,0,71,47170,0,60,0.0,0.0,0,0,2,95,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},1231,0,2PC,1,0.0,0.0,57708,40,1507,0,419,0,0,0,37,142,0,90,0,39730,133066,0,0,3283,0,0,0,0,8373,0,0.0,1.0,35072,2PC__ TO__ PB,0,0,1,2166.5666666666666,0.04932890445342913,7257,0.0,0,0,0.04934319295397842,100095,100095
7,180000,0,62444,3332,0,4,48597.308136254505,271.44866224136825,48670.80862665066,5.271522636059593,48098.78525,0.8915037776454183,2.7907804906666666E8,1,100000,UNIFORM,1,19.94699826695044,6.264645226512618,29,0,48379,0,37,0,0,0.0,0,0.0,0,false,0,21,95,0,0,8214,2635,3332,0,0,0,0,21,0,124,1.0,0,1003,0,0,1024,0,0,4,0,SAFE,0,0,0,0,0,44627,94,0,663,0,0,2642,62444,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},34480,388933,0,1.0,71,-1.0,0,7858,6.080875646093037E-5,65776,0,2,44,200,0,true,0,49,0,0,1.0,197,0,0,95,95,0,0.0,3332,0,0,0,true,0.0,57,0,0,0,0,0,true,48383,0.0,38864,0,0,0,17548,365.4222222222222,0,71,44627,0,60,0.0,0.0,0,0,2,95,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},1144,0,2PC,4,0.0,0.0,60981,33,1470,0,420,0,0,0,36,128,0,86,0,39318,131552,0,0,3336,0,0,0,0,8535,0,0.0,1.0,34592,2PC__ TO__ PB,0,0,4,2162.038888888889,0.05065677450741912,7450,0.0,0,0,0.05071450288841593,100095,100095
8,179999,0,67939,3545,0,2,45722.45489421721,249.11974480048278,45756.19814724965,4.0393394510813305,45359.49187277856,0.9047641967596523,2.845160672E8,1,100000,UNIFORM,1,17.379611280530455,4.859223008701004,26,0,45586,0,30,0,0,0.0,0,0.0,0,false,0,19,95,0,0,6924,2511,3545,0,0,0,0,20,0,118,1.0,0,946,0,0,966,0,0,2,0,SAFE,0,0,0,0,0,43509,94,0,663,0,0,2434,67939,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},34474,394420,0,1.0,71,-1.0,0,6738,2.7977506085107574E-5,71484,0,2,41,182,0,true,0,38,0,0,1.0,180,0,0,95,95,0,0.0,3545,0,0,0,true,0.0,50,0,0,0,0,0,true,45589,0.0,37547,0,0,0,17088,397.1333333333333,0,71,43509,0,60,0.0,0.0,0,0,2,95,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},919,0,2PC,2,0.0,0.0,58188,30,1411,0,366,0,0,0,31,117,0,75,0,37937,142968,0,0,3547,0,0,0,0,7212,0,0.0,1.0,34593,2PC__ TO__ PB,0,0,2,2192.5222222222224,0.04959151698282133,4402,0.0,0,0,0.04961810704193828,100095,100095
9,179995,0,61213,3260,0,0,49483.78731226994,285.74252552562365,49483.78731226994,5.749478339770136,49004.38953312884,0.8198312356170919,2.8220923306666666E8,1,100000,UNIFORM,1,24.380997952631333,6.214686473407473,32,0,49301,0,36,0,0,0.0,0,0.0,0,false,0,21,95,0,0,8632,2673,3260,0,0,0,0,21,0,129,1.0,0,1012,0,0,1037,0,0,0,0,SAFE,0,0,0,0,0,53346,94,0,663,0,0,2694,61213,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},34312,387719,0,1.0,0,-1.0,0,0,0.0,64473,0,2,44,215,0,true,0,46,0,0,1.0,212,0,0,95,0,0,0.0,3260,0,0,0,true,0.0,56,0,0,0,0,0,true,49305,0.0,39365,0,0,0,16807,358.18333333333334,0,71,53346,0,60,0.0,0.0,0,0,2,95,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,33,1494,0,424,0,0,0,35,134,0,88,0,39865,128946,0,0,3260,0,0,0,0,8927,0,0.0,1.0,34468,2PC__ TO__ PB,0,0,0,2155.3,0.0505638019015712,0,0.0,0,0,0.0505638019015712,100095,100095
