SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,UPDATE_XACT_RESPONSE_TIME,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,RG_NTCB,RG_NTCB_S,avgLocalGetTime,localReadOnlyTxCommitServiceTime,gMUClusteredGetCommandWaitingTime,avgWriteTxDuration,remoteUpdateTxPrepareResponseTime,numKilledTxDueToValidation,localReadOnlyTxPrepareResponseTime,numLocalTxWaitingTimeInGMUQueueDueToSlowCommits,applicationContentionFactor,avgLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgCompleteNotificationAsync,remoteUpdateTxCommitServiceTime,gMUWaitingTimeEnabled,tOGMUPrepareRttMinusMaxValidationTime,numRemoteRemoteLockContentions,avgNumNodesCommit,avgCommitAsync,localUpdateTxTotalCpuTime,avgPrepareAsync,numLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,localReadOnlyTxPrepareServiceTime,waitedTimeInLocalCommitQueue,remoteUpdateTxPrepareServiceTime,avgNumOfLockRemoteTx,localUpdateTxLocalServiceTime,numWaitedLocalCommits,avgPutsPerWrTransaction,localUpdateTxCommitServiceTime,avgTOGMUPrepareNoWaitRtt,numberOfRemotePuts,avgTCBTime,numRemoteTxWaitingTimeInGMUQueueDuePendingTx,numTOGMUSuccessfulPrepareNoWait,numAbortedTxDueToWriteLock,avgNumNodesRemoteGet,currentState,localUpdateTxRemoteRollbackServiceTime,avgRemoteTxWaitingTimeInGMUQueueDuePendingTx,numberOfRemoteGets,avgLocalTxWaitingTimeInGMUQueueDuePendingTx,tOGMUPrepareWaitProbability,avgLocalLockHoldTime,avgNumAsyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgPrepareCommandSize,tOGMUAvgSuccessfulValidationResponseTime,numLocalRemoteLockContentions,avgResponseTime,currentProtocolInfo,avgRemoteLockHoldTime,numberOfCommits,tOAvgValidationConditionalWaitTime,numOwnedWrItemsInLocalPrepare,avgRollbackCommandSize,numReadsBeforeWrite,numAbortedTxDueToValidation,abortRate,localUpdateTxLocalRollbackResponseTime,avgNumOfLockLocalTx,numberOfLocalCommits,avgGetsPerWrTransaction,remoteUpdateTxRollbackServiceTime,readOnlyTxTotalResponseTime,avgLockWaitingTime,allowProtocolSwitch,remoteUpdateTxRollbackResponseTime,remotePutExecutionTime,avgRemoteTxCompleteNotifyTime,avgClusteredGetCommandReplySize,numOwnedWrItemsInRemotePrepare,avgReadOnlyTxDuration,numWaitedRemoteCommits,avgNumNodesRollback,replicationDegree,remoteContentionProbability,avgLocalLocalAbortLockHoldTime,numberOfPuts,avgNumSyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,avgGmuClusteredGetCommandRttNoWait,avgRemotePutsPerWrTransaction,readOnlyTxTotalCpuTime,numLocalLocalLockContentions,numWaitedRemoteGets,avgClusteredGetCommandSize,tOMaxSuccessfulValidationWaitingTime,localUpdateTxRemoteRollbackResponseTime,enabled,localUpdateTxTotalResponseTime,avgRemoteGetsPerROTransaction,avgPrepareRtt,avgRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,numEarlyAborts,terminationCost,throughput,tOGMUPrepareRttMinusAvgValidationTime,avgCommitCommandSize,avgNumNodesCompleteNotification,avgLocalSuccessfulLockHoldTime,switchCoolDownTime,tOPrepareWaitTime,lockContentionProbability,numOwnedRdItemsInRemotePrepare,avgGetsPerROTransaction,remotelyDeadXact,avgNumNodesPrepare,numLocalTxWaitingTimeInGMUQueueDuePendingTx,localActiveTransactions,availableProtocolsInfo,tOGMUAvgSuccessfulValidationServiceTime,localUpdateTxLocalRollbackServiceTime,currentProtocolId,numLocalPrepareAborts,numOwnedRdItemsInLocalPrepare,avgRemoteGetsPerWrTransaction,avgAbortedWriteTxDuration,remoteUpdateTxCommitResponseTime,avgLocalRemoteAbortLockHoldTime,localUpdateTxPrepareServiceTime,numRemoteLocalLockContentions,localUpdateTxLocalResponseTime,remoteGetResponseTime,numAbortedTxDueDeadlock,localReadOnlyTxLocalServiceTime,localReadOnlyTxLocalResponseTime,avgNumOfLockSuccessLocalTx,avgNTCBTime,numAbortedTxDueToReadLock,localUpdateTxPrepareResponseTime,numberOfGets,avgCommitRtt,avgRemoteGetRtt,gMUClusteredGetCommandServiceTime,updateXactToPrepare,currentEpoch,avgLocalTxWaitingTimeInGMUQueueDueToSlowCommits,localUpdateTxCommitResponseTime,waitedTimeInRemoteCommitQueue,remoteGetServiceTime,localContentionProbability,avgNumPutsBySuccessfulLocalTx,avgLockHoldTime,availableProtocolIds,gMUClusteredGetCommandResponseTime,tONumValidationWaited,numAbortedXacts,avgTxArrivalRate,percentageSuccessWriteTransactions,avgRollbackAsync,writeSkewProbability,localReadOnlyTxCommitResponseTime,avgRollbackRtt,percentageWriteTransactions,Before,After
0,180024,0,2525,2527,0,587,39653.1460182034,22542.33970772277,48648.72436208943,12.140853342791276,16794.31957024139,0.9492253362510061,7.194361066666667E7,1,1000,UNIFORM,1,44.53369409469764,30.1894901578294,2,0,0,39562,53,0,0,0,0.0,0,0,29,false,0,29,40,1888,16276,0,0,0,0,40,0,14569,0,5.0,657,0,0,3,0,0,587,0,SAFE,0,0,0,0,0,16877,39,0,2853,0,29,35487,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},11948,101493,0,5.0,71,-1.0,0,0.10409647100549743,2036,0,5052,5000,23,22449,1783,true,21,0,0,0,5.0,22445,0,39,40,0.0,16344,12635,0,0,0,0.0,14345,0,0,0,0,0,true,39564,0.0,14069,0,0,0,16101,28.066666666666666,0,71,0,16963,60,0,0.0,0.0,5000,0,40,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,558,2PC,587,0.0,0.0,38558,38,0,990,0,22915,0,0,14226,22259,0,118,0,14352,25260000,0,0,0,3114,0,0,2209,0,0,0.0018625561978163135,5.0,12075,2PC__ TO__ PB,0,0,587,688.0166666666667,0.5001979414093428,1869,0.0,0,0,0.5522255719099131,1080,1080
1,179999,0,2463,2491,0,551,40216.81708992372,23010.994337393422,49441.44548414292,12.346241416893733,16907.384493376154,0.9065463822335056,6.01345328E7,1,1000,UNIFORM,1,43.050446684831975,30.16768719346049,2,0,0,40116,53,0,0,0,0.0,0,0,29,false,0,9,40,1955,16958,0,0,0,0,39,0,15225,0,5.0,669,0,0,3,0,0,551,0,SAFE,0,0,0,0,0,17446,39,0,2853,0,9,36183,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},13136,101429,0,5.0,71,-1.0,0,0.10009082652134424,2277,0,4954,5000,23,22917,0,true,21,0,0,0,5.0,22914,0,40,40,0.0,17353,12455,0,0,0,0.0,14800,0,0,0,0,0,true,40118,0.0,14101,0,0,0,14228,27.522222222222222,0,71,0,17464,60,0,0.0,0.0,5000,0,40,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,597,2PC,551,0.0,0.0,41528,36,0,1003,0,23360,0,0,14683,22745,0,123,0,14403,24770000,0,0,0,3042,0,0,2263,0,0,5.91715976331361E-4,5.0,13242,2PC__ TO__ PB,0,0,551,687.5777777777778,0.5028259991925716,2094,0.0,0,0,0.5525885558583107,1080,1080
2,180030,0,2593,2525,0,519,39649.7866740594,22680.1162880833,47940.40894257426,9.27534078410502,16537.18679009901,0.885837879453656,7.645139466666667E7,1,1000,UNIFORM,1,40.649118147951036,27.186969132517298,2,0,0,39565,50,0,0,0,0.0,0,0,26,false,0,17,40,1894,16930,0,0,0,0,37,0,15380,0,5.0,596,0,0,3,0,0,519,0,SAFE,0,0,0,0,0,16414,39,0,2853,0,17,35037,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},12942,101557,0,5.0,71,-1.0,0,0.0920702501330495,2057,0,5118,5000,19,22597,0,true,19,0,0,0,5.0,22596,0,39,40,0.0,16771,12625,0,0,0,0.0,14950,0,0,0,0,0,true,39567,0.0,13887,0,0,0,13361,28.433333333333334,0,71,0,16355,60,0,0.0,0.0,5000,0,40,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,525,2PC,519,0.0,0.0,40133,34,0,904,0,23165,0,0,14852,22447,0,115,0,14147,25590000,0,0,0,3044,0,0,2183,0,0,0.001116951379763469,5.0,13032,2PC__ TO__ PB,0,0,519,688.3222222222222,0.49335677999218447,1914,0.0,0,0,0.5400035479865176,1080,1080
3,180010,0,2589,2486,0,591,39658.799113837485,22319.95634453457,49098.83336765889,9.618590363572185,16701.456668543844,0.9126289201556677,9.13202992E7,1,1000,UNIFORM,1,40.30146452523826,27.474050829509352,2,0,0,39570,52,0,0,0,0.0,0,0,26,false,0,11,40,1940,16322,0,0,0,0,37,0,14759,0,5.0,604,0,0,3,0,0,591,0,SAFE,0,0,0,0,0,16356,39,0,2853,0,11,35335,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},12991,101555,0,5.0,71,-1.0,0,0.10430638898693964,2185,0,5075,5000,20,22240,1265,true,18,0,0,0,5.0,22238,0,39,40,0.0,17460,12430,0,0,0,0.0,14578,0,0,0,0,0,true,39572,0.0,13987,0,0,0,13472,28.194444444444443,0,71,0,16148,60,0,0.0,0.0,5000,0,40,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,531,2PC,591,0.0,0.0,39558,34,0,906,0,23015,0,0,14480,22101,0,109,0,14249,25375000,0,0,0,3077,0,0,2225,0,0,7.149821254468638E-4,5.0,13083,2PC__ TO__ PB,0,0,591,688.2777777777778,0.4898522167487685,2039,0.0,0,0,0.5430638898693964,1080,1080
4,180010,0,2579,2449,0,527,40207.25865006125,23240.586395889877,48960.60823723969,10.758589738973896,16735.067006533278,0.9019637406829627,6.5104027733333334E7,1,1000,UNIFORM,1,41.591185418541855,28.689203780378037,2,0,0,40118,50,0,0,0,0.0,0,0,25,false,0,20,40,2004,16994,0,0,0,0,37,0,15442,0,5.0,608,0,0,3,0,0,527,0,SAFE,0,0,0,0,0,17049,39,0,2853,0,20,35668,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},12857,101543,0,5.0,71,-1.0,0,0.09486948694869488,2174,0,5028,5000,20,23167,207,true,19,0,0,0,5.0,23166,0,39,40,0.0,19378,12245,0,0,0,0.0,15031,0,0,0,0,0,true,40120,0.0,13952,0,0,0,12251,27.933333333333334,0,71,0,16718,60,0,0.0,0.0,5000,0,40,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,535,2PC,527,0.0,0.0,40501,33,0,892,0,23518,0,0,14934,23015,0,112,0,14234,25140000,0,0,0,2976,0,0,2288,0,0,0.0013440860215053765,5.0,12960,2PC__ TO__ PB,0,0,527,688.2444444444444,0.48707239459029433,2037,0.0,0,0,0.5357335733573357,1080,1080
5,180010,0,2417,2503,0,561,40530.88003395925,22930.002496069505,49704.85346144626,9.253162379127897,16991.548604075113,0.9412314276421582,5.663807413333333E7,1,1000,UNIFORM,1,44.198685458857874,27.35285221674877,2,0,0,40429,53,0,0,0,0.0,0,0,27,false,0,18,40,2149,16594,0,0,0,0,38,0,15005,0,5.0,638,0,0,3,0,0,561,0,SAFE,0,0,0,0,0,16840,39,0,2853,0,18,36440,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},12721,101388,0,5.0,71,-1.0,0,0.1023535851122058,2386,0,4920,5000,21,22850,0,true,19,0,0,0,5.0,22849,0,39,40,0.0,17318,12515,0,0,0,0.0,14667,0,0,0,0,0,true,40431,0.0,14005,0,0,0,13074,27.333333333333332,0,71,0,16756,60,0,0.0,0.0,5000,0,40,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,564,2PC,561,0.0,0.0,40757,36,0,897,0,23594,0,0,14562,22696,0,122,0,14289,24600000,0,0,0,3064,0,0,2468,0,0,0.001174934725848564,5.0,12826,2PC__ TO__ PB,0,0,561,687.3777777777777,0.508739837398374,2240,0.0,0,0,0.5590220762634556,1080,1080
6,180005,0,2500,2449,0,555,40463.30355573703,23292.5340076,49652.662567578605,11.902967478197674,16718.238548795427,0.9506414903978319,8.87552272E7,1,1000,UNIFORM,1,43.38340425145349,28.22672710755814,2,0,0,40366,52,0,0,0,0.0,0,0,27,false,0,22,40,2028,17149,0,0,0,0,37,0,15596,0,5.0,606,0,0,3,0,0,555,0,SAFE,0,0,0,0,0,16365,39,0,2853,0,22,36229,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},12432,101464,0,5.0,71,-1.0,0,0.10083575581395349,2290,0,4949,5000,21,23216,0,true,20,0,0,0,5.0,23215,0,39,40,0.0,16340,12245,0,0,0,0.0,15150,0,0,0,0,0,true,40369,0.0,13885,0,0,0,13794,27.494444444444444,0,71,0,16369,60,0,0.0,0.0,5000,0,40,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,532,2PC,555,0.0,0.0,40367,35,0,895,0,23783,0,0,15051,23075,0,118,0,14177,24745000,0,0,0,3004,0,0,2330,0,0,0.0014647137150466045,5.0,12539,2PC__ TO__ PB,0,0,555,687.8222222222222,0.4948474439280663,2116,0.0,0,0,0.5457848837209303,1080,1080
7,179996,0,2496,2525,0,592,39488.208003168314,22902.41121394231,48582.00590732673,10.744364867272402,16701.91350811881,0.9282716101258353,6.792852426666667E7,1,1000,UNIFORM,1,39.52679315873864,27.56084571530376,2,0,0,39399,50,0,0,0,0.0,0,0,26,false,0,21,40,1991,16497,0,0,0,0,37,0,14918,0,5.0,618,0,0,2,0,0,592,0,SAFE,0,0,0,0,0,16922,39,0,2853,0,21,35710,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},13826,101458,0,5.0,71,-1.0,0,0.10546944592909317,2237,0,5021,5000,20,22818,0,true,19,0,0,0,5.0,22816,0,39,40,0.0,17162,12625,0,0,0,0.0,14701,0,0,0,0,0,true,39401,0.0,13927,0,0,0,14154,27.894444444444446,0,71,0,16872,60,0,0.0,0.0,5000,0,40,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,543,2PC,592,0.0,0.0,38632,34,0,908,0,22836,0,0,14600,22653,0,111,0,14210,25105000,0,0,0,3117,0,0,2267,0,0,0.001347449470644851,5.0,13902,2PC__ TO__ PB,0,0,592,687.8166666666667,0.5028878709420435,2078,0.0,0,0,0.555318011758418,1080,1080
8,180004,0,2473,2427,0,566,40350.183976514214,23676.163253538212,49979.6638355995,9.48512952799122,16704.18066790276,0.8796409085711397,6.673157013333333E7,1,1000,UNIFORM,1,38.35097950969631,27.404689169410904,2,0,0,40258,50,0,0,0,0.0,0,0,27,false,0,21,40,1987,17220,0,0,0,0,37,0,15661,0,5.0,605,0,0,3,0,0,566,0,SAFE,0,0,0,0,0,16380,39,0,2853,0,21,36598,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},13819,101450,0,5.0,71,-1.0,0,0.1035492133186974,2119,0,4900,5000,20,23591,0,true,19,0,0,0,5.0,23590,0,39,40,0.0,16983,12135,0,0,0,0.0,15270,0,0,0,0,0,true,40260,0.0,13954,0,0,0,16057,27.22222222222222,0,71,0,16241,60,0,0.0,0.0,5000,0,40,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,532,2PC,566,0.0,0.0,41144,34,0,905,0,23693,0,0,15172,23417,0,108,0,14216,24500000,0,0,0,2993,0,0,2278,0,0,0.00140327430671567,5.0,13880,2PC__ TO__ PB,0,0,566,687.75,0.4953061224489796,1976,0.0,0,0,0.5475667764361507,1080,1080
9,180019,0,2394,2446,0,564,40622.894825838106,23874.02416750209,50162.00828740802,10.500253886010363,16813.35802780049,0.8783182304639781,7.747787733333333E7,1,1000,UNIFORM,1,48.760636010362695,29.485545336787563,2,0,0,40522,55,0,0,0,0.0,0,0,30,false,0,18,40,1956,17293,0,0,0,0,40,0,15602,0,5.0,662,0,0,3,0,0,564,0,SAFE,0,0,0,0,0,17716,39,0,2853,0,18,37041,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},13875,101365,0,5.0,71,-1.0,0,0.10436713545521836,2174,0,4840,5000,23,23784,0,true,21,0,0,0,5.0,23782,0,39,40,0.0,18067,12230,0,0,0,0.0,15265,0,0,0,0,0,true,40524,0.0,13985,0,0,0,17995,26.88888888888889,0,71,0,17651,60,0,0.0,0.0,5000,0,40,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,569,2PC,564,0.0,0.0,41184,39,0,969,0,23865,0,0,15143,23600,0,123,0,14291,24200000,0,0,0,3010,0,0,2276,0,0,0.0011960132890365448,5.0,13972,2PC__ TO__ PB,0,0,564,687.2888888888889,0.5053719008264462,2024,0.0,0,0,0.5569948186528497,1080,1080
