SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,UPDATE_XACT_RESPONSE_TIME,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,RG_NTCB,RG_NTCB_S,avgLocalGetTime,localReadOnlyTxCommitServiceTime,avgWriteTxDuration,gMUClusteredGetCommandWaitingTime,remoteUpdateTxPrepareResponseTime,localReadOnlyTxPrepareResponseTime,numKilledTxDueToValidation,localReadOnlyTxRemoteNodesRead,numLocalTxWaitingTimeInGMUQueueDueToSlowCommits,applicationContentionFactor,avgCompleteNotificationAsync,gMUWaitingTimeEnabled,avgLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,remoteUpdateTxCommitServiceTime,avgNumNodesCommit,numRemoteRemoteLockContentions,tOGMUPrepareRttMinusMaxValidationTime,avgCommitAsync,localUpdateTxTotalCpuTime,localUpdateCommittedXact,avgPrepareAsync,numLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,localReadOnlyTxPrepareServiceTime,waitedTimeInLocalCommitQueue,remoteUpdateTxPrepareServiceTime,avgNumOfLockRemoteTx,localUpdateTxLocalServiceTime,avgPutsPerWrTransaction,numWaitedLocalCommits,localUpdateTxCommitServiceTime,avgTOGMUPrepareNoWaitRtt,numberOfRemotePuts,avgTCBTime,numRemoteTxWaitingTimeInGMUQueueDuePendingTx,numTOGMUSuccessfulPrepareNoWait,numAbortedTxDueToWriteLock,avgNumNodesRemoteGet,currentState,localUpdateTxRemoteRollbackServiceTime,avgRemoteTxWaitingTimeInGMUQueueDuePendingTx,numberOfRemoteGets,avgLocalTxWaitingTimeInGMUQueueDuePendingTx,tOGMUPrepareWaitProbability,avgLocalLockHoldTime,avgNumAsyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgPrepareCommandSize,tOGMUAvgSuccessfulValidationResponseTime,numLocalRemoteLockContentions,avgResponseTime,localReadOnlyCommittedXact,currentProtocolInfo,avgRemoteLockHoldTime,numberOfCommits,tOAvgValidationConditionalWaitTime,numOwnedWrItemsInLocalPrepare,avgRollbackCommandSize,numReadsBeforeWrite,numAbortedTxDueToValidation,localUpdateTxLocalRollbackResponseTime,abortRate,numberOfLocalCommits,avgNumOfLockLocalTx,avgGetsPerWrTransaction,remoteUpdateTxRollbackServiceTime,readOnlyTxTotalResponseTime,avgLockWaitingTime,allowProtocolSwitch,currentProtocolAsInt,remoteUpdateTxRollbackResponseTime,remotePutExecutionTime,avgRemoteTxCompleteNotifyTime,numOwnedWrItemsInRemotePrepare,avgReadOnlyTxDuration,avgClusteredGetCommandReplySize,numWaitedRemoteCommits,replicationDegree,avgNumNodesRollback,avgLocalLocalAbortLockHoldTime,remoteContentionProbability,numberOfPuts,avgNumSyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,avgGmuClusteredGetCommandRttNoWait,coolDownTimeExpired,avgRemotePutsPerWrTransaction,readOnlyTxTotalCpuTime,numWaitedRemoteGets,numLocalLocalLockContentions,avgClusteredGetCommandSize,tOMaxSuccessfulValidationWaitingTime,localUpdateTxRemoteRollbackResponseTime,enabled,localUpdateTxTotalResponseTime,avgRemoteGetsPerROTransaction,avgPrepareRtt,avgRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,numEarlyAborts,terminationCost,throughput,tOGMUPrepareRttMinusAvgValidationTime,avgCommitCommandSize,avgLocalSuccessfulLockHoldTime,avgNumNodesCompleteNotification,switchCoolDownTime,numOwnedRdItemsInRemotePrepare,lockContentionProbability,tOPrepareWaitTime,remotelyDeadXact,avgGetsPerROTransaction,avgNumNodesPrepare,numLocalTxWaitingTimeInGMUQueueDuePendingTx,localActiveTransactions,localUpdateTxRemoteNodesRead,availableProtocolsInfo,localUpdateTxLocalRollbackServiceTime,tOGMUAvgSuccessfulValidationServiceTime,currentProtocolId,numLocalPrepareAborts,avgRemoteGetsPerWrTransaction,numOwnedRdItemsInLocalPrepare,avgAbortedWriteTxDuration,remoteUpdateTxCommitResponseTime,localUpdateTxPrepareServiceTime,avgLocalRemoteAbortLockHoldTime,localUpdateTxLocalResponseTime,numRemoteLocalLockContentions,remoteGetResponseTime,numAbortedTxDueDeadlock,localReadOnlyTxLocalServiceTime,localReadOnlyTxLocalResponseTime,avgNumOfLockSuccessLocalTx,avgNTCBTime,numAbortedTxDueToReadLock,localUpdateTxPrepareResponseTime,numberOfGets,avgCommitRtt,avgRemoteGetRtt,updateXactToPrepare,gMUClusteredGetCommandServiceTime,currentEpoch,avgLocalTxWaitingTimeInGMUQueueDueToSlowCommits,waitedTimeInRemoteCommitQueue,localUpdateTxCommitResponseTime,remoteGetServiceTime,localContentionProbability,avgNumPutsBySuccessfulLocalTx,avgLockHoldTime,availableProtocolIds,gMUClusteredGetCommandResponseTime,tONumValidationWaited,numAbortedXacts,avgTxArrivalRate,percentageSuccessWriteTransactions,avgRollbackAsync,writeSkewProbability,localReadOnlyTxCommitResponseTime,avgRollbackRtt,percentageWriteTransactions,Before,After
0,179992,0,68832,3684,0,3,4819.309278773073,2348.699897634821,4832.475301574375,1.6350623147037329,2407.26772339848,0.5139045317868869,5.983814986666667E7,1,2500,UNIFORM,1,10.84781981273873,8.249605151753334,16,0,4756,0,99,0,0,1.9190638075313808,0,0.0,0,false,0,82,2,0,0,232,922,3684,0,0,0,0,101,0,367,1.0,0,173,0,3575,89,0,0,3,1,SAFE,0,0,140402,0,0,1820,1,0,662,0,0,2432,68832,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1680,79033,0,0.029587404994571118,71,-1.0,0,705,4.136846895296405E-5,72516,0,2,83,2309,0,true,0,132,78,0,1.0,2307,0,0,2,2,0,0.0,3684,0,0,0,true,0.9704125950054289,279,0,0,42,0,0,true,4759,1.9361779404927941,1769,0,0,0,11291,402.8666666666667,0,71,1820,0,60,0.0,0.0,0,0,2,2,0,0,1.9188382193268188,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},217,0,2PC,3,1.9356677524429968,0.0,15705,85,350,0,2422,0,1136,0,242,2262,0,43,0,1933,145032,0,1090,3687,0,0,0,0,353,104,0.0,1.0,1682,2PC__ TO__ PB,0,0,3,439.10555555555555,0.05080258149925534,526,0.0,0,0,0.050841848343192816,80,80
1,179995,0,69476,3651,0,3,4865.774847986852,2326.9432703091716,4887.598873733224,1.4252579926158895,2412.2704489181046,0.6256906510291333,6.606525706666667E7,1,2500,UNIFORM,1,9.579119773006974,7.28148713250376,17,0,4798,0,94,0,0,1.9224768265300247,0,0.0,0,false,0,82,2,0,0,254,944,3651,0,0,0,0,93,0,355,1.0,0,196,0,3541,83,0,0,3,1,SAFE,0,0,141778,0,0,2612,1,0,662,0,0,2416,69476,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1707,79783,0,0.030128731854286498,71,-1.0,0,750,4.10228360453986E-5,73127,0,2,71,2292,0,true,0,68,78,0,1.0,2290,0,0,2,2,0,0.0,3651,0,0,0,true,0.9698712681457134,263,0,0,42,0,0,true,4801,1.9391012723818297,1744,0,0,0,10854,406.2611111111111,0,71,2612,0,60,0.0,0.0,0,0,2,2,0,0,1.910983292248699,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},351,0,2PC,3,1.9328950972336347,0.0,25992,80,361,0,2457,0,1132,0,228,2248,0,38,0,1916,146254,0,1089,3654,0,0,0,0,380,99,0.0,1.0,1725,2PC__ TO__ PB,0,0,3,443.2611111111111,0.0499268396078056,377,0.0,0,0,0.049965814303295504,78,78
2,179992,0,71817,3679,0,4,4773.211338950801,2253.808773451968,4801.870812720848,1.7090280132450333,2409.239518891003,0.7221994725372664,5.430445493333333E7,1,2500,UNIFORM,1,8.94924570860927,7.173302728476822,15,0,4703,0,95,0,0,1.9172758539064567,0,0.0,0,false,0,78,2,0,0,232,928,3679,0,0,0,0,93,0,359,1.0,0,185,0,3558,82,0,0,4,1,SAFE,0,0,145958,0,0,1774,1,0,662,0,0,2339,71817,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1597,82879,0,0.032889372111986954,71,-1.0,0,1182,5.298013245033112E-5,75496,0,2,74,2218,0,true,0,67,69,0,1.0,2217,0,0,2,2,0,0.0,3679,0,0,0,true,0.967110627888013,263,0,0,42,0,0,true,4705,1.9332052299594804,1775,0,0,0,10678,419.4222222222222,0,71,1774,0,60,0.0,0.0,0,0,2,2,0,0,1.9168252242457189,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},263,0,2PC,4,1.9355803207393314,0.0,25907,75,353,0,2363,0,1097,0,229,2174,0,38,0,1946,150992,0,1053,3683,0,0,0,0,352,101,0.0,1.0,1600,2PC__ TO__ PB,0,0,4,460.5,0.04873105859913108,878,0.0,0,0,0.04878145695364238,89,89
3,179996,0,70483,3679,0,2,4793.415528132645,2296.237434005363,4811.509177493885,1.3258462057062725,2431.1430954063603,0.7201194306498447,8.270139146666667E7,1,2500,UNIFORM,1,8.836628606871258,7.269330173669165,16,0,4720,0,98,0,0,1.9248471262573954,0,0.0,0,false,0,80,2,0,0,239,924,3679,0,0,0,0,96,0,353,1.0,0,187,0,3549,83,0,0,2,1,SAFE,0,0,143944,0,0,2098,1,0,662,0,0,2382,70483,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1676,80462,0,0.0353356890459364,71,-1.0,0,2442,2.696726174424249E-5,74162,0,2,98,2260,0,true,0,91,69,0,1.0,2259,0,0,2,2,0,0.0,3679,0,0,0,true,0.9646643109540636,261,0,0,42,0,0,true,4723,1.9408935487990011,1790,0,0,0,11103,412.0111111111111,0,71,2098,0,60,0.0,0.0,0,0,2,2,0,0,1.9233487360695842,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},392,0,2PC,2,1.9418320195705354,0.0,32359,79,356,0,2357,0,1114,0,226,2216,0,38,0,1961,148324,0,1071,3681,0,0,0,0,364,99,0.0,1.0,1685,2PC__ TO__ PB,0,0,2,447.0388888888889,0.04960761576009277,1645,0.0,0,0,0.049633245240278304,75,75
4,179994,0,70658,3725,0,3,4715.111960268457,2291.093799739591,4729.192364026845,1.7537824052913185,2387.218023624161,0.6059495236521925,5.6966476266666666E7,1,2500,UNIFORM,1,9.769984499771462,7.67295790874627,17,0,4648,0,100,0,0,1.9246228311019276,0,0.0,0,false,0,81,2,0,0,255,949,3725,0,0,0,0,98,0,355,1.0,0,202,0,3622,85,0,0,3,1,SAFE,0,0,144417,0,0,1771,1,0,662,0,0,2371,70658,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1589,80537,0,0.027651006711409395,71,-1.0,0,571,4.033016965558035E-5,74383,0,2,61,2252,0,true,0,54,70,0,1.0,2250,0,0,2,2,0,0.0,3725,0,0,0,true,0.9723489932885906,268,0,0,42,0,0,true,4651,1.9414079085170823,1717,0,0,0,11334,413.2388888888889,0,71,1771,0,60,0.0,0.0,0,0,2,2,0,0,1.9285906040268457,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},344,0,2PC,3,1.9438926174496645,0.0,17138,80,362,0,2334,0,1106,0,232,2206,0,41,0,1891,148766,0,1061,3728,0,0,0,0,380,100,0.0,1.0,1592,2PC__ TO__ PB,0,0,3,447.48333333333335,0.05007864700267534,239,0.0,0,0,0.05011695749200118,74,74
5,179996,0,67345,3477,0,4,4972.708781708369,2406.7565974905337,4999.314203911418,2.1862142151187416,2538.0282323842393,0.7198211724969765,6.189952E7,1,2500,UNIFORM,1,10.953659531810352,8.091149083669839,17,0,4894,0,97,0,0,1.9114410869403815,0,0.0,0,false,0,83,2,0,0,269,973,3477,0,0,0,0,97,0,372,1.0,0,198,0,3349,90,0,0,4,1,SAFE,0,0,136614,0,0,1926,1,0,662,0,0,2489,67345,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1668,78412,0,0.03681334483750359,71,-1.0,0,727,5.647643520740971E-5,70822,0,2,73,2365,0,true,0,67,80,0,1.0,2363,0,0,2,2,0,0.0,3477,0,0,0,true,0.9631866551624964,281,0,0,42,0,0,true,4897,1.928740069789888,1813,0,0,0,11585,393.4555555555556,0,71,1926,0,60,0.0,0.0,0,0,2,2,0,0,1.9188955996548749,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},309,0,2PC,4,1.9335634167385678,0.0,22859,80,372,0,2435,0,1165,0,243,2314,0,45,0,1995,141644,0,1116,3481,0,0,0,0,419,105,0.0,1.0,1672,2PC__ TO__ PB,0,0,4,435.68333333333334,0.04909491400977097,487,0.0,0,0,0.0491486177392483,93,93
6,179996,0,68167,3556,0,0,5008.939451068616,2371.2958217172536,5008.939451068616,1.670121216346221,2547.1749676602926,0.5262577030113731,7.44978544E7,1,2500,UNIFORM,1,11.09209508804707,8.264476304672142,17,0,4937,0,97,0,0,1.9160004107559376,0,0.0,0,false,0,85,2,0,0,261,999,3556,0,0,0,0,98,0,383,1.0,0,206,0,3440,90,0,0,0,1,SAFE,0,0,138600,0,0,2575,1,0,662,0,0,2459,68167,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1619,78964,0,0.03262092238470191,0,-1.0,0,0,0.0,71723,0,2,72,2331,0,true,0,64,78,0,1.0,2330,0,0,2,0,0,0.0,3556,0,0,0,true,0.9673790776152981,291,0,0,42,0,0,true,4940,1.9328120644886821,1845,0,0,0,11178,398.4611111111111,0,71,2575,0,60,0.0,0.0,0,0,2,2,0,0,1.905511811023622,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,1.9251968503937007,0.0,0,84,378,0,2459,0,1148,0,253,2282,0,44,0,2030,143446,0,1099,3556,0,0,0,0,402,110,0.0,1.0,1637,2PC__ TO__ PB,0,0,0,438.7111111111111,0.049579632753788884,0,0.0,0,0,0.049579632753788884,88,88
7,179998,0,66947,3469,0,1,5117.828028250216,2415.093147878172,5122.8152628999715,2.059892880980445,2571.690503315076,0.6593802602780605,8.294450986666666E7,1,2500,UNIFORM,1,11.211555547666046,8.256035090958148,18,0,5038,0,105,0,0,1.9209374579891556,0,0.0,0,false,0,90,2,0,0,319,1050,3469,0,0,0,0,104,0,392,1.0,0,240,0,3348,91,0,0,1,1,SAFE,0,0,136387,0,0,1908,1,0,662,0,0,2503,66947,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1713,77205,0,0.03488036898241568,71,-1.0,0,1188,1.4201116207733928E-5,70416,0,2,91,2374,0,true,0,78,79,0,1.0,2371,0,0,2,2,0,0.0,3469,0,0,0,true,0.9651196310175844,294,0,0,42,0,0,true,5042,1.9371741825623254,1800,0,0,0,12678,391.2,0,71,1908,0,60,0.0,0.0,0,0,2,2,0,0,1.9106370712020755,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},654,0,2PC,1,1.9311040645719229,0.0,16694,88,385,0,2538,0,1165,0,254,2319,0,46,0,1986,140832,0,1114,3470,0,0,0,0,467,110,0.0,1.0,1717,2PC__ TO__ PB,0,0,1,428.9555555555556,0.04926437173369689,474,0.0,0,0,0.04927787324083673,80,80
8,179999,0,70895,3789,0,2,4761.671951174452,2276.883282403555,4776.907910530484,1.5311873443483384,2401.469063869095,0.6322004981905011,5.520520906666667E7,1,2500,UNIFORM,1,9.164662105347723,7.152507752456954,15,0,4691,0,92,0,0,1.9192467733972776,0,0.0,0,false,0,81,2,0,0,237,926,3789,0,0,0,0,92,0,358,1.0,0,187,0,3672,84,0,0,2,1,SAFE,0,0,144563,0,0,1977,1,0,662,0,0,2365,70895,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1631,81417,0,0.030878859857482184,71,-1.0,0,2960,2.677878049433629E-5,74684,0,2,55,2241,0,true,0,49,70,0,1.0,2239,0,0,2,2,0,0.0,3789,0,0,0,true,0.9691211401425178,264,0,0,42,0,0,true,4693,1.9358346850976798,1773,0,0,0,10582,414.9111111111111,0,71,1977,0,60,0.0,0.0,0,0,2,2,0,0,1.9113222486144101,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},398,0,2PC,2,1.9324359989443125,0.0,28588,82,352,0,2353,0,1107,0,230,2198,0,38,0,1939,149368,0,1063,3791,0,0,0,0,360,100,0.0,1.0,1637,2PC__ TO__ PB,0,0,2,452.3722222222222,0.05073375823469552,2221,0.0,0,0,0.05075917842701443,80,80
9,179995,0,70224,3662,0,2,4765.62889240852,2307.4198125569606,4777.434829328236,1.7736928053269814,2384.7190518842162,0.6116135143310598,6.2542642666666664E7,1,2500,UNIFORM,1,9.551581136314422,7.6819336698787355,17,0,4696,0,94,0,0,1.92572339940761,0,0.0,0,false,0,80,2,0,0,249,975,3662,0,0,0,0,92,0,374,1.0,0,197,0,3546,84,0,0,2,1,SAFE,0,0,143520,0,0,1523,1,0,662,0,0,2387,70224,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1661,80124,0,0.031676679410158386,71,-1.0,0,892,2.7067994802944997E-5,73886,0,2,72,2268,0,true,0,67,72,0,1.0,2266,0,0,2,2,0,0.0,3662,0,0,0,true,0.9683233205898416,280,0,0,42,0,0,true,4699,1.942512531328321,1736,0,0,0,10528,410.47777777777776,0,71,1523,0,60,0.0,0.0,0,0,2,2,0,0,1.9227198252321136,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},492,0,2PC,2,1.9412889131622064,0.0,21112,80,374,0,2372,0,1115,0,243,2223,0,42,0,1907,147772,0,1070,3664,0,0,0,0,376,106,0.0,1.0,1659,2PC__ TO__ PB,0,0,2,445.1722222222222,0.049562840050889206,366,0.0,0,0,0.04958856647899523,74,74
