SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,NumAbortedTxDueToReadLock,RemoteUpdateTxPrepareServiceTime,AvgCommitAsync,LocalUpdateTxPrepareResponseTime,AvgGetsPerWrTransaction,AvgNumSyncSentCommitMsgs,AvgClusteredGetCommandSize,ReadOnlyTxTotalCpuTime,LocalReadOnlyTxCommitResponseTime,AvgPutsPerWrTransaction,AvgNumNodesPrepare,LocalReadOnlyTxLocalServiceTime,NumAbortedTxDueToValidation,AvgLocalSuccessfulLockHoldTime,AvgLocalRemoteAbortLockHoldTime,RemoteUpdateTxRollbackResponseTime,AvgLocalGetTime,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgCommitRtt,RemoteGetServiceTime,AvgLockHoldTime,GMUClusteredGetCommandResponseTime,AvgLocalLockHoldTime,NumLocalRemoteLockContentions,AvgNumAsyncSentCommitMsgs,NumOwnedRdItemsInRemotePrepare,LocalUpdateTxTotalResponseTime,AvgGetsPerROTransaction,LocalUpdateTxCommitServiceTime,LocalUpdateTxRemoteRollbackResponseTime,WaitedTimeInRemoteCommitQueue,PercentageSuccessWriteTransactions,LockContentionProbability,ReadOnlyTxTotalResponseTime,NumberOfRemotePuts,NumAbortedTxDueToNotLastValueAccessed,AvgCompleteNotificationAsync,AvgNumNodesCompleteNotification,NumOwnedRdItemsInLocalPrepare,TerminationCost,NumEarlyAborts,RemotelyDeadXact,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,AvgPrepareRtt,UpdateXactToPrepare,WriteSkewProbability,GMUClusteredGetCommandServiceTime,NumRemoteLocalLockContentions,NumLocalLocalLockContentions,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,AvgRollbackRtt,RemoteContentionProbability,LocalUpdateTxLocalServiceTime,LocalUpdateTxLocalRollbackResponseTime,AvgCommitCommandSize,LocalReadOnlyTxPrepareResponseTime,PercentageWriteTransactions,NumWaitedRemoteGets,AvgNumNodesRollback,NumRemoteRemoteLockContentions,AvgRemoteGetsPerWrTransaction,LocalUpdateTxLocalRollbackServiceTime,NumReadsBeforeWrite,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,WaitedTimeInLocalCommitQueue,NumLocalPrepareAborts,RemotePutExecutionTime,AvgNumNodesRemoteGet,AvgClusteredGetCommandReplySize,LocalUpdateTxTotalCpuTime,RemoteGetResponseTime,LocalUpdateTxLocalResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,RemoteUpdateTxPrepareResponseTime,ApplicationContentionFactor,AvgRemoteLockHoldTime,RemoteUpdateTxCommitServiceTime,NumAbortedXacts,AvgNumPutsBySuccessfulLocalTx,NumAbortedTxDueToWriteLock,NumWaitedLocalCommits,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalUpdateTxRemoteRollbackServiceTime,LocalUpdateTxCommitResponseTime,AvgPrepareCommandSize,AvgNumNodesCommit,NumberOfGets,AvgRollbackCommandSize,LocalContentionProbability,AvgReadOnlyTxDuration,NumWaitedRemoteCommits,AvgPrepareAsync,AvgLocalLocalAbortLockHoldTime,Before,After
0,180001,0,8916,925,0,6,67788.6299135135,33169.44077433827,21.05696049558241,35172.437264864864,0.8510438593025232,3.502740586666667E8,2,100000,UNIFORM,1,0,924,2154,27603,10,0,268,3369.0,0,5.0,12,3179,3,36785,47557,121,295,32379,2172,0,319,36632,683.0,36894,0,12,1.5303415837766983,67292.0,10,759,3373,15558,0.09399451275276903,0.0,32880.0,4144,0,0,0,10.531891891891892,55070,0.0,6.0,0,3070,25245,931.0,0.0,313.0,0,0,0.52,2,108,88668,9.011440107671602,0,0,0.0,3576,0,242,0,0.09454656240479334,7534,12,0,8.996756756756756,0,-1.0,0.7708381525175418,325,19667,0.0,116,2,1050,6477.0,3495,32463,21798.0,0,1584,0.0,31683,162,6,5.0,3,188,4.48,2031,852,6962,3129,12,98410,70,0.0,32872,4897,0,0,9996,9996
1,180018,0,9665,1067,0,5,63925.94255107779,30044.651235385412,17.271706808233212,32834.18390065605,0.6388554027563185,3.2064540693333334E8,2,100000,UNIFORM,1,0,828,1962,26016,10,0,268,2888.0,0,5.0,13,2711,1,34477,38247,136,262,29391,13389,0,271,34990,396.0,34491,0,12,1.5339851388345718,63609.0,10,714,14900,15638,0.09942228848304137,0.0,29795.0,4776,0,0,0,9.955014058106842,45318,0.0,5.0,0,2813,23753,1072.0,0.0,213.0,0,0,0.5238987816307404,2,108,96697,9.010346611484739,0,0,0.0,3424,0,242,0,0.0998416689950638,7910,13,0,9.008434864104967,0,-1.0,0.7662886194759484,241,17664,0.0,141,2,1050,6300.0,3187,31057,20659.0,1,1238,0.0,41922,137,5,5.0,4,225,4.4761012183692594,2060,854,6329,3129,13,107320,70,0.0,29784,4846,0,0,9885,9885
2,180006,0,7798,888,0,5,76378.4382117117,37263.30758951013,22.206032332297777,38501.11606418919,0.784327697609181,2.87122024E8,2,100000,UNIFORM,1,0,910,3057,29356,10,0,268,3779.0,0,5.0,13,3570,1,41300,22498,117,346,36253,1200,0,355,41082,733.0,41258,0,12,1.544589864556384,75833.0,10,821,2181,16418,0.10223347916186967,0.0,36920.0,3983,0,0,0,9.90427927927928,70838,0.0,5.0,0,3361,26213,893.0,0.0,330.0,0,0,0.5146396396396397,2,104,78065,8.990895101308027,0,0,0.0,4185,0,242,0,0.10274997123461052,9798,12,0,8.957207207207206,0,-1.0,0.7734743570232842,346,20393,0.0,203,2,1050,7412.0,3911,37761,23981.0,2,1689,0.0,38193,166,5,5.0,4,192,4.48536036036036,2289,738,8433,3129,13,86860,70,0.0,36910,5264,0,0,10101,10101
3,179997,0,8166,907,0,3,73996.18106835721,35648.63471062944,24.872420890260027,36749.06176736494,0.7954220201987119,2.9254947946666664E8,2,100000,UNIFORM,1,0,858,3033,28175,10,0,268,3706.0,0,5.0,13,3500,2,39053,54640,111,344,34682,1304,0,349,38464,730.0,39151,0,12,1.532444375532987,73457.0,10,825,3111,16455,0.0999669348616775,0.0,35296.0,4087,0,0,0,9.778390297684675,76735,0.0,3.0,0,3226,25274,910.0,0.0,330.0,0,0,0.49393605292171994,2,110,81860,9.025104090129807,0,0,0.0,4092,0,242,0,0.1002644336712208,8548,14,0,8.997794928335171,0,-1.0,0.7616094270873711,307,19930,0.0,158,2,1050,7273.0,3742,37212,23301.0,1,1593,0.0,29324,160,3,5.0,1,176,4.50606394707828,2237,995,7793,3129,13,90730,70,0.0,35281,4947,0,0,9897,9897
4,180012,0,8564,991,0,2,71174.7079828456,33635.75585882765,23.2750125562415,36209.92366599394,0.8181342628875122,3.345122266666667E8,2,100000,UNIFORM,1,0,841,2744,27479,10,0,268,3442.0,0,5.0,13,3237,0,40527,0,100,352,32768,1370,0,323,39822,687.0,40527,0,12,1.5197487239890066,70676.0,10,790,2962,15949,0.10371533228676086,0.0,33342.0,4469,0,0,0,9.612512613521695,52770,0.0,2.0,0,3094,24792,993.0,0.0,314.0,0,0,0.49041372351160445,2,100,86024,9.001985053713218,0,0,0.0,3943,0,242,0,0.10390289839907921,9319,12,0,9.012108980827447,0,-1.0,0.7531213191990577,335,22094,0.0,162,2,1050,6988.0,3544,34854,22803.0,0,1528,0.0,31122,156,2,5.0,2,203,4.509586276488395,2145,746,8102,3129,13,95550,70,0.0,33334,4881,0,0,9941,9941
5,180014,0,9622,1080,0,8,65564.26802037038,29884.42489274579,19.603776470588237,33202.54616388889,0.7042251497485253,3.432914133333333E8,2,100000,UNIFORM,1,0,819,1969,25884,10,0,268,3079.0,0,5.0,13,2895,2,36723,47242,163,318,29223,13085,0,289,36793,476.0,36778,0,12,1.534212178279975,65218.0,10,751,14078,15817,0.10091571668846945,0.0,29629.0,4853,0,0,0,9.938888888888888,46263,0.0,8.0,0,2787,23654,1088.0,0.0,246.0,0,0,0.5064814814814815,2,106,96286,8.996778216586987,0,0,0.0,3604,0,242,0,0.10158730158730159,8766,12,0,8.999074074074073,0,-1.0,0.7651443816698054,267,19868,0.0,157,2,1050,6569.0,3175,32335,21427.0,3,1273,0.0,37033,148,8,5.0,6,222,4.493518518518519,2111,704,6783,3129,13,107020,70,0.0,29621,4892,0,0,9984,9984
6,180006,0,9637,1039,0,4,62704.85915110684,30450.60275448791,18.24014981273408,31340.501149181906,0.8513970054314554,3.480264581333333E8,2,100000,UNIFORM,1,0,817,1927,24497,10,0,268,3071.0,0,5.0,12,2884,1,34305,61407,138,281,29734,1702,0,289,34814,491.0,34354,0,12,1.5175574891236794,62366.0,10,762,2416,16194,0.09732109404271262,0.0,30175.0,4632,0,0,0,10.285851780558229,45952,0.0,4.0,0,2830,22013,1043.0,0.0,248.0,0,0,0.5418671799807507,2,101,96072,9.00238663484487,0,0,0.0,3538,0,242,0,0.09765917602996255,8051,13,0,8.96631376323388,0,-1.0,0.7513206960845246,272,17569,0.0,150,2,1050,6563.0,3225,31321,21528.0,1,1276,0.0,42654,141,4,5.0,3,213,4.458132820019249,2156,1043,6198,3129,12,106760,70,0.0,30167,4901,0,0,9961,9961
7,179994,0,9576,1075,1,5,63928.90898418605,30274.87602495823,17.93253936379844,32939.212592558135,0.7269737728000347,3.637105664E8,2,100000,UNIFORM,1,0,769,2018,25182,10,0,268,3020.0,0,5.0,13,2844,1,36767,29538,98,322,29619,1410,0,285,36484,459.0,36604,1,12,1.5328962957112393,63620.0,10,745,1723,16354,0.10092949018871468,0.0,30024.0,4817,1,0,0,9.690232558139535,43531,1.0,3.0,0,2803,22915,1080.0,0.0,242.0,0,0,0.5190697674418605,2,96,96092,9.025689223057643,0,0,0.0,3509,1906,242,0,0.10143567608144881,7881,9,1,8.987906976744187,604,-1.0,0.762341047310639,261,20173,2.0,136,2,1050,6433.0,3198,30958,24024.0,4,1198,0.0,34412,138,6,5.0,4,246,4.48093023255814,2079,645,7252,3129,13,106510,70,1.8508236165093466E-4,30016,4903,0,4629,9831,9831
8,180012,0,9485,1083,1,1,65933.16183564173,30298.434209488667,20.526790160832544,34505.20741735919,0.7362891798212527,3.4764896053333336E8,2,100000,UNIFORM,1,0,843,2034,26977,10,0,268,3087.0,0,5.0,13,2900,0,35179,0,138,347,29609,283,0,289,35463,455.0,35179,0,12,1.5439033891702376,65597.0,10,741,1152,16923,0.1024791824375473,0.0,30028.0,4854,1,0,0,9.88365650969529,46228,1.0,1.0,0,2801,24447,1084.0,0.0,240.0,0,0,0.518005540166205,2,98,94975,8.988402741170269,0,0,0.0,3573,719,242,0,0.10264900662251655,9146,6,0,8.975069252077562,631,-1.0,0.7859758472925594,270,19717,0.0,163,2,1050,6562.0,3205,31391,23876.0,2,1355,0.0,40156,145,2,5.0,1,230,4.481994459833795,2145,613,7029,3129,13,105680,70,0.0,30020,5108,0,0,10129,10129
9,180001,0,10188,1102,2,0,60799.31843375681,28646.684326266197,17.969465285157632,31197.117780399272,0.7290332794844016,3.1991383253333336E8,2,100000,UNIFORM,1,0,748,1935,24628,10,0,268,2837.0,0,5.0,12,2661,0,31693,0,106,292,28051,373,0,265,31953,359.0,31693,0,12,1.5322478157267674,60492.0,10,736,0,15716,0.09760850310008858,0.0,28409.0,4974,2,0,0,10.009981851179674,39659,2.0,0.0,0,2683,22645,1102.0,0.0,202.0,0,0,0.4863883847549909,2,99,101869,9.026501766784452,0,0,0.0,3248,1038,242,0,0.09776833156216791,7830,0,0,8.990018148820326,560,-1.0,0.7664019062748213,236,18479,0.0,130,2,1050,6116.0,3036,29636,21020.0,1,1111,0.0,36764,134,2,5.0,0,211,4.513611615245009,2033,0,6054,3129,12,112900,70,0.0,28402,4955,0,0,9965,9965
