SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,NumAbortedTxDueToReadLock,RemoteUpdateTxPrepareServiceTime,AvgCommitAsync,LocalUpdateTxPrepareResponseTime,AvgGetsPerWrTransaction,AvgNumSyncSentCommitMsgs,AvgClusteredGetCommandSize,ReadOnlyTxTotalCpuTime,LocalReadOnlyTxCommitResponseTime,AvgPutsPerWrTransaction,AvgNumNodesPrepare,LocalReadOnlyTxLocalServiceTime,NumAbortedTxDueToValidation,AvgLocalSuccessfulLockHoldTime,AvgLocalRemoteAbortLockHoldTime,RemoteUpdateTxRollbackResponseTime,AvgLocalGetTime,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgCommitRtt,RemoteGetServiceTime,AvgLockHoldTime,GMUClusteredGetCommandResponseTime,AvgLocalLockHoldTime,NumLocalRemoteLockContentions,AvgNumAsyncSentCommitMsgs,NumOwnedRdItemsInRemotePrepare,LocalUpdateTxTotalResponseTime,AvgGetsPerROTransaction,LocalUpdateTxCommitServiceTime,LocalUpdateTxRemoteRollbackResponseTime,WaitedTimeInRemoteCommitQueue,PercentageSuccessWriteTransactions,LockContentionProbability,ReadOnlyTxTotalResponseTime,NumberOfRemotePuts,NumAbortedTxDueToNotLastValueAccessed,AvgCompleteNotificationAsync,AvgNumNodesCompleteNotification,NumOwnedRdItemsInLocalPrepare,TerminationCost,NumEarlyAborts,RemotelyDeadXact,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,AvgPrepareRtt,UpdateXactToPrepare,WriteSkewProbability,GMUClusteredGetCommandServiceTime,NumRemoteLocalLockContentions,NumLocalLocalLockContentions,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,AvgRollbackRtt,RemoteContentionProbability,LocalUpdateTxLocalServiceTime,LocalUpdateTxLocalRollbackResponseTime,AvgCommitCommandSize,LocalReadOnlyTxPrepareResponseTime,PercentageWriteTransactions,NumWaitedRemoteGets,AvgNumNodesRollback,NumRemoteRemoteLockContentions,AvgRemoteGetsPerWrTransaction,LocalUpdateTxLocalRollbackServiceTime,NumReadsBeforeWrite,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,WaitedTimeInLocalCommitQueue,NumLocalPrepareAborts,RemotePutExecutionTime,AvgNumNodesRemoteGet,AvgClusteredGetCommandReplySize,LocalUpdateTxTotalCpuTime,RemoteGetResponseTime,LocalUpdateTxLocalResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,RemoteUpdateTxPrepareResponseTime,ApplicationContentionFactor,AvgRemoteLockHoldTime,RemoteUpdateTxCommitServiceTime,NumAbortedXacts,AvgNumPutsBySuccessfulLocalTx,NumAbortedTxDueToWriteLock,NumWaitedLocalCommits,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalUpdateTxRemoteRollbackServiceTime,LocalUpdateTxCommitResponseTime,AvgPrepareCommandSize,AvgNumNodesCommit,NumberOfGets,AvgRollbackCommandSize,LocalContentionProbability,AvgReadOnlyTxDuration,NumWaitedRemoteCommits,AvgPrepareAsync,AvgLocalLocalAbortLockHoldTime,Before,After
0,181348,0,356,394,5,13,692795.7990862944,229129.20298876404,15.363447916666667,450190.44985532993,0.6877652186393891,2.5148717653333333E8,2,100000,UNIFORM,1,0,2543,1365,328504,10,0,348,34100.0,0,5.0,14,33841,1,478368,106473,177,15650,228482,612,0,3313,477672,7506.0,462964,0,14,1.3263531499556345,692315.0,10,842,1188,357152,0.5253333333333333,0.0,228882.0,1812,5,0,0,1.4111675126903553,80770,5.0,13.0,0,14603,327146,407.0,0.0,3219.0,0,0,0.4010152284263959,2,119,6944,9.308988764044944,0,0,0.0,36947,281,322,0,0.5364583333333334,1977,11,0,9.213197969543147,275,-1.0,0.6576752440106477,442,416365,0.0,72,2,1290,40065.0,24108,242390,106716.0,2,5878,0.0,505919,195,18,5.0,12,113,4.598984771573604,2151,713,121241,3208,14,7500,70,0.0,228876,2751,0,0,6617,6617
1,180317,0,370,406,3,12,680408.585270936,211135.6944081081,26.845514538558785,458979.3632068965,0.540998673376078,2.4202447093333334E8,2,100000,UNIFORM,1,0,1392,1933,365203,10,0,348,21231.0,0,5.0,15,20967,0,524490,360998,219,6908,210460,1384,0,2132,459061,2638.0,517725,0,14,1.3195455352387715,680027.0,10,1095,2198,359660,0.5231958762886598,0.0,210834.0,1896,3,0,0,1.3054187192118227,53164,3.0,12.0,0,15917,363541,418.0,0.0,1567.0,0,0,0.33004926108374383,2,119,7230,9.27027027027027,0,0,0.0,23667,204,322,0,0.5322376738305942,2069,11,0,9.35960591133005,210,-1.0,0.649032487129416,280,350890,0.0,108,2,1290,27340.0,22568,221327,111682.0,1,2170,0.0,366602,177,15,5.0,12,105,4.669950738916256,2453,939,93345,3207,15,7760,70,0.0,210827,2738,0,0,6559,6559
2,180681,0,364,399,3,11,710784.5864661654,196878.9192967033,11.784438867438869,492013.6660200501,0.509691166978805,2.0619238346666667E8,2,100000,UNIFORM,1,0,1222,2337,371671,10,0,348,18992.0,0,5.0,15,18719,2,611206,18564,136,5837,196257,1186,0,1855,590185,1918.0,602679,0,14,1.3189964157706093,710430.0,10,1069,2285,345123,0.5229357798165137,0.0,196583.0,1869,3,0,0,1.255639097744361,65536,3.0,11.0,0,15868,369919,410.0,0.0,1325.0,0,0,0.3157894736842105,2,124,7129,9.313186813186814,0,0,0.0,20647,313,322,0,0.5315315315315315,2053,11,0,9.37092731829574,297,-1.0,0.6568100358422939,384,467017,0.0,116,2,1290,24420.0,21648,218688,96236.0,3,1743,0.0,569754,184,14,5.0,9,100,4.684210526315789,2574,1045,119904,3206,15,7630,70,0.0,196571,2763,0,0,6692,6692
3,181051,0,342,390,1,10,707548.5445512821,216923.85104093567,16.669738896366084,478455.87024615385,0.450094315660441,2.1453253706666666E8,2,100000,UNIFORM,1,0,1758,2464,373530,10,0,348,27800.0,0,5.0,14,27525,1,534178,1403661,116,9914,215860,2086,0,2806,481899,3600.0,547555,0,14,1.3305624336752742,707095.0,10,1141,2742,357437,0.5327868852459017,0.0,216445.0,1825,1,0,0,1.1846153846153846,139296,1.0,10.0,0,15913,371805,400.0,0.0,2079.0,0,0,0.32051282051282054,2,119,6858,9.380116959064328,0,0,0.0,31143,238,322,0,0.5397039030955586,2024,14,0,9.35897435897436,245,-1.0,0.6538733639900955,351,425209,0.0,121,2,1290,35054.0,23048,228876,97062.0,3,2857,0.0,381485,190,11,5.0,9,93,4.67948717948718,2644,934,104531,3206,14,7320,70,0.0,216435,2784,0,0,6628,6628
4,181326,0,353,360,2,14,748339.8450249999,232890.33381303117,18.29829766803841,510042.8599916667,0.5331667393140881,2.0613866346666667E8,2,100000,UNIFORM,1,0,1719,3953,420916,10,0,348,30234.0,0,5.0,14,29950,1,577268,812338,121,8573,231600,1772,0,2925,558303,3245.0,581357,1,14,1.3311446317657498,747766.0,10,1224,5304,356942,0.5049088359046283,0.0,232525.0,1687,2,0,0,1.3305555555555555,85372,2.0,13.0,0,16108,418513,374.0,0.0,2026.0,0,0,0.3138888888888889,2,124,6651,9.331444759206798,0,0,0.0,31572,564,322,0,0.5157750342935528,2181,12,1,9.325,397,-1.0,0.6548358473824313,343,402544,1.0,163,2,1290,35700.0,24288,238019,101003.0,1,2731,0.0,524743,194,16,5.0,13,75,4.686111111111111,2771,2157,88522,3206,14,7130,70,5.324813631522897E-4,232519,2749,0,0,6644,6644
5,180773,0,389,392,0,9,686561.8776045919,216606.36753213368,14.602341772151899,458911.3181556122,0.4342046543239547,2.2892620906666666E8,2,100000,UNIFORM,1,0,1694,2191,360375,10,0,348,27680.0,0,5.0,15,27410,1,572896,0,400,7996,215954,956,0,2686,513245,3287.0,568453,1,14,1.3259286234522942,686145.0,10,1143,938,363550,0.5019206145966709,0.0,216329.0,1836,0,0,0,1.3290816326530612,54310,0.0,8.0,0,16085,358776,401.0,0.0,2032.0,0,0,0.3163265306122449,2,120,7289,9.331619537275063,0,0,0.0,29109,3807,322,0,0.5075949367088608,1995,14,1,9.334183673469388,1666,-1.0,0.6549526584122359,320,402313,1.0,157,2,1290,33023.0,23192,227466,113959.0,1,2394,0.0,424911,192,9,5.0,8,93,4.683673469387755,2639,736,98118,3206,15,7810,70,4.987531172069825E-4,216321,2709,0,4222,6659,6659
6,181469,0,372,372,1,10,717174.8448978495,239037.64869086022,22.84214834437086,495203.3603817204,0.5261613311086636,2.127733504E8,2,100000,UNIFORM,1,0,1971,1637,404833,10,0,348,32980.0,0,5.0,15,32721,2,620528,463349,150,10130,238339,697,0,3044,548685,4147.0,616392,0,14,1.3378995433789955,716707.0,10,1103,1213,375549,0.5,0.0,238760.0,1745,1,0,0,1.3198924731182795,70291,1.0,9.0,0,15569,403329,382.0,0.0,2355.0,0,0,0.30913978494623656,2,121,6949,9.309139784946236,0,0,0.0,31363,413,322,0,0.5072847682119205,1921,12,0,9.370967741935484,399,-1.0,0.668247277836319,278,379277,1.0,127,2,1290,35093.0,23833,221798,110787.0,2,3525,0.0,468283,175,11,5.0,8,86,4.690860215053763,2503,893,89869,3206,15,7440,70,0.0,238751,2786,0,0,6680,6680
7,181715,0,399,391,1,3,677303.2628465474,237257.65622055138,11.33824937027708,440215.56625575444,0.6663229444362514,2.3330933546666667E8,2,100000,UNIFORM,1,0,2631,1693,355595,10,0,348,41967.0,0,5.0,14,41728,0,508116,609437,166,13331,236638,1108,0,4109,455199,7102.0,508825,0,14,1.3161415243795107,676987.0,10,1042,5824,365519,0.49493670886075947,0.0,236984.0,1810,1,0,0,1.3069053708439897,44913,1.0,3.0,0,14012,354234,394.0,0.0,3439.0,0,0,0.37084398976982097,2,110,7389,9.395989974937343,0,0,0.0,44729,291,322,0,0.49748110831234255,1821,12,0,9.309462915601022,299,-1.0,0.6377398345361732,250,311630,0.0,118,2,1290,48220.0,24361,236998,115209.0,1,5249,0.0,377739,161,4,5.0,3,103,4.629156010230179,2334,1410,84248,3207,14,7900,70,0.0,236978,2680,0,0,6566,6566
8,181535,0,389,374,0,14,684492.6622914438,254278.4607943445,15.9946138996139,433530.2285641711,0.5024607667510315,2.2519050186666667E8,2,100000,UNIFORM,1,0,2715,1727,343264,10,0,348,44063.0,0,5.0,14,43818,2,485777,140196,149,16402,253586,1158,0,4056,497602,7017.0,472364,0,14,1.3261386811692726,684140.0,10,1002,1385,375526,0.49017038007863695,0.0,253906.0,1740,0,0,0,1.3796791443850267,57311,0.0,13.0,0,14556,341945,388.0,0.0,3369.0,0,0,0.34759358288770054,2,101,7114,9.313624678663238,0,0,0.0,42991,2780,322,0,0.49935649935649934,2131,14,0,9.334224598930481,1194,-1.0,0.6702923181509177,284,324819,1.0,102,2,1290,46554.0,25632,250851,116978.0,2,5500,0.0,558895,162,14,5.0,12,101,4.652406417112299,2443,804,89847,3207,14,7630,70,0.0,253900,2899,0,3708,6783,6783
9,180250,0,422,413,0,11,637244.1576973365,210475.32790521326,11.656028368794326,431148.262496368,0.5635041170155969,2.048662336E8,2,100000,UNIFORM,1,0,1598,1966,341095,10,0,348,24933.0,0,5.0,15,24679,0,439153,927032,99,8022,209853,1036,0,2415,439766,2611.0,448657,0,14,1.3368421052631578,636822.0,10,1104,1762,369550,0.4946107784431138,0.0,210213.0,1931,0,0,0,1.397094430992736,53169,0.0,11.0,0,15169,339733,424.0,0.0,1770.0,0,0,0.324455205811138,2,104,7773,9.296208530805687,0,0,0.0,25872,0,322,0,0.5011820330969267,1947,15,0,9.322033898305085,0,-1.0,0.6688670829616414,264,353315,0.0,117,2,1290,29589.0,21692,205913,102537.0,0,2149,0.0,421265,170,11,5.0,11,102,4.675544794188862,2488,865,89639,3207,15,8350,70,0.0,210207,2778,0,0,6627,6627
