SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,UPDATE_XACT_RESPONSE_TIME,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,RG_NTCB,RG_NTCB_S,avgLocalGetTime,localReadOnlyTxCommitServiceTime,gMUClusteredGetCommandWaitingTime,avgWriteTxDuration,remoteUpdateTxPrepareResponseTime,numKilledTxDueToValidation,localReadOnlyTxPrepareResponseTime,numLocalTxWaitingTimeInGMUQueueDueToSlowCommits,applicationContentionFactor,avgLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgCompleteNotificationAsync,remoteUpdateTxCommitServiceTime,gMUWaitingTimeEnabled,tOGMUPrepareRttMinusMaxValidationTime,numRemoteRemoteLockContentions,avgNumNodesCommit,avgCommitAsync,localUpdateTxTotalCpuTime,avgPrepareAsync,numLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,localReadOnlyTxPrepareServiceTime,waitedTimeInLocalCommitQueue,remoteUpdateTxPrepareServiceTime,avgNumOfLockRemoteTx,localUpdateTxLocalServiceTime,numWaitedLocalCommits,avgPutsPerWrTransaction,localUpdateTxCommitServiceTime,avgTOGMUPrepareNoWaitRtt,numberOfRemotePuts,avgTCBTime,numRemoteTxWaitingTimeInGMUQueueDuePendingTx,numTOGMUSuccessfulPrepareNoWait,numAbortedTxDueToWriteLock,avgNumNodesRemoteGet,currentState,localUpdateTxRemoteRollbackServiceTime,avgRemoteTxWaitingTimeInGMUQueueDuePendingTx,numberOfRemoteGets,avgLocalTxWaitingTimeInGMUQueueDuePendingTx,tOGMUPrepareWaitProbability,avgLocalLockHoldTime,avgNumAsyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgPrepareCommandSize,tOGMUAvgSuccessfulValidationResponseTime,numLocalRemoteLockContentions,avgResponseTime,currentProtocolInfo,avgRemoteLockHoldTime,numberOfCommits,tOAvgValidationConditionalWaitTime,numOwnedWrItemsInLocalPrepare,avgRollbackCommandSize,numReadsBeforeWrite,numAbortedTxDueToValidation,abortRate,localUpdateTxLocalRollbackResponseTime,avgNumOfLockLocalTx,numberOfLocalCommits,avgGetsPerWrTransaction,remoteUpdateTxRollbackServiceTime,readOnlyTxTotalResponseTime,avgLockWaitingTime,allowProtocolSwitch,remoteUpdateTxRollbackResponseTime,remotePutExecutionTime,avgRemoteTxCompleteNotifyTime,avgClusteredGetCommandReplySize,numOwnedWrItemsInRemotePrepare,avgReadOnlyTxDuration,numWaitedRemoteCommits,avgNumNodesRollback,replicationDegree,remoteContentionProbability,avgLocalLocalAbortLockHoldTime,numberOfPuts,avgNumSyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,avgGmuClusteredGetCommandRttNoWait,avgRemotePutsPerWrTransaction,readOnlyTxTotalCpuTime,numLocalLocalLockContentions,numWaitedRemoteGets,avgClusteredGetCommandSize,tOMaxSuccessfulValidationWaitingTime,localUpdateTxRemoteRollbackResponseTime,enabled,localUpdateTxTotalResponseTime,avgRemoteGetsPerROTransaction,avgPrepareRtt,avgRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,numEarlyAborts,terminationCost,throughput,tOGMUPrepareRttMinusAvgValidationTime,avgCommitCommandSize,avgNumNodesCompleteNotification,avgLocalSuccessfulLockHoldTime,switchCoolDownTime,tOPrepareWaitTime,lockContentionProbability,numOwnedRdItemsInRemotePrepare,avgGetsPerROTransaction,remotelyDeadXact,avgNumNodesPrepare,numLocalTxWaitingTimeInGMUQueueDuePendingTx,localActiveTransactions,availableProtocolsInfo,tOGMUAvgSuccessfulValidationServiceTime,localUpdateTxLocalRollbackServiceTime,currentProtocolId,numLocalPrepareAborts,numOwnedRdItemsInLocalPrepare,avgRemoteGetsPerWrTransaction,avgAbortedWriteTxDuration,remoteUpdateTxCommitResponseTime,avgLocalRemoteAbortLockHoldTime,localUpdateTxPrepareServiceTime,numRemoteLocalLockContentions,localUpdateTxLocalResponseTime,remoteGetResponseTime,numAbortedTxDueDeadlock,localReadOnlyTxLocalServiceTime,localReadOnlyTxLocalResponseTime,avgNumOfLockSuccessLocalTx,avgNTCBTime,numAbortedTxDueToReadLock,localUpdateTxPrepareResponseTime,numberOfGets,avgCommitRtt,avgRemoteGetRtt,gMUClusteredGetCommandServiceTime,updateXactToPrepare,currentEpoch,avgLocalTxWaitingTimeInGMUQueueDueToSlowCommits,localUpdateTxCommitResponseTime,waitedTimeInRemoteCommitQueue,remoteGetServiceTime,localContentionProbability,avgNumPutsBySuccessfulLocalTx,avgLockHoldTime,availableProtocolIds,gMUClusteredGetCommandResponseTime,tONumValidationWaited,numAbortedXacts,avgTxArrivalRate,percentageSuccessWriteTransactions,avgRollbackAsync,writeSkewProbability,localReadOnlyTxCommitResponseTime,avgRollbackRtt,percentageWriteTransactions,Before,After
0,179994,0,21530,2405,0,8,23523.697943451145,5694.601661495588,23634.535030769228,6.293991354466859,17838.53379002079,0.9472236357263585,3.093770181333333E8,1,100000,UNIFORM,1,30.44285189825836,20.024119283297836,3,0,0,23451,63,0,0,0,0.0,0,0,30,false,0,0,40,1700,5406,0,0,0,0,45,0,3775,0,5.0,638,0,0,3,0,0,8,0,SAFE,0,0,0,0,0,17670,39,0,2863,0,0,7427,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},13407,114499,0,5.0,71,-1.0,0,3.341268846844589E-4,2180,0,23935,1000,35,5627,0,true,32,0,0,0,5.0,5625,0,40,40,0.0,76051,12025,0,0,0,0.0,3767,0,0,0,0,0,true,23453,0.0,15446,0,0,0,15322,132.97222222222223,0,71,0,17517,60,0,0.0,0.0,1000,0,40,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,619,2PC,8,0.0,0.0,33090,38,0,948,0,5698,0,0,3674,5485,0,81,0,15699,23935000,0,0,0,2413,0,0,1992,0,0,0.0,5.0,13512,2PC__ TO__ PB,0,0,8,636.9222222222222,0.10048046793398788,1902,0.0,0,0,0.10078102159294992,100080,100080
1,180009,0,20428,2357,0,4,24397.00778871447,5966.115441403956,24453.07093169283,8.072153890034667,18404.667925753074,0.9509121938942767,2.7527522826666665E8,1,100000,UNIFORM,1,29.416538856465838,20.93955482908421,3,0,0,24313,61,0,0,0,0.0,0,0,31,false,0,0,40,1895,5887,0,0,0,0,45,0,4111,0,5.0,679,0,0,3,0,0,4,0,SAFE,0,0,0,0,0,18103,39,0,2863,0,0,7809,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},14505,113396,0,5.0,71,-1.0,0,1.7552327877484752E-4,2571,0,22785,1000,39,5900,0,true,36,0,0,0,5.0,5898,0,40,40,0.0,31975,11785,0,0,0,0.0,3958,0,0,0,0,0,true,24315,0.0,15692,0,0,0,11541,126.58333333333333,0,71,0,18031,60,0,0.0,0.0,1000,0,40,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,734,2PC,4,0.0,0.0,32801,38,0,1049,0,6013,0,0,3869,5768,0,83,0,16029,22785000,0,0,0,2361,0,0,2207,0,0,0.0,5.0,14597,2PC__ TO__ PB,0,0,4,630.7944444444445,0.10344524906736888,2170,0.0,0,0,0.10360261529685375,100080,100080
2,179996,0,21848,2340,0,3,23975.37974017094,5648.073971439034,24007.177214529915,4.799552684882808,18147.619217094016,0.9503390056599137,2.933397146666667E8,1,100000,UNIFORM,1,22.769049357198956,15.198536645860031,3,0,0,23911,57,0,0,0,0.0,0,0,28,false,0,0,40,1888,5639,0,0,0,0,41,0,3989,0,5.0,616,0,0,3,0,0,3,0,SAFE,0,0,0,0,0,17737,39,0,2863,0,0,7369,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},14411,114816,0,5.0,71,-1.0,0,1.2401306270927204E-4,1596,0,24188,1000,33,5595,0,true,30,0,0,0,5.0,5594,0,40,40,0.0,0,11700,0,0,0,0.0,3832,0,0,0,0,0,true,23914,0.0,15587,0,0,0,10462,134.37777777777777,0,71,0,17737,60,0,0.0,0.0,1000,0,40,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,464,2PC,3,0.0,0.0,24578,38,0,994,0,5848,0,0,3763,5497,0,67,0,15871,24188000,0,0,0,2343,0,0,2139,0,0,0.0,5.0,14495,2PC__ TO__ PB,0,0,3,638.6833333333333,0.09674218620803704,1266,0.0,0,0,0.09685420197594147,100080,100080
3,180000,0,20701,2357,0,3,24476.760377598643,5881.338718902469,24511.013168858717,6.545134339360826,18337.629156979212,0.8861350743540188,2.6073711253333333E8,1,100000,UNIFORM,1,28.73613364554876,18.706759810936212,3,0,0,24405,55,0,0,0,0.0,0,0,28,false,0,0,40,1930,5802,0,0,0,0,42,0,4154,0,5.0,622,0,0,3,0,0,3,0,SAFE,0,0,0,0,0,18102,39,0,2863,0,0,7721,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},14372,113671,0,5.0,71,-1.0,0,1.3008976193573565E-4,2042,0,23058,1000,34,5820,0,true,31,0,0,0,5.0,5818,0,40,40,0.0,20798,11785,0,0,0,0.0,3963,0,0,0,0,0,true,24407,0.0,15695,0,0,0,9801,128.1,0,71,0,18095,60,0,0.0,0.0,1000,0,40,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,548,2PC,3,0.0,0.0,26670,38,0,984,0,6160,0,0,3895,5721,0,80,0,15983,23058000,0,0,0,2360,0,0,2203,0,0,0.0,5.0,14465,2PC__ TO__ PB,0,0,3,632.3222222222222,0.1022204874663891,1652,0.0,0,0,0.10233727938944538,100080,100080
4,180008,0,21148,2338,0,4,24072.82351924722,5825.529542935502,24112.19432677502,5.868350659855258,18010.93190889649,0.9466037855424567,2.58532344E8,1,100000,UNIFORM,1,24.596342911877393,17.50131362281822,3,0,0,24004,55,0,0,0,0.0,0,0,28,false,0,0,40,1915,5753,0,0,0,0,42,0,4120,0,5.0,626,0,0,3,0,0,4,0,SAFE,0,0,0,0,0,18409,39,0,2863,0,0,7581,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},14176,114117,0,5.0,71,-1.0,0,1.7028522775649213E-4,2253,0,23486,1000,37,5762,0,true,34,0,0,0,5.0,5761,0,40,40,0.0,0,11690,0,0,0,0.0,3914,0,0,0,0,0,true,24007,0.0,15375,0,0,0,11919,130.4777777777778,0,71,0,18409,60,0,0.0,0.0,1000,0,40,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,596,2PC,4,0.0,0.0,22777,37,0,965,0,6081,0,0,3846,5665,0,74,0,15676,23486000,0,0,0,2342,0,0,2186,0,0,0.0,5.0,14281,2PC__ TO__ PB,0,0,4,634.8,0.09954866729115218,2000,0.0,0,0,0.09970200085142614,100080,100080
5,179996,0,20935,2315,0,4,24283.02652224622,5887.6962553140675,24319.650240172785,5.797654640061925,18257.275093736498,0.9279352027360304,2.4446482933333334E8,1,100000,UNIFORM,1,26.51971045841576,17.338764556635418,3,0,0,24207,63,0,0,0,0.0,0,0,30,false,0,1,40,2013,5708,0,0,0,0,44,0,4056,0,5.0,638,0,0,3,0,0,4,0,SAFE,0,0,0,0,0,18279,39,0,2863,0,1,7657,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},14160,113901,0,5.0,71,-1.0,0,1.7201341704652963E-4,2041,0,23250,1000,35,5825,0,true,32,0,0,0,5.0,5822,0,40,40,0.0,0,11575,0,0,0,0.0,3875,0,0,0,0,0,true,24209,0.0,15491,0,0,0,14197,129.16666666666666,0,71,0,18279,60,0,0.0,0.0,1000,0,40,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,573,2PC,4,0.0,0.0,20813,39,0,970,0,6044,0,0,3803,5714,0,76,0,15800,23250000,0,0,0,2319,0,0,2304,0,0,8.6244070720138E-5,5.0,14263,2PC__ TO__ PB,0,0,4,633.6055555555556,0.09956989247311827,1875,0.0,0,0,0.09972477853272556,100080,100080
6,179997,0,21130,2278,0,3,24087.60391308165,5897.016216232844,24113.671662862158,6.224690102943061,18008.5577976295,0.9389055863142792,2.5048790186666667E8,1,100000,UNIFORM,1,25.64972961428388,17.738093673913973,3,0,0,23997,60,0,0,0,0.0,0,0,29,false,0,1,40,2002,5758,0,0,0,0,42,0,4140,0,5.0,614,0,0,3,0,0,3,0,SAFE,0,0,0,0,0,17844,39,0,2863,0,1,7608,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},13937,114100,0,5.0,71,-1.0,0,1.2814488915467088E-4,2949,0,23408,1000,35,5840,0,true,32,0,0,0,5.0,5838,0,40,40,0.0,2900,11390,0,0,0,0.0,3928,0,0,0,0,0,true,23999,0.0,15277,0,0,0,11099,130.04444444444445,0,71,0,17885,60,0,0.0,0.0,1000,0,40,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,713,2PC,3,0.0,0.0,19607,39,0,961,0,6097,0,0,3859,5735,0,74,0,15560,23408000,0,0,0,2281,0,0,2281,0,0,8.768084173608067E-5,5.0,14030,2PC__ TO__ PB,0,0,3,634.7111111111111,0.09731715652768284,2701,0.0,0,0,0.09743283072060142,100080,100080
7,179996,0,21803,2398,0,5,23730.3161559633,5621.224686281705,23782.423241868222,5.098651615301991,18052.476213094247,0.8962080835000475,2.4001661173333332E8,1,100000,UNIFORM,1,23.262880773361974,15.25783954391473,3,0,0,23641,55,0,0,0,0.0,0,0,29,false,0,0,40,1927,5539,0,0,0,0,42,0,3900,0,5.0,628,0,0,3,0,0,5,0,SAFE,0,0,0,0,0,17747,39,0,2863,0,0,7359,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},15312,114779,0,5.0,71,-1.0,0,2.065603569362968E-4,1692,0,24201,1000,34,5564,0,true,31,0,0,0,5.0,5563,0,40,40,0.0,0,11990,0,0,0,0.0,3777,0,0,0,0,0,true,23645,0.0,15379,0,0,0,12009,134.45,0,71,0,17747,60,0,0.0,0.0,1000,0,40,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,547,2PC,5,0.0,0.0,24686,39,0,970,0,5690,0,0,3704,5454,0,69,0,15677,24201000,0,0,0,2403,0,0,2209,0,0,0.0,5.0,15374,2PC__ TO__ PB,0,0,5,638.4777777777778,0.09908681459443824,1527,0.0,0,0,0.09927290754358424,100080,100080
8,179998,0,21198,2317,0,5,24310.677955114374,5805.541510000943,24393.9993836858,5.047375382653061,18417.355042727664,0.9465620952193038,2.4697224693333334E8,1,100000,UNIFORM,1,23.68135093537415,15.984233205782314,3,0,0,24246,57,0,0,0,0.0,0,0,29,false,0,0,40,1954,5760,0,0,0,0,43,0,4098,0,5.0,631,0,0,3,0,0,5,0,SAFE,0,0,0,0,0,17927,39,0,2863,0,0,7578,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},15403,114180,0,5.0,71,-1.0,0,2.1258503401360543E-4,3071,0,23515,1000,33,5748,0,true,31,0,0,0,5.0,5747,0,40,40,0.0,17014,11585,0,0,0,0.0,3940,0,0,0,0,0,true,24247,0.0,15775,0,0,0,10839,130.63888888888889,0,71,0,17929,60,0,0.0,0.0,1000,0,40,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,695,2PC,5,0.0,0.0,38258,39,0,989,0,5913,0,0,3872,5652,0,69,0,16050,23515000,0,0,0,2322,0,0,2224,0,0,0.0,5.0,15464,2PC__ TO__ PB,0,0,5,635.15,0.09853285137146502,2427,0.0,0,0,0.09872448979591837,100080,100080
9,179990,0,21134,2291,0,2,24273.68058009603,5855.156518500994,24292.432587516367,6.702907713322236,18237.098894805764,0.9329084997587719,2.853827184E8,1,100000,UNIFORM,1,32.1414120886157,21.272058735646905,3,0,0,24197,62,0,0,0,0.0,0,0,33,false,0,0,40,1882,5760,0,0,0,0,47,0,3997,0,5.0,685,0,0,3,0,0,2,0,SAFE,0,0,0,0,0,18063,39,0,2863,0,0,7587,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},15227,114119,0,5.0,71,-1.0,0,8.537157980108423E-5,2244,0,23425,1000,34,5786,0,true,31,0,0,0,5.0,5785,0,40,40,0.0,0,11455,0,0,0,0.0,3856,0,0,0,0,0,true,24201,0.0,15511,0,0,0,13596,130.13888888888889,0,71,0,18063,60,0,0.0,0.0,1000,0,40,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,633,2PC,2,0.0,0.0,21262,40,0,1030,0,6064,0,0,3762,5646,0,87,0,15865,23425000,0,0,0,2293,0,0,2204,0,0,0.0,5.0,15295,2PC__ TO__ PB,0,0,2,634.8111111111111,0.09780149413020277,1820,0.0,0,0,0.09787851624194306,100080,100080
