SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,UPDATE_XACT_RESPONSE_TIME,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,RG_NTCB,RG_NTCB_S,avgLocalGetTime,localReadOnlyTxCommitServiceTime,avgWriteTxDuration,gMUClusteredGetCommandWaitingTime,remoteUpdateTxPrepareResponseTime,localReadOnlyTxPrepareResponseTime,numKilledTxDueToValidation,localReadOnlyTxRemoteNodesRead,numLocalTxWaitingTimeInGMUQueueDueToSlowCommits,applicationContentionFactor,avgCompleteNotificationAsync,gMUWaitingTimeEnabled,avgLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,remoteUpdateTxCommitServiceTime,avgNumNodesCommit,numRemoteRemoteLockContentions,tOGMUPrepareRttMinusMaxValidationTime,avgCommitAsync,localUpdateTxTotalCpuTime,localUpdateCommittedXact,avgPrepareAsync,numLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,localReadOnlyTxPrepareServiceTime,waitedTimeInLocalCommitQueue,remoteUpdateTxPrepareServiceTime,avgNumOfLockRemoteTx,localUpdateTxLocalServiceTime,avgPutsPerWrTransaction,numWaitedLocalCommits,localUpdateTxCommitServiceTime,avgTOGMUPrepareNoWaitRtt,numberOfRemotePuts,avgTCBTime,numRemoteTxWaitingTimeInGMUQueueDuePendingTx,numTOGMUSuccessfulPrepareNoWait,numAbortedTxDueToWriteLock,avgNumNodesRemoteGet,currentState,localUpdateTxRemoteRollbackServiceTime,avgRemoteTxWaitingTimeInGMUQueueDuePendingTx,numberOfRemoteGets,avgLocalTxWaitingTimeInGMUQueueDuePendingTx,tOGMUPrepareWaitProbability,avgLocalLockHoldTime,avgNumAsyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgPrepareCommandSize,tOGMUAvgSuccessfulValidationResponseTime,numLocalRemoteLockContentions,avgResponseTime,localReadOnlyCommittedXact,currentProtocolInfo,avgRemoteLockHoldTime,numberOfCommits,tOAvgValidationConditionalWaitTime,numOwnedWrItemsInLocalPrepare,avgRollbackCommandSize,numReadsBeforeWrite,numAbortedTxDueToValidation,localUpdateTxLocalRollbackResponseTime,abortRate,numberOfLocalCommits,avgNumOfLockLocalTx,avgGetsPerWrTransaction,remoteUpdateTxRollbackServiceTime,readOnlyTxTotalResponseTime,avgLockWaitingTime,allowProtocolSwitch,currentProtocolAsInt,remoteUpdateTxRollbackResponseTime,remotePutExecutionTime,avgRemoteTxCompleteNotifyTime,numOwnedWrItemsInRemotePrepare,avgReadOnlyTxDuration,avgClusteredGetCommandReplySize,numWaitedRemoteCommits,replicationDegree,avgNumNodesRollback,avgLocalLocalAbortLockHoldTime,remoteContentionProbability,numberOfPuts,avgNumSyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,avgGmuClusteredGetCommandRttNoWait,coolDownTimeExpired,avgRemotePutsPerWrTransaction,readOnlyTxTotalCpuTime,numWaitedRemoteGets,numLocalLocalLockContentions,avgClusteredGetCommandSize,tOMaxSuccessfulValidationWaitingTime,localUpdateTxRemoteRollbackResponseTime,enabled,localUpdateTxTotalResponseTime,avgRemoteGetsPerROTransaction,avgPrepareRtt,avgRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,numEarlyAborts,terminationCost,throughput,tOGMUPrepareRttMinusAvgValidationTime,avgCommitCommandSize,avgLocalSuccessfulLockHoldTime,avgNumNodesCompleteNotification,switchCoolDownTime,numOwnedRdItemsInRemotePrepare,lockContentionProbability,tOPrepareWaitTime,remotelyDeadXact,avgGetsPerROTransaction,avgNumNodesPrepare,numLocalTxWaitingTimeInGMUQueueDuePendingTx,localActiveTransactions,localUpdateTxRemoteNodesRead,availableProtocolsInfo,localUpdateTxLocalRollbackServiceTime,tOGMUAvgSuccessfulValidationServiceTime,currentProtocolId,numLocalPrepareAborts,avgRemoteGetsPerWrTransaction,numOwnedRdItemsInLocalPrepare,avgAbortedWriteTxDuration,remoteUpdateTxCommitResponseTime,localUpdateTxPrepareServiceTime,avgLocalRemoteAbortLockHoldTime,localUpdateTxLocalResponseTime,numRemoteLocalLockContentions,remoteGetResponseTime,numAbortedTxDueDeadlock,localReadOnlyTxLocalServiceTime,localReadOnlyTxLocalResponseTime,avgNumOfLockSuccessLocalTx,avgNTCBTime,numAbortedTxDueToReadLock,localUpdateTxPrepareResponseTime,numberOfGets,avgCommitRtt,avgRemoteGetRtt,updateXactToPrepare,gMUClusteredGetCommandServiceTime,currentEpoch,avgLocalTxWaitingTimeInGMUQueueDueToSlowCommits,waitedTimeInRemoteCommitQueue,localUpdateTxCommitResponseTime,remoteGetServiceTime,localContentionProbability,avgNumPutsBySuccessfulLocalTx,avgLockHoldTime,availableProtocolIds,gMUClusteredGetCommandResponseTime,tONumValidationWaited,numAbortedXacts,avgTxArrivalRate,percentageSuccessWriteTransactions,avgRollbackAsync,writeSkewProbability,localReadOnlyTxCommitResponseTime,avgRollbackRtt,percentageWriteTransactions,Before,After
0,180013,0,122811,13466,0,2,11692.46038875687,174.52235085619367,11695.909961161444,1.589601794847335,11542.330185058667,0.5273092753908918,3.5136605973333335E8,1,100000,UNIFORM,1,11.286641272683246,4.301734984847262,19,0,11621,0,22,0,0,0.0,0,0.0,0,false,0,20,20,0,0,1836,688,13466,0,0,0,0,20,0,59,1.0,0,262,0,0,477,0,0,2,0,SAFE,0,0,0,0,0,10932,19,0,663,0,0,1265,122811,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},9747,376892,0,1.0,71,-1.0,0,1268,1.4675775431284351E-5,136277,0,2,52,131,0,true,0,47,0,0,1.0,129,0,0,20,20,0,0.0,13466,0,0,0,true,0.0,48,0,0,0,0,0,true,11625,0.0,9263,0,0,0,12648,757.0944444444444,0,71,10932,0,60,0.0,0.0,0,0,2,20,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},434,0,2PC,2,0.0,0.0,22916,22,346,0,159,0,0,0,30,83,0,49,0,9428,272554,0,0,13468,0,0,0,0,1976,0,0.0,1.0,9809,2PC__ TO__ PB,0,0,2,2094.0055555555555,0.09881344614278272,990,0.0,0,0,0.09882667175426882,100020,100020
1,179997,0,112983,12581,0,0,12452.53440664494,197.0344904897197,12452.53440664494,2.5149799783377405,12225.346571258247,0.7753942515759358,2.778868186666667E8,1,100000,UNIFORM,1,12.108247555031697,4.382452836800357,21,0,12374,0,23,0,0,0.0,0,0.0,0,false,0,21,20,0,0,1988,763,12581,0,0,0,0,21,0,90,1.0,0,279,0,0,512,0,0,0,0,SAFE,0,0,0,0,0,12693,19,0,663,0,0,1369,112983,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},9280,367091,0,1.0,0,-1.0,0,0,0.0,125564,0,2,43,146,0,true,0,39,0,0,1.0,144,0,0,20,0,0,0.0,12581,0,0,0,true,0.0,51,0,0,0,0,0,true,12378,0.0,9729,0,0,0,14960,697.5777777777778,0,71,12693,0,60,0.0,0.0,0,0,2,20,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,22,373,0,245,0,0,0,30,90,0,56,0,9931,251128,0,0,12581,0,0,0,0,2136,0,0.0,1.0,9445,2PC__ TO__ PB,0,0,0,2039.5555555555557,0.10019591602688668,0,0.0,0,0,0.10019591602688668,100020,100020
2,179995,0,116130,12989,0,3,12087.678209638925,187.83027569964693,12096.889683578413,2.1702472622790845,11868.7504058819,0.7805516310871446,2.66068056E8,1,100000,UNIFORM,1,12.195689541673767,4.353705580768575,20,0,12024,0,23,0,0,0.0,0,0.0,0,false,0,21,20,0,0,1870,772,12989,0,0,0,0,20,0,88,1.0,0,282,0,0,504,0,0,3,0,SAFE,0,0,0,0,0,11938,19,0,663,0,0,1336,116130,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},9192,370261,0,1.0,71,-1.0,0,1238,2.323384086367931E-5,129119,0,2,45,141,0,true,0,41,0,0,1.0,139,0,0,20,20,0,0.0,12989,0,0,0,true,0.0,51,0,0,0,0,0,true,12027,0.0,9546,0,0,0,12778,717.3277777777778,0,71,11938,0,60,0.0,0.0,0,0,2,20,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},444,0,2PC,3,0.0,0.0,39592,23,381,0,237,0,0,0,31,88,0,50,0,9724,258238,0,0,12992,0,0,0,0,2006,0,0.0,1.0,9335,2PC__ TO__ PB,0,0,3,2057.1666666666665,0.10059712358367087,1071,0.0,0,0,0.10061802016697387,100020,100020
3,179994,0,112462,12522,0,1,12513.66211571634,197.5163092689086,12514.06265460789,2.7334737928551425,12289.45818663153,0.7545587048936712,2.96285624E8,1,100000,UNIFORM,1,12.760575549065889,4.522726303156379,20,0,12426,0,23,0,0,0.0,0,0.0,0,false,0,21,20,1,0,2023,744,12522,0,0,0,0,21,0,85,1.0,0,271,0,0,513,0,0,1,0,SAFE,0,0,0,0,0,12460,19,0,663,0,1,1373,112462,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},9677,366673,0,1.0,71,-1.0,0,2136,8.000960115213825E-6,124984,0,2,45,145,0,true,0,40,0,0,1.0,142,0,0,20,0,0,0.0,12522,0,0,0,true,0.0,49,0,0,0,0,0,true,12430,0.0,9701,0,0,0,15347,694.3555555555556,0,71,12460,0,60,0.0,0.0,0,0,2,20,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},493,0,2PC,1,0.0,0.0,4672,22,366,0,243,0,0,0,30,91,0,59,0,9929,249968,0,0,12523,0,0,0,0,2182,0,7.985307035055498E-5,1.0,9804,2PC__ TO__ PB,0,0,1,2037.25,0.10018882416949369,85,0.0,0,0,0.10019602352282274,100020,100020
4,180002,0,107680,12195,0,1,12865.88117908979,205.21556626114412,12867.870828454284,2.1569050935967167,12638.05011906519,0.7444434518418088,2.5875056373333332E8,1,100000,UNIFORM,1,12.459942373786244,4.57778355133638,21,0,12799,0,24,0,0,0.0,0,0.0,0,false,0,22,20,0,0,2131,799,12195,0,0,0,0,21,0,87,1.0,0,290,0,0,536,0,0,1,0,SAFE,0,0,0,0,0,12444,19,0,663,0,0,1439,107680,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},9459,361867,0,1.0,71,-1.0,0,10677,8.341953351796856E-6,119875,0,2,41,155,0,true,0,37,0,0,1.0,152,0,0,20,20,0,0.0,12195,0,0,0,true,0.0,51,0,0,0,0,0,true,12802,0.0,9999,0,0,0,13769,665.9722222222222,0,71,12444,0,60,0.0,0.0,0,0,2,20,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},625,0,2PC,1,0.0,0.0,23897,23,400,0,253,0,0,0,31,96,0,55,0,10205,239750,0,0,12196,0,0,0,0,2280,0,0.0,1.0,9605,2PC__ TO__ PB,0,0,1,2010.5444444444445,0.10173096976016684,3145,0.0,0,0,0.10173846307851446,100020,100020
5,179997,0,118270,13055,0,1,11932.577620528535,196.1898047687495,11933.964610264266,2.204480948174771,11719.920039525086,0.7213495368861705,2.6089680053333333E8,1,100000,UNIFORM,1,11.818405974445273,4.369209691911731,20,0,11863,0,23,0,0,0.0,0,0.0,0,false,0,21,20,0,0,1834,740,13055,0,0,0,0,21,0,88,1.0,0,268,0,0,494,0,0,1,0,SAFE,0,0,0,0,0,11806,19,0,663,0,0,1308,118270,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},9273,372356,0,1.0,71,-1.0,0,1984,7.614638380823295E-6,131325,0,2,44,145,0,true,0,40,0,0,1.0,143,0,0,20,20,0,0.0,13055,0,0,0,true,0.0,51,0,0,0,0,0,true,11867,0.0,9416,0,0,0,13544,729.5833333333334,0,71,11806,0,60,0.0,0.0,0,0,2,20,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},529,0,2PC,1,0.0,0.0,17404,24,362,0,233,0,0,0,31,91,0,54,0,9606,262650,0,0,13056,0,0,0,0,1966,0,0.0,1.0,9404,2PC__ TO__ PB,0,0,1,2068.8055555555557,0.09940986103179136,1445,0.0,0,0,0.09941671870002894,100020,100020
6,179996,0,119233,13255,0,2,11865.789074462467,181.71005541251162,11872.532881026027,2.5743603517246583,11647.523607770654,0.7063574068245602,2.8031234773333335E8,1,100000,UNIFORM,1,10.7532845799683,4.125230447580949,19,0,11806,0,23,0,0,0.0,0,0.0,0,false,0,21,20,0,0,1817,748,13255,0,0,0,0,20,0,86,1.0,0,274,0,0,491,0,0,2,0,SAFE,0,0,0,0,0,12036,19,0,663,0,0,1301,119233,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},9486,373296,0,1.0,71,-1.0,0,2023,1.5095478904068232E-5,132488,0,2,42,134,0,true,0,37,0,0,1.0,132,0,0,20,20,0,0.0,13255,0,0,0,true,0.0,48,0,0,0,0,0,true,11809,0.0,9402,0,0,0,12827,736.0444444444445,0,71,12036,0,60,0.0,0.0,0,0,2,20,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},706,0,2PC,2,0.0,0.0,44295,22,369,0,244,0,0,0,30,85,0,51,0,9563,264976,0,0,13257,0,0,0,0,1951,0,0.0,1.0,9618,2PC__ TO__ PB,0,0,2,2074.027777777778,0.10004679669102107,1644,0.0,0,0,0.10006038191561627,100020,100020
7,179996,0,119345,13179,0,2,11825.968942408377,193.54805221835852,11831.911783595113,2.511722311093672,11607.943127172015,0.7689604648089483,3.200209296E8,1,100000,UNIFORM,1,11.541154226340492,4.309271742903279,20,0,11756,0,22,0,0,0.0,0,0.0,0,false,0,21,20,0,0,1774,749,13179,0,0,0,0,20,0,86,1.0,0,270,0,0,492,0,0,2,0,SAFE,0,0,0,0,0,11622,19,0,663,0,0,1299,119345,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},8957,373442,0,1.0,71,-1.0,0,1397,1.5091378295579735E-5,132524,0,2,37,146,0,true,0,33,0,0,1.0,144,0,0,20,20,0,0.0,13179,0,0,0,true,0.0,51,0,0,0,0,0,true,11759,0.0,9393,0,0,0,12818,736.2444444444444,0,71,11622,0,60,0.0,0.0,0,0,2,20,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},438,0,2PC,2,0.0,0.0,38779,22,370,0,240,0,0,0,31,92,0,52,0,9562,265048,0,0,13181,0,0,0,0,1899,0,0.0,1.0,9101,2PC__ TO__ PB,0,0,2,2074.838888888889,0.09944613805801214,530,0.0,0,0,0.09945972865701824,100020,100020
8,179994,0,123206,13759,0,2,11294.431542626644,190.81120090742334,11296.239199651138,2.247848291924332,11071.238947089178,0.7436229900561345,3.047933648E8,1,100000,UNIFORM,1,11.330649506815512,4.308762154387553,20,0,11219,0,23,0,0,0.0,0,0.0,0,false,0,22,20,1,0,1623,729,13759,0,0,0,0,21,0,87,1.0,0,266,0,0,477,0,0,2,0,SAFE,0,0,0,0,0,11005,19,0,663,0,1,1253,123206,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},8952,377290,0,1.0,71,-1.0,0,1201,1.4602057429891871E-5,136965,0,2,47,142,0,true,0,43,0,0,1.0,140,0,0,20,10,0,0.0,13759,0,0,0,true,0.0,50,0,0,0,0,0,true,11223,0.0,9006,0,0,0,13388,760.9166666666666,0,71,11005,0,60,0.0,0.0,0,0,2,20,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},312,0,2PC,2,0.0,0.0,11963,23,354,0,239,0,0,0,31,88,0,53,0,9176,273930,0,0,13761,0,0,0,0,1746,0,7.266913741733885E-5,1.0,9063,2PC__ TO__ PB,0,0,2,2096.222222222222,0.10045632095790895,845,0.0,0,0,0.10046945614637103,100020,100020
9,180006,0,118975,13297,0,2,11794.854690757315,184.9602785206976,11800.369131683838,2.1448784265993317,11567.183510039858,0.7401303192631515,2.844624E8,1,100000,UNIFORM,1,12.239669662972316,4.558512307785355,19,0,11723,0,22,0,0,0.0,0,0.0,0,false,0,21,20,0,0,1791,749,13297,0,0,0,0,20,0,89,1.0,0,272,0,0,491,0,0,2,0,SAFE,0,0,0,0,0,11311,19,0,663,0,0,1300,118975,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},9172,373116,0,1.0,71,-1.0,0,1693,1.5120129428307906E-5,132272,0,2,40,137,0,true,0,36,0,0,1.0,135,0,0,20,20,0,0.0,13297,0,0,0,true,0.0,49,0,0,0,0,0,true,11725,0.0,9339,0,0,0,13251,734.8444444444444,0,71,11311,0,60,0.0,0.0,0,0,2,20,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},505,0,2PC,2,0.0,0.0,36284,22,368,0,239,0,0,0,30,87,0,53,0,9515,264544,0,0,13299,0,0,0,0,1916,0,0.0,1.0,9290,2PC__ TO__ PB,0,0,2,2073.027777777778,0.10052770049594774,1258,0.0,0,0,0.10054130063353342,100020,100020
