SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,UPDATE_XACT_RESPONSE_TIME,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,RG_NTCB,RG_NTCB_S,avgLocalGetTime,localReadOnlyTxCommitServiceTime,gMUClusteredGetCommandWaitingTime,avgWriteTxDuration,remoteUpdateTxPrepareResponseTime,localReadOnlyTxPrepareResponseTime,numKilledTxDueToValidation,numLocalTxWaitingTimeInGMUQueueDueToSlowCommits,applicationContentionFactor,gMUWaitingTimeEnabled,avgLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgCompleteNotificationAsync,remoteUpdateTxCommitServiceTime,tOGMUPrepareRttMinusMaxValidationTime,avgNumNodesCommit,numRemoteRemoteLockContentions,avgCommitAsync,localUpdateTxTotalCpuTime,avgPrepareAsync,numLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,localReadOnlyTxPrepareServiceTime,waitedTimeInLocalCommitQueue,localUpdateTxLocalServiceTime,avgNumOfLockRemoteTx,remoteUpdateTxPrepareServiceTime,localUpdateTxCommitServiceTime,avgPutsPerWrTransaction,numWaitedLocalCommits,avgTOGMUPrepareNoWaitRtt,numberOfRemotePuts,avgTCBTime,numRemoteTxWaitingTimeInGMUQueueDuePendingTx,numTOGMUSuccessfulPrepareNoWait,numAbortedTxDueToWriteLock,avgNumNodesRemoteGet,currentState,localUpdateTxRemoteRollbackServiceTime,avgRemoteTxWaitingTimeInGMUQueueDuePendingTx,numberOfRemoteGets,avgLocalTxWaitingTimeInGMUQueueDuePendingTx,tOGMUPrepareWaitProbability,avgLocalLockHoldTime,avgNumAsyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgPrepareCommandSize,tOGMUAvgSuccessfulValidationResponseTime,numLocalRemoteLockContentions,avgResponseTime,currentProtocolInfo,avgRemoteLockHoldTime,numberOfCommits,tOAvgValidationConditionalWaitTime,numOwnedWrItemsInLocalPrepare,avgRollbackCommandSize,numReadsBeforeWrite,numAbortedTxDueToValidation,localUpdateTxLocalRollbackResponseTime,abortRate,avgNumOfLockLocalTx,numberOfLocalCommits,avgGetsPerWrTransaction,remoteUpdateTxRollbackServiceTime,readOnlyTxTotalResponseTime,avgLockWaitingTime,allowProtocolSwitch,remoteUpdateTxRollbackResponseTime,remotePutExecutionTime,avgRemoteTxCompleteNotifyTime,avgReadOnlyTxDuration,avgClusteredGetCommandReplySize,numOwnedWrItemsInRemotePrepare,numWaitedRemoteCommits,replicationDegree,avgNumNodesRollback,remoteContentionProbability,avgLocalLocalAbortLockHoldTime,numberOfPuts,avgNumSyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,avgGmuClusteredGetCommandRttNoWait,coolDownTimeExpired,avgRemotePutsPerWrTransaction,readOnlyTxTotalCpuTime,numWaitedRemoteGets,numLocalLocalLockContentions,avgClusteredGetCommandSize,tOMaxSuccessfulValidationWaitingTime,localUpdateTxRemoteRollbackResponseTime,enabled,localUpdateTxTotalResponseTime,avgRemoteGetsPerROTransaction,avgPrepareRtt,avgRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,numEarlyAborts,terminationCost,throughput,tOGMUPrepareRttMinusAvgValidationTime,avgNumNodesCompleteNotification,avgCommitCommandSize,avgLocalSuccessfulLockHoldTime,switchCoolDownTime,lockContentionProbability,tOPrepareWaitTime,numOwnedRdItemsInRemotePrepare,remotelyDeadXact,avgGetsPerROTransaction,avgNumNodesPrepare,numLocalTxWaitingTimeInGMUQueueDuePendingTx,localActiveTransactions,availableProtocolsInfo,tOGMUAvgSuccessfulValidationServiceTime,localUpdateTxLocalRollbackServiceTime,currentProtocolId,numLocalPrepareAborts,avgRemoteGetsPerWrTransaction,numOwnedRdItemsInLocalPrepare,avgAbortedWriteTxDuration,avgLocalRemoteAbortLockHoldTime,remoteUpdateTxCommitResponseTime,localUpdateTxPrepareServiceTime,localUpdateTxLocalResponseTime,numRemoteLocalLockContentions,remoteGetResponseTime,numAbortedTxDueDeadlock,localReadOnlyTxLocalResponseTime,localReadOnlyTxLocalServiceTime,avgNumOfLockSuccessLocalTx,avgNTCBTime,numAbortedTxDueToReadLock,localUpdateTxPrepareResponseTime,numberOfGets,avgCommitRtt,avgRemoteGetRtt,updateXactToPrepare,gMUClusteredGetCommandServiceTime,currentEpoch,avgLocalTxWaitingTimeInGMUQueueDueToSlowCommits,localUpdateTxCommitResponseTime,waitedTimeInRemoteCommitQueue,remoteGetServiceTime,localContentionProbability,avgNumPutsBySuccessfulLocalTx,avgLockHoldTime,availableProtocolIds,gMUClusteredGetCommandResponseTime,tONumValidationWaited,numAbortedXacts,avgTxArrivalRate,percentageSuccessWriteTransactions,avgRollbackAsync,localReadOnlyTxCommitResponseTime,writeSkewProbability,avgRollbackRtt,percentageWriteTransactions,Before,After
0,299994,0,33336,1822,0,131,39828.708621844125,6625.679421226302,42878.97108122942,7.287807758791692,33039.54425905598,0.9537110665767021,2.2835628591304347E8,1,5000,UNIFORM,1,36.87767502621214,24.187974156252658,4,0,0,39734,69,0,0,0,0.0,false,0,0,34,0,80,2,5485,7002,0,0,0,0,4195,0,49,1083,5.0,0,0,0,3,0,0,131,0,SAFE,0,0,0,0,0,32925,79,0,2857,0,2,8426,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},19646,196897,0,5.0,71,-1.0,0,5569,0.0037122049363824423,0,35158,1000,37,6550,0,true,37,0,0,6549,0,5.0,0,80,79,0.0,31158,9110,0,0,0,true,0.0,4003,0,0,0,0,0,true,39736,0.0,26540,0,0,0,14570,117.19333333333333,0,0,71,33030,60,0.0,0,0.0,0,1000,80,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,999,2PC,131,0.0,0.0,42224,0,45,1670,6844,0,0,0,6391,3905,0,96,0,26886,35158000,0,0,1953,0,0,0,5916,0,0,2.048131080389145E-4,5.0,19809,2PC__ TO__ PB,0,0,131,689.6766666666666,0.05182319813413732,5329,0,0.0,0,0.05534302473858709,5160,5160
1,299995,0,37069,1909,0,107,39505.89005185961,5916.747283498341,41760.36803562074,6.143070845592939,33450.93087008905,0.9425409919720221,1.285931787826087E8,1,5000,UNIFORM,1,31.87750008954842,22.743193578099014,3,0,0,39408,63,0,0,0,0.0,false,0,0,33,0,80,2,5710,6834,0,0,0,0,3856,0,46,1156,5.0,0,0,0,3,0,0,107,0,SAFE,0,0,0,0,0,33138,79,0,2857,0,2,7595,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},20863,200641,0,5.0,71,-1.0,0,6281,0.002737623129077651,0,38978,1000,36,5843,0,true,37,0,0,5841,0,5.0,0,80,80,0.0,29451,9545,0,0,0,true,0.0,3651,0,0,0,0,0,true,39411,0.0,26640,0,0,0,13911,129.92666666666668,0,0,71,33360,60,0.0,0,0.0,0,1000,80,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,1113,2PC,107,0.0,0.0,39986,0,41,1765,6093,0,0,0,5692,3555,0,92,0,27069,38978000,0,0,2016,0,0,0,6162,0,0,1.984126984126984E-4,5.0,20995,2PC__ TO__ PB,0,0,107,702.1633333333333,0.048976345630868695,5864,0,0.0,0,0.05157988998336958,5160,5160
2,299995,0,38983,1990,0,130,33854.96343618091,5825.429549136804,36176.54125628141,5.1516478359243845,27861.351804522616,0.928112891675826,1.2382168E8,1,5000,UNIFORM,1,28.90716037758801,20.39439055543391,3,0,0,33773,58,0,0,0,0.0,false,0,0,31,0,80,2,3519,6593,0,0,0,0,3964,0,43,985,5.0,0,0,0,3,0,0,130,0,SAFE,0,0,0,0,0,27745,79,0,2857,0,2,7231,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},20839,202530,0,5.0,71,-1.0,0,4056,0.003162786171325694,0,40973,1000,37,5760,0,true,36,0,0,5759,0,5.0,0,80,80,0.0,29836,9950,0,0,0,true,0.0,3763,0,0,0,0,0,true,33775,0.0,23409,0,0,0,13473,136.57666666666665,0,0,71,27587,60,0.0,0,0.0,0,1000,80,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,943,2PC,130,0.0,0.0,35368,0,39,1593,6034,0,0,0,5632,3677,0,80,0,23772,40973000,0,0,2120,0,0,0,3889,0,0,1.8867924528301886E-4,5.0,20916,2PC__ TO__ PB,0,0,130,708.4533333333334,0.048568569545798454,3752,0,0.0,0,0.051577743717003625,5160,5160
3,299995,0,39369,2067,0,134,33863.3991233672,5700.194721328964,36114.64717464925,5.3154530430598985,28067.92550362845,0.9486637023865532,1.0942156730434783E8,1,5000,UNIFORM,1,29.477323358191004,19.775089968727446,3,0,0,33779,59,0,0,0,0.0,false,0,0,31,0,80,2,3779,6532,0,0,0,0,3833,0,44,1028,5.0,0,0,0,3,0,0,134,0,SAFE,0,0,0,0,0,27612,79,0,2857,0,2,7145,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},20637,202923,0,5.0,71,-1.0,0,4119,0.0032234784700505173,0,41436,1000,33,5631,0,true,39,0,0,5629,0,5.0,0,80,80,0.0,24833,10335,0,0,0,true,0.0,3626,0,0,0,0,0,true,33781,0.0,23325,0,0,0,13148,138.12,0,0,71,27845,60,0.0,0,0.0,0,1000,80,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,965,2PC,134,0.0,0.0,34566,0,41,1617,5828,0,0,0,5486,3529,0,87,0,23720,41436000,0,0,2201,0,0,0,4158,0,0,1.817355747387551E-4,5.0,20714,2PC__ TO__ PB,0,0,134,709.7633333333333,0.049884158702577466,3875,0,0.0,0,0.052946836661053646,5160,5160
4,300013,0,40548,2054,0,120,33116.2060744888,5595.158223340239,35167.169357351515,4.337114765226347,27336.630594449856,0.9670655210035101,1.3287799566666667E8,1,5000,UNIFORM,1,27.53409088993961,18.78737346098029,3,0,0,33030,55,0,0,0,0.0,false,0,0,29,0,80,2,3536,6439,0,0,0,0,3827,0,42,972,5.0,0,0,0,3,0,0,120,0,SAFE,0,0,0,0,0,26885,79,0,2857,0,2,6956,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},20806,204097,0,5.0,71,-1.0,0,3712,0.00280885726323674,0,42602,1000,28,5534,0,true,27,0,0,5532,0,5.0,0,80,79,0.0,27909,10270,0,0,0,true,0.0,3634,0,0,0,0,0,true,33032,0.0,22881,0,0,0,12296,142.00666666666666,0,0,71,26854,60,0.0,0,0.0,0,1000,80,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,909,2PC,120,0.0,0.0,34837,0,36,1593,5813,0,0,0,5412,3551,0,77,0,23270,42602000,0,0,2174,0,0,0,3879,0,0,1.839926402943882E-4,5.0,20881,2PC__ TO__ PB,0,0,120,713.6766666666666,0.04821369888737618,3447,0,0.0,0,0.0508871307523056,5160,5160
5,299994,0,38348,2038,0,120,33331.77686015701,5920.148771487431,35382.487666830224,4.48777897101664,27086.728867026497,0.9405109624126808,1.406012747826087E8,1,5000,UNIFORM,1,27.19202068829309,19.116160667555423,3,0,0,33263,54,0,0,0,0.0,false,0,0,29,0,80,2,3388,6716,0,0,0,0,4120,0,42,976,5.0,0,0,0,3,0,0,120,0,SAFE,0,0,0,0,0,27027,79,0,2857,0,2,7343,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},20643,201899,0,5.0,71,-1.0,0,3580,0.0029625240705080727,0,40386,1000,30,5859,0,true,28,0,0,5857,0,5.0,0,80,78,0.0,27437,10190,0,0,0,true,0.0,3898,0,0,0,0,0,true,33264,0.0,22800,0,0,0,11365,134.62,0,0,71,27006,60,0.0,0,0.0,0,1000,80,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,908,2PC,120,0.0,0.0,34691,0,37,1570,6305,0,0,0,5736,3814,0,77,0,23151,40386000,0,0,2158,0,0,0,3738,0,0,1.8535681186283596E-4,5.0,20726,2PC__ TO__ PB,0,0,120,706.35,0.05046303174367355,3398,0,0.0,0,0.05327605786797018,5160,5160
6,299998,0,40692,2167,0,133,33270.996002307336,5464.04134925784,35403.58193308722,5.083859113323409,27475.9168454084,0.9367429413307125,1.2478730295652173E8,1,5000,UNIFORM,1,28.525438197804245,18.5430549171939,3,0,0,33187,55,0,0,0,0.0,false,0,0,29,0,80,3,3571,6427,0,0,0,0,3763,0,41,999,5.0,0,0,0,3,0,0,133,0,SAFE,0,0,0,0,0,27249,79,0,2857,0,3,6911,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},18233,204239,0,5.0,71,-1.0,0,3870,0.0030935988090807593,0,42859,1000,30,5401,0,true,30,0,0,5399,0,5.0,0,80,79,0.0,30689,10835,0,0,0,true,0.0,3540,0,0,0,0,0,true,33189,0.0,23022,0,0,0,13179,142.86333333333334,0,0,71,27048,60,0.0,0,0.0,0,1000,80,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,924,2PC,133,0.0,0.0,34561,0,37,1616,5822,0,0,0,5283,3461,0,79,0,23379,42859000,0,0,2300,0,0,0,3915,0,0,2.608695652173913E-4,5.0,18357,2PC__ TO__ PB,0,0,133,714.1533333333333,0.05056114235049815,3666,0,0.0,0,0.05349832526981764,5160,5160
7,300006,0,41602,2215,0,144,32530.794191422123,5349.73674616605,34672.23724018059,4.14609788221378,26988.70929390519,0.8747854709977955,1.2750364104347827E8,1,5000,UNIFORM,1,20.569533063397103,14.021783262437161,3,0,0,32455,55,0,0,0,0.0,false,0,0,29,0,80,0,3420,6302,0,0,0,0,3708,0,41,975,5.0,0,0,0,3,0,0,144,0,SAFE,0,0,0,0,0,26061,79,0,2857,0,0,6775,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},19428,205149,0,5.0,71,-1.0,0,3647,0.0032756306726416597,0,43817,1000,31,5296,0,true,30,0,0,5294,0,5.0,0,80,80,0.0,25655,11075,0,0,0,true,0.0,3512,0,0,0,0,0,true,32457,0.0,22689,0,0,0,10969,146.05666666666667,0,0,71,26069,60,0.0,0,0.0,0,1000,80,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,911,2PC,144,0.0,0.0,32783,0,37,1573,5560,0,0,0,5180,3433,0,64,0,23067,43817000,0,0,2359,0,0,0,3767,0,0,0.0,5.0,19520,2PC__ TO__ PB,0,0,144,717.1766666666666,0.050551155944039985,3459,0,0.0,0,0.053661199699733854,5160,5160
8,299994,0,39607,2135,0,168,33075.33336908665,5619.824577953392,35857.922778922715,5.13622448103078,27283.332843091335,0.9651149415250253,1.4177227582608697E8,1,5000,UNIFORM,1,26.86976921975662,18.118763946552136,3,0,0,32992,54,0,0,0,0.0,false,0,0,29,0,80,2,3524,6435,0,0,0,0,3818,0,41,970,5.0,0,0,0,3,0,0,168,0,SAFE,0,0,0,0,0,27068,79,0,2857,0,2,7101,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},19466,203154,0,5.0,71,-1.0,0,3683,0.004008589835361489,0,41742,1000,32,5558,0,true,31,0,0,5556,0,5.0,0,80,80,0.0,38399,10675,0,0,0,true,0.0,3655,0,0,0,0,0,true,32994,0.0,22875,0,0,0,11858,139.14,0,0,71,26423,60,0.0,0,0.0,0,1000,80,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,911,2PC,168,0.0,0.0,35194,0,37,1598,5825,0,0,0,5441,3576,0,78,0,23242,41742000,0,0,2303,0,0,0,3854,0,0,1.7368649587494572E-4,5.0,19556,2PC__ TO__ PB,0,0,168,710.5333333333333,0.05114752527430406,3479,0,0.0,0,0.05495108565974708,5160,5160
9,299994,0,35806,1881,0,128,39163.6172466773,6152.266002262191,41833.89197235513,5.5390564061880205,32683.547356193514,0.9525555231661899,1.3183682052173913E8,1,5000,UNIFORM,1,34.9864212614042,22.452569033452335,3,0,0,39061,65,0,0,0,0.0,false,0,0,33,0,80,1,5463,6962,0,0,0,0,4047,0,47,1135,5.0,0,0,0,3,0,0,128,0,SAFE,0,0,0,0,0,31626,79,0,2857,0,1,7850,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},19576,199370,0,5.0,71,-1.0,0,5792,0.003384900171889462,0,37687,1000,35,6073,0,true,39,0,0,6071,0,5.0,0,80,79,0.0,30710,9405,0,0,0,true,0.0,3797,0,0,0,0,0,true,39063,0.0,26131,0,0,0,15747,125.62333333333333,0,0,71,31721,60,0.0,0,0.0,0,1000,80,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,1040,2PC,128,0.0,0.0,39044,0,43,1724,6535,0,0,0,5925,3701,0,98,0,26535,37687000,0,0,2009,0,0,0,5906,0,0,9.955201592832254E-5,5.0,19725,2PC__ TO__ PB,0,0,128,697.9266666666666,0.049911109931806724,5531,0,0.0,0,0.053127065979108816,5160,5160
