SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,UPDATE_XACT_RESPONSE_TIME,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,RG_NTCB,RG_NTCB_S,avgLocalGetTime,localReadOnlyTxCommitServiceTime,gMUClusteredGetCommandWaitingTime,avgWriteTxDuration,remoteUpdateTxPrepareResponseTime,numKilledTxDueToValidation,localReadOnlyTxPrepareResponseTime,numLocalTxWaitingTimeInGMUQueueDueToSlowCommits,applicationContentionFactor,remoteUpdateTxCommitServiceTime,gMUWaitingTimeEnabled,avgCompleteNotificationAsync,avgLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,numRemoteRemoteLockContentions,avgNumNodesCommit,tOGMUPrepareRttMinusMaxValidationTime,avgCommitAsync,localUpdateTxTotalCpuTime,avgPrepareAsync,numLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,localReadOnlyTxPrepareServiceTime,waitedTimeInLocalCommitQueue,remoteUpdateTxPrepareServiceTime,avgNumOfLockRemoteTx,localUpdateTxLocalServiceTime,localUpdateTxCommitServiceTime,avgPutsPerWrTransaction,numWaitedLocalCommits,avgTOGMUPrepareNoWaitRtt,numberOfRemotePuts,avgTCBTime,numRemoteTxWaitingTimeInGMUQueueDuePendingTx,numTOGMUSuccessfulPrepareNoWait,numAbortedTxDueToWriteLock,avgNumNodesRemoteGet,currentState,localUpdateTxRemoteRollbackServiceTime,avgRemoteTxWaitingTimeInGMUQueueDuePendingTx,numberOfRemoteGets,avgLocalTxWaitingTimeInGMUQueueDuePendingTx,tOGMUPrepareWaitProbability,avgLocalLockHoldTime,avgNumAsyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgPrepareCommandSize,tOGMUAvgSuccessfulValidationResponseTime,numLocalRemoteLockContentions,avgResponseTime,currentProtocolInfo,avgRemoteLockHoldTime,numberOfCommits,tOAvgValidationConditionalWaitTime,numOwnedWrItemsInLocalPrepare,avgRollbackCommandSize,numReadsBeforeWrite,numAbortedTxDueToValidation,abortRate,localUpdateTxLocalRollbackResponseTime,avgNumOfLockLocalTx,numberOfLocalCommits,avgGetsPerWrTransaction,remoteUpdateTxRollbackServiceTime,readOnlyTxTotalResponseTime,avgLockWaitingTime,allowProtocolSwitch,remoteUpdateTxRollbackResponseTime,remotePutExecutionTime,avgRemoteTxCompleteNotifyTime,numOwnedWrItemsInRemotePrepare,avgClusteredGetCommandReplySize,avgReadOnlyTxDuration,numWaitedRemoteCommits,replicationDegree,avgNumNodesRollback,avgLocalLocalAbortLockHoldTime,remoteContentionProbability,numberOfPuts,avgNumSyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,avgGmuClusteredGetCommandRttNoWait,avgRemotePutsPerWrTransaction,readOnlyTxTotalCpuTime,numLocalLocalLockContentions,numWaitedRemoteGets,avgClusteredGetCommandSize,tOMaxSuccessfulValidationWaitingTime,localUpdateTxRemoteRollbackResponseTime,enabled,localUpdateTxTotalResponseTime,avgRemoteGetsPerROTransaction,avgPrepareRtt,avgRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,numEarlyAborts,terminationCost,throughput,tOGMUPrepareRttMinusAvgValidationTime,avgCommitCommandSize,avgLocalSuccessfulLockHoldTime,avgNumNodesCompleteNotification,switchCoolDownTime,tOPrepareWaitTime,numOwnedRdItemsInRemotePrepare,lockContentionProbability,remotelyDeadXact,avgGetsPerROTransaction,avgNumNodesPrepare,numLocalTxWaitingTimeInGMUQueueDuePendingTx,localActiveTransactions,availableProtocolsInfo,localUpdateTxLocalRollbackServiceTime,tOGMUAvgSuccessfulValidationServiceTime,currentProtocolId,numLocalPrepareAborts,numOwnedRdItemsInLocalPrepare,avgRemoteGetsPerWrTransaction,avgAbortedWriteTxDuration,remoteUpdateTxCommitResponseTime,localUpdateTxPrepareServiceTime,avgLocalRemoteAbortLockHoldTime,numRemoteLocalLockContentions,localUpdateTxLocalResponseTime,remoteGetResponseTime,numAbortedTxDueDeadlock,localReadOnlyTxLocalResponseTime,localReadOnlyTxLocalServiceTime,avgNumOfLockSuccessLocalTx,avgNTCBTime,numAbortedTxDueToReadLock,localUpdateTxPrepareResponseTime,numberOfGets,avgCommitRtt,avgRemoteGetRtt,gMUClusteredGetCommandServiceTime,updateXactToPrepare,currentEpoch,avgLocalTxWaitingTimeInGMUQueueDueToSlowCommits,localUpdateTxCommitResponseTime,waitedTimeInRemoteCommitQueue,remoteGetServiceTime,localContentionProbability,avgNumPutsBySuccessfulLocalTx,avgLockHoldTime,availableProtocolIds,gMUClusteredGetCommandResponseTime,tONumValidationWaited,numAbortedXacts,avgTxArrivalRate,percentageSuccessWriteTransactions,avgRollbackAsync,writeSkewProbability,localReadOnlyTxCommitResponseTime,avgRollbackRtt,percentageWriteTransactions,Before,After
0,179994,0,63788,606,0,2,8535.537231023103,2736.1093931460464,8627.33646039604,0.8804699515497857,5627.2424339934,0.9966543254985256,3.09284736E7,1,1000,UNIFORM,1,5.0417402167836505,4.299059584446239,1,0,0,8505,117,0,0,0,0.0,74,false,0,0,0,8,0,789,3897,0,0,0,0,116,0,2643,430,5.0,0,0,0,1,0,0,2,0,SAFE,0,0,0,0,0,5508,7,0,2853,0,0,2771,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4081,68982,0,5.0,71,-1.0,0,3.105782967886204E-5,1553,0,64394,1000,52,2717,0,true,50,0,0,5.0,0,2716,0,8,8,0,0.0,3030,0,0,0,0.0,2420,0,0,0,0,0,true,8507,0.0,4380,0,0,0,6434,357.74444444444447,0,71,5508,0,60,0,0.0,0.0,0,1000,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},749,0,2PC,2,0.0,0.0,27549,82,801,0,0,2921,0,0,2678,2387,0,19,0,4579,64394000,0,0,0,608,0,0,981,0,0,0.0,5.0,4265,2PC__ TO__ PB,0,0,2,383.2888888888889,0.009410814672174425,1307,0.0,0,0,0.00944158022237406,1016,1016
1,179995,0,62976,632,0,0,8907.405909810126,2764.488170382368,8907.405909810126,0.9481410199974846,6026.69322943038,0.9968302363726683,2.88315296E7,1,1000,UNIFORM,1,5.69448206200478,4.591702977612879,1,0,0,8865,116,0,0,0,0.0,73,false,0,0,0,8,0,832,3991,0,0,0,0,106,0,2637,428,5.0,0,0,0,1,0,0,0,0,SAFE,0,0,0,0,0,6217,7,0,2853,0,0,2803,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4299,68170,0,5.0,0,-1.0,0,0.0,0,0,63608,1000,58,2743,0,true,56,0,0,5.0,0,2743,0,8,0,0,0.0,3160,0,0,0,0.0,2432,0,0,0,0,0,true,8866,0.0,4679,0,0,0,6603,353.3777777777778,0,71,6217,0,60,0,0.0,0.0,0,1000,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,75,902,0,0,2880,0,0,2704,2397,0,21,0,4953,63608000,0,0,0,632,0,0,1005,0,0,0.0,5.0,4541,2PC__ TO__ PB,0,0,0,378.77777777777777,0.00993585712488995,0,0.0,0,0,0.00993585712488995,1016,1016
2,179997,0,66698,669,0,1,9252.718213751868,2601.4230276919848,9279.568464872946,1.0536886949293431,6441.653411061285,0.9963039677642128,2.91193872E7,1,1000,UNIFORM,1,5.742630536753355,4.4171707487234295,1,0,0,9207,117,0,0,0,0.0,72,false,0,0,0,8,0,934,3907,0,0,0,0,106,0,2510,531,5.0,0,0,0,1,0,0,1,0,SAFE,0,0,0,0,0,6517,7,0,2853,0,0,2647,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4192,71892,0,5.0,71,-1.0,0,1.4843842774017338E-5,1035,0,67367,1000,46,2581,0,true,44,0,0,5.0,0,2580,0,8,8,0,0.0,3345,0,0,0,0.0,2293,0,0,0,0,0,true,9209,0.0,4942,0,0,0,6501,374.2611111111111,0,71,6517,0,60,0,0.0,0.0,0,1000,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},487,0,2PC,1,0.0,0.0,17675,76,838,0,0,2811,0,0,2543,2259,0,20,0,5234,67367000,0,0,0,670,0,0,1131,0,0,0.0,5.0,4487,2PC__ TO__ PB,0,0,1,399.4555555555556,0.009930678225243813,705,0.0,0,0,0.009945374658591617,1016,1016
3,179995,0,64711,645,0,2,9024.394635658915,2686.0088665914604,9128.957894573643,1.2861259524465254,6102.98132248062,0.9967861993310952,3.1803389333333332E7,1,1000,UNIFORM,1,6.153559946754796,4.5137720248477615,1,0,0,8980,115,0,0,0,0.0,75,false,0,0,0,8,0,934,3999,0,0,0,0,113,0,2617,523,5.0,0,0,0,1,0,0,2,0,SAFE,0,0,0,0,0,6362,7,0,2853,0,0,2727,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4283,69905,0,5.0,71,-1.0,0,3.060069157562961E-5,1373,0,65356,1000,38,2665,0,true,36,0,0,5.0,0,2664,0,8,8,30295,0.0,3225,0,0,0,0.0,2371,0,0,0,0,0,true,8981,0.0,4596,0,0,0,6934,363.0888888888889,0,71,6256,0,60,0,0.0,0.0,0,1000,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},660,0,2PC,2,0.0,0.0,33421,73,832,0,0,2925,0,0,2623,2336,0,21,0,4883,65356000,0,0,0,647,0,0,1139,0,0,0.0,5.0,4548,2PC__ TO__ PB,0,0,2,388.4166666666667,0.009869025032131709,1089,0.0,0,0,0.00989932372471618,1016,1016
4,179993,0,64408,649,0,1,8985.89322496148,2699.9293050242204,8994.229664098613,1.254520750714747,6187.65634668721,0.9959213463574171,3.1037251733333334E7,1,1000,UNIFORM,1,5.525956162193735,4.615110178609856,1,0,0,8953,117,0,0,0,0.0,73,false,0,0,1,8,0,830,3967,0,0,0,0,112,0,2514,545,5.0,0,0,0,1,0,0,1,0,SAFE,0,0,0,0,0,6530,7,0,2853,0,1,2740,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4299,69602,0,5.0,71,-1.0,0,1.5370899812475022E-5,1084,0,65057,1000,56,2678,0,true,54,0,0,5.0,0,2677,0,8,8,0,0.0,3245,0,0,0,0.0,2374,0,0,0,0,0,true,8955,0.0,4777,0,0,0,6788,361.4277777777778,0,71,6530,0,60,0,0.0,0.0,0,1000,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},513,0,2PC,1,0.0,0.0,5014,76,879,0,0,2803,0,0,2638,2340,0,21,0,5084,65057000,0,0,0,650,0,0,1030,0,0,3.076923076923077E-4,5.0,4569,2PC__ TO__ PB,0,0,1,386.7388888888889,0.009975867316353351,811,0.0,0,0,0.009991084878108765,1016,1016
5,179996,0,66035,672,0,1,9099.136148809524,2628.8529924434015,9136.227395833334,1.0490708160940216,6307.893578869048,0.9964099587824015,3.0142747733333334E7,1,1000,UNIFORM,1,5.524541119505906,4.493714247166757,1,0,0,9057,119,0,0,0,0.0,77,false,0,0,0,8,0,866,3954,0,0,0,0,117,0,2501,533,5.0,0,0,0,1,0,0,1,0,SAFE,0,0,0,0,0,6291,7,0,2853,0,0,2671,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4127,71229,0,5.0,71,-1.0,0,1.4990705762427296E-5,1274,0,66707,1000,63,2606,0,true,60,0,0,5.0,0,2605,0,8,8,0,0.0,3360,0,0,0,0.0,2308,0,0,0,0,0,true,9059,0.0,4828,0,0,0,7456,370.59444444444443,0,71,6291,0,60,0,0.0,0.0,0,1000,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},458,0,2PC,1,0.0,0.0,24580,78,890,0,0,2791,0,0,2567,2273,0,22,0,5155,66707000,0,0,0,673,0,0,1074,0,0,0.0,5.0,4414,2PC__ TO__ PB,0,0,1,395.77222222222224,0.010073905287301182,918,0.0,0,0,0.01008874497811357,1016,1016
6,179993,0,64976,665,0,2,9593.830127819549,2666.8549244028563,9677.835663157895,1.300806925338574,6684.8437864661655,0.9960870964294205,3.2445866133333333E7,1,1000,UNIFORM,1,5.706256371585699,4.5010627485032675,1,0,0,9548,106,0,0,0,0.0,74,false,0,0,0,8,0,951,4012,0,0,0,0,102,0,2558,553,5.0,0,0,0,1,0,0,2,0,SAFE,0,0,0,0,0,7068,7,0,2853,0,0,2715,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4219,70170,0,5.0,71,-1.0,0,3.046783358469296E-5,1299,0,65641,1000,53,2645,0,true,51,0,0,5.0,0,2644,0,8,8,38828,0.0,3325,0,0,0,0.0,2341,0,0,0,0,0,true,9550,0.0,5128,0,0,0,7045,364.6722222222222,0,71,6984,0,60,0,0.0,0.0,0,1000,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},626,0,2PC,2,0.0,0.0,27611,76,870,0,0,2907,0,0,2604,2305,0,21,0,5434,65641000,0,0,0,667,0,0,1171,0,0,0.0,5.0,4556,2PC__ TO__ PB,0,0,2,389.8888888888889,0.010130863332368489,1032,0.0,0,0,0.010161022500495102,1016,1016
7,179995,0,66360,656,0,2,8748.601961890243,2620.972309584087,8849.09899695122,1.0946803843743471,5983.000682926829,0.9960686103433335,3.2072120533333335E7,1,1000,UNIFORM,1,5.41507972485004,4.348489286460355,1,0,0,8718,106,0,0,0,0.0,71,false,0,0,0,8,0,840,3760,0,0,0,0,107,0,2505,423,5.0,0,0,0,1,0,0,2,0,SAFE,0,0,0,0,0,6016,7,0,2853,0,0,2660,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4234,71554,0,5.0,71,-1.0,0,2.984272881912322E-5,1156,0,67016,1000,45,2601,0,true,43,0,0,5.0,0,2600,0,8,8,0,0.0,3280,0,0,0,0.0,2309,0,0,0,0,0,true,8719,0.0,4622,0,0,0,6346,372.31111111111113,0,71,6016,0,60,0,0.0,0.0,0,1000,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},560,0,2PC,2,0.0,0.0,32690,71,809,0,0,2771,0,0,2562,2275,0,20,0,4918,67016000,0,0,0,658,0,0,997,0,0,0.0,5.0,4475,2PC__ TO__ PB,0,0,2,397.5777777777778,0.009788707174406112,929,0.0,0,0,0.00981825778149154,1016,1016
