SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,UPDATE_XACT_RESPONSE_TIME,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,RG_NTCB,RG_NTCB_S,avgLocalGetTime,localReadOnlyTxCommitServiceTime,avgWriteTxDuration,gMUClusteredGetCommandWaitingTime,remoteUpdateTxPrepareResponseTime,localReadOnlyTxPrepareResponseTime,numKilledTxDueToValidation,numLocalTxWaitingTimeInGMUQueueDueToSlowCommits,applicationContentionFactor,remoteUpdateTxCommitServiceTime,gMUWaitingTimeEnabled,avgLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgCompleteNotificationAsync,numRemoteRemoteLockContentions,tOGMUPrepareRttMinusMaxValidationTime,avgNumNodesCommit,avgCommitAsync,localUpdateTxTotalCpuTime,avgPrepareAsync,numLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,localReadOnlyTxPrepareServiceTime,waitedTimeInLocalCommitQueue,avgNumOfLockRemoteTx,remoteUpdateTxPrepareServiceTime,localUpdateTxLocalServiceTime,avgPutsPerWrTransaction,numWaitedLocalCommits,localUpdateTxCommitServiceTime,avgTOGMUPrepareNoWaitRtt,numberOfRemotePuts,avgTCBTime,numRemoteTxWaitingTimeInGMUQueueDuePendingTx,numTOGMUSuccessfulPrepareNoWait,numAbortedTxDueToWriteLock,avgNumNodesRemoteGet,currentState,localUpdateTxRemoteRollbackServiceTime,avgRemoteTxWaitingTimeInGMUQueueDuePendingTx,numberOfRemoteGets,avgLocalTxWaitingTimeInGMUQueueDuePendingTx,tOGMUPrepareWaitProbability,avgLocalLockHoldTime,avgNumAsyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgPrepareCommandSize,tOGMUAvgSuccessfulValidationResponseTime,numLocalRemoteLockContentions,avgResponseTime,currentProtocolInfo,avgRemoteLockHoldTime,numberOfCommits,tOAvgValidationConditionalWaitTime,numOwnedWrItemsInLocalPrepare,avgRollbackCommandSize,numReadsBeforeWrite,numAbortedTxDueToValidation,localUpdateTxLocalRollbackResponseTime,abortRate,avgNumOfLockLocalTx,numberOfLocalCommits,avgGetsPerWrTransaction,readOnlyTxTotalResponseTime,remoteUpdateTxRollbackServiceTime,avgLockWaitingTime,allowProtocolSwitch,remoteUpdateTxRollbackResponseTime,remotePutExecutionTime,avgRemoteTxCompleteNotifyTime,numOwnedWrItemsInRemotePrepare,avgClusteredGetCommandReplySize,avgReadOnlyTxDuration,numWaitedRemoteCommits,avgNumNodesRollback,replicationDegree,avgLocalLocalAbortLockHoldTime,remoteContentionProbability,numberOfPuts,avgNumSyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,avgGmuClusteredGetCommandRttNoWait,coolDownTimeExpired,avgRemotePutsPerWrTransaction,readOnlyTxTotalCpuTime,numLocalLocalLockContentions,numWaitedRemoteGets,avgClusteredGetCommandSize,tOMaxSuccessfulValidationWaitingTime,localUpdateTxRemoteRollbackResponseTime,enabled,localUpdateTxTotalResponseTime,avgRemoteGetsPerROTransaction,avgRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgPrepareRtt,avgRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,numEarlyAborts,terminationCost,throughput,tOGMUPrepareRttMinusAvgValidationTime,avgLocalSuccessfulLockHoldTime,avgNumNodesCompleteNotification,avgCommitCommandSize,switchCoolDownTime,lockContentionProbability,tOPrepareWaitTime,numOwnedRdItemsInRemotePrepare,avgGetsPerROTransaction,remotelyDeadXact,avgNumNodesPrepare,numLocalTxWaitingTimeInGMUQueueDuePendingTx,localActiveTransactions,availableProtocolsInfo,localUpdateTxLocalRollbackServiceTime,tOGMUAvgSuccessfulValidationServiceTime,currentProtocolId,numLocalPrepareAborts,avgRemoteGetsPerWrTransaction,numOwnedRdItemsInLocalPrepare,avgAbortedWriteTxDuration,avgLocalRemoteAbortLockHoldTime,localUpdateTxPrepareServiceTime,remoteUpdateTxCommitResponseTime,localUpdateTxLocalResponseTime,numRemoteLocalLockContentions,remoteGetResponseTime,numAbortedTxDueDeadlock,localReadOnlyTxLocalResponseTime,localReadOnlyTxLocalServiceTime,avgNumOfLockSuccessLocalTx,avgNTCBTime,numAbortedTxDueToReadLock,localUpdateTxPrepareResponseTime,numberOfGets,avgCommitRtt,avgRemoteGetRtt,gMUClusteredGetCommandServiceTime,updateXactToPrepare,currentEpoch,avgLocalTxWaitingTimeInGMUQueueDueToSlowCommits,waitedTimeInRemoteCommitQueue,localUpdateTxCommitResponseTime,remoteGetServiceTime,localContentionProbability,avgNumPutsBySuccessfulLocalTx,avgLockHoldTime,availableProtocolIds,gMUClusteredGetCommandResponseTime,tONumValidationWaited,numAbortedXacts,avgTxArrivalRate,percentageSuccessWriteTransactions,avgRollbackAsync,writeSkewProbability,localReadOnlyTxCommitResponseTime,avgRollbackRtt,percentageWriteTransactions,Before,After
0,299994,0,61657,6808,0,43,9642.431060370152,3786.147313443729,9722.117338572267,1.1741679803818532,5680.7154903055225,0.9400643784563459,9.763236452173913E7,1,5000,UNIFORM,1,7.360630627080049,5.915419367081216,2,0,9612,0,61,0,0,0,0.0,29,false,0,0,3,0,10,419,4054,0,0,0,0,0,50,3216,5.0,0,282,0,0,1,0,0,43,0,SAFE,0,0,0,0,0,5678,9,0,2857,0,3,4349,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4445,129250,0,5.0,71,-1.0,0,1038,6.276639224616103E-4,0,68465,1000,3760,34,0,true,32,0,0,5.0,0,3759,0,10,10,7152,0.0,34040,0,0,0,true,0.0,3056,0,0,0,0,0,true,9614,0.0,0,4882,0,0,7775,228.21666666666667,0,5672,0,71,60,0.0,0,0.0,1000,0,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},274,0,2PC,43,0.0,0.0,12494,0,530,45,3976,0,0,0,3697,3004,0,27,0,5034,68465000,0,0,0,6851,0,0,0,571,0,8.757845569989783E-5,5.0,4569,2PC__ TO__ PB,0,0,43,431.76,0.09943766888191047,712,0.0,0,0,0.10000291936708122,5020,5020
1,299998,0,60150,6496,0,29,9839.281732912561,3912.156403541147,9894.591122690887,1.495086914135733,5762.715372075123,0.9689052697587787,8.275226956521739E7,1,5000,UNIFORM,1,8.230417622797152,6.7984979527559055,2,0,9805,0,60,0,0,0,0.0,29,false,0,0,4,0,10,455,4205,0,0,0,0,0,51,3335,5.0,0,297,0,0,1,0,0,29,0,SAFE,0,0,0,0,0,5808,9,0,2857,0,4,4467,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4652,127743,0,5.0,71,-1.0,0,595,4.349456317960255E-4,0,66646,1000,3886,35,0,true,32,0,0,5.0,0,3885,0,9,10,7306,0.0,32480,0,0,0,true,0.0,3170,0,0,0,0,0,true,9806,0.0,0,4893,0,0,7881,222.15333333333334,0,5801,0,71,60,0.0,0,0.0,1000,0,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},266,0,2PC,29,0.0,0.0,12295,0,547,53,4091,0,0,0,3824,3118,0,28,0,5064,66646000,0,0,0,6525,0,0,0,615,0,1.2260536398467432E-4,5.0,4763,2PC__ TO__ PB,0,0,29,426.74,0.09747021576688773,469,0.0,0,0,0.09786276715410573,5020,5020
2,299996,0,60370,6635,0,36,9994.024663451393,3857.418347440782,10067.30167128862,1.4437050014170434,6018.114090881688,0.9543567581142519,1.2236372139130434E8,1,5000,UNIFORM,1,7.075593025163705,5.431821631538909,2,0,9962,0,55,0,0,0,0.0,28,false,0,0,3,0,10,566,4138,0,0,0,0,0,46,3306,5.0,0,311,0,0,1,0,0,36,0,SAFE,0,0,0,0,0,6074,9,0,2857,0,3,4448,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4535,127963,0,5.0,71,-1.0,0,723,5.369848301785474E-4,0,67005,1000,3835,30,0,true,27,0,0,5.0,0,3834,0,10,10,8384,0.0,33175,0,0,0,true,0.0,3151,0,0,0,0,0,true,9963,0.0,0,5041,0,0,6851,223.35,0,6063,0,71,60,0.0,0,0.0,1000,0,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},313,0,2PC,36,0.0,0.0,13404,0,496,50,3988,0,0,0,3775,3102,0,24,0,5219,67005000,0,0,0,6671,0,0,0,723,0,8.99415380002998E-5,5.0,4684,2PC__ TO__ PB,0,0,36,427.47,0.09902246101037236,605,0.0,0,0,0.0995062722811414,5020,5020
3,299995,0,61808,6909,0,28,9748.56006817195,3752.127522408103,9803.397117962078,1.3639744999636336,5833.052577218121,0.9438787008698727,1.2740606817391305E8,1,5000,UNIFORM,1,6.787846214270129,5.3081285620772425,2,0,9719,0,54,0,0,0,0.0,26,false,0,0,4,0,10,506,4013,0,0,0,0,0,44,3234,5.0,0,285,0,0,1,0,0,28,0,SAFE,0,0,0,0,0,5862,9,0,2857,0,4,4335,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4609,129401,0,5.0,71,-1.0,0,695,4.073023492617645E-4,0,68717,1000,3728,31,0,true,29,0,0,5.0,0,3727,0,9,10,9934,0.0,34545,0,0,0,true,0.0,3080,0,0,0,0,0,true,9721,0.0,0,4950,0,0,7304,229.05666666666667,0,5852,0,71,60,0.0,0,0.0,1000,0,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},300,0,2PC,28,0.0,0.0,13441,0,471,43,3929,0,0,0,3671,3032,0,25,0,5110,68717000,0,0,0,6937,0,0,0,650,0,1.1532362692806688E-4,5.0,4737,2PC__ TO__ PB,0,0,28,432.26666666666665,0.10054280600142614,579,0.0,0,0,0.10090915702960215,5020,5020
4,299998,0,63934,7049,0,31,9490.927984111222,3634.8216937623174,9540.138169953185,1.1793653786577294,5659.9310973187685,0.9185411721533302,8.23950987826087E7,1,5000,UNIFORM,1,6.728480510885178,5.349576210324725,2,0,9461,0,59,0,0,0,0.0,27,false,0,0,7,0,10,445,3941,0,0,0,0,0,46,3144,5.0,0,273,0,0,1,0,0,31,0,SAFE,0,0,0,0,0,5514,9,0,2857,0,7,4197,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4533,131529,0,5.0,71,-1.0,0,479,4.3653364125383726E-4,0,70983,1000,3612,34,0,true,31,0,0,5.0,0,3611,0,9,10,7327,0.0,35245,0,0,0,true,0.0,2960,0,0,0,0,0,true,9462,0.0,0,4832,0,0,7005,236.61,0,5509,0,71,60,0.0,0,0.0,1000,0,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},246,0,2PC,31,0.0,0.0,11099,0,502,45,3845,0,0,0,3553,2910,0,25,0,5002,70983000,0,0,0,7080,0,0,0,583,0,1.9774011299435027E-4,5.0,4638,2PC__ TO__ PB,0,0,31,439.37,0.09930546750630433,378,0.0,0,0,0.09969865097023123,5020,5020
5,300001,0,58242,6626,0,32,10129.317391789918,3984.6486150544283,10195.703578931483,1.462261525423729,6054.743537881074,0.9660450011299827,1.1041675130434783E8,1,5000,UNIFORM,1,7.888902141756549,6.047555793528505,2,0,10097,0,60,0,0,0,0.0,29,false,0,0,4,0,10,558,4220,0,0,0,0,0,47,3356,5.0,0,315,0,0,1,0,0,32,0,SAFE,0,0,0,0,0,5956,9,0,2857,0,4,4591,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4512,125835,0,5.0,71,-1.0,0,901,4.930662557781202E-4,0,64868,1000,3958,37,0,true,35,0,0,5.0,0,3958,0,9,10,11879,0.0,33130,0,0,0,true,0.0,3243,0,0,0,0,0,true,10100,0.0,0,5073,0,0,7314,216.22666666666666,0,5942,0,71,60,0.0,0,0.0,1000,0,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},283,0,2PC,32,0.0,0.0,13645,0,523,50,4086,0,0,0,3897,3192,0,27,0,5255,64868000,0,0,0,6658,0,0,0,720,0,1.2015620306398318E-4,5.0,4657,2PC__ TO__ PB,0,0,32,420.38,0.10214589628167972,768,0.0,0,0,0.10258859784283512,5020,5020
6,300003,0,61847,6995,0,27,9826.760748820587,3727.172641567093,9884.616703073625,1.3083584922098477,5936.427368691923,0.9636887177510102,1.1450791513043478E8,1,5000,UNIFORM,1,7.035674817406961,5.526529135024467,2,0,9795,0,54,0,0,0,0.0,29,false,0,0,2,0,10,543,4044,0,0,0,0,0,46,3218,5.0,0,308,0,0,1,0,0,27,0,SAFE,0,0,0,0,0,5893,9,0,2857,0,2,4327,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4536,129440,0,5.0,71,-1.0,0,764,3.920486721166272E-4,0,68842,1000,3703,33,0,true,30,0,0,5.0,0,3702,0,10,10,10822,0.0,34975,0,0,0,true,0.0,3047,0,0,0,0,0,true,9797,0.0,0,4975,0,0,7660,229.47333333333333,0,5871,0,71,60,0.0,0,0.0,1000,0,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},315,0,2PC,27,0.0,0.0,14899,0,494,51,3905,0,0,0,3643,2997,0,25,0,5148,68842000,0,0,0,7022,0,0,0,711,0,5.696382796923953E-5,5.0,4678,2PC__ TO__ PB,0,0,27,432.39,0.1016094825833067,585,0.0,0,0,0.10196169539270208,5020,5020
7,299995,0,59539,6565,0,35,9984.54186458492,3925.0932079141407,10049.566178827114,1.5299402168160994,5880.181737699924,0.9669924162343726,1.3394604626086956E8,1,5000,UNIFORM,1,6.989807466094135,5.475595745324242,2,0,9953,0,52,0,0,0,0.0,27,false,0,0,3,0,10,493,4210,0,0,0,0,0,45,3400,5.0,0,296,0,0,1,0,0,35,0,SAFE,0,0,0,0,0,5797,9,0,2857,0,3,4506,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4583,127132,0,5.0,71,-1.0,0,640,5.291885271927304E-4,0,66104,1000,3899,33,0,true,31,0,0,5.0,0,3898,0,10,10,8829,0.0,32825,0,0,0,true,0.0,3230,0,0,0,0,0,true,9955,0.0,0,4980,0,0,7870,220.34666666666666,0,5779,0,71,60,0.0,0,0.0,1000,0,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},300,0,2PC,35,0.0,0.0,12103,0,490,47,4123,0,0,0,3838,3180,0,26,0,5148,66104000,0,0,0,6600,0,0,0,651,0,9.09090909090909E-5,5.0,4700,2PC__ TO__ PB,0,0,35,424.7,0.09931320343700835,516,0.0,0,0,0.09978983655634346,5020,5020
8,299998,0,60416,6615,0,27,9841.099923960695,3876.1134678230933,9897.54203628118,1.1646353156968594,5842.677547089947,0.9210384874343439,1.1951644069565217E8,1,5000,UNIFORM,1,7.000014151928181,5.5091517939694,2,0,9811,0,55,0,0,0,0.0,27,false,0,0,1,0,10,537,4128,0,0,0,0,0,45,3338,5.0,0,287,0,0,1,0,0,27,0,SAFE,0,0,0,0,0,5860,9,0,2857,0,1,4446,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4535,128009,0,5.0,71,-1.0,0,777,4.0263652360643024E-4,0,67031,1000,3853,29,0,true,27,0,0,5.0,0,3852,0,10,10,11563,0.0,33075,0,0,0,true,0.0,3175,0,0,0,0,0,true,9813,0.0,0,4920,0,0,6789,223.43666666666667,0,5842,0,71,60,0.0,0,0.0,1000,0,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},302,0,2PC,27,0.0,0.0,13744,0,479,46,4013,0,0,0,3795,3126,0,24,0,5081,67031000,0,0,0,6642,0,0,0,684,0,3.0111412225233363E-5,5.0,4665,2PC__ TO__ PB,0,0,27,427.6166666666667,0.09868568274380511,644,0.0,0,0,0.09904858480718184,5020,5020
9,300002,0,62149,6895,0,19,9671.20123248731,3743.916613412927,9706.716535315447,1.676575952391295,5778.26976968818,0.9592321084130838,8.09011996521739E7,1,5000,UNIFORM,1,7.5401083648263185,5.943728725945875,2,0,9639,0,57,0,0,0,0.0,28,false,0,0,1,0,10,478,4042,0,0,0,0,0,49,3221,5.0,0,280,0,0,1,0,0,19,0,SAFE,0,0,0,0,0,5754,9,0,2857,0,1,4311,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4587,129744,0,5.0,71,-1.0,0,600,2.7511113041715535E-4,0,69044,1000,3717,33,0,true,31,0,0,5.0,0,3716,0,10,10,9521,0.0,34475,0,0,0,true,0.0,3046,0,0,0,0,0,true,9641,0.0,0,4905,0,0,8316,230.14666666666668,0,5743,0,71,60,0.0,0,0.0,1000,0,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},258,0,2PC,19,0.0,0.0,12781,0,515,45,3908,0,0,0,3655,2995,0,28,0,5071,69044000,0,0,0,6914,0,0,0,626,0,2.8926815157651144E-5,5.0,4708,2PC__ TO__ PB,0,0,19,433.4,0.09986385493308615,454,0.0,0,0,0.10011149240548485,5020,5020
