SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,UPDATE_XACT_RESPONSE_TIME,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,RG_NTCB,RG_NTCB_S,avgLocalGetTime,localReadOnlyTxCommitServiceTime,gMUClusteredGetCommandWaitingTime,avgWriteTxDuration,remoteUpdateTxPrepareResponseTime,numKilledTxDueToValidation,localReadOnlyTxPrepareResponseTime,numLocalTxWaitingTimeInGMUQueueDueToSlowCommits,applicationContentionFactor,avgLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgCompleteNotificationAsync,remoteUpdateTxCommitServiceTime,gMUWaitingTimeEnabled,tOGMUPrepareRttMinusMaxValidationTime,numRemoteRemoteLockContentions,avgNumNodesCommit,avgCommitAsync,localUpdateTxTotalCpuTime,avgPrepareAsync,numLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,localReadOnlyTxPrepareServiceTime,waitedTimeInLocalCommitQueue,remoteUpdateTxPrepareServiceTime,avgNumOfLockRemoteTx,localUpdateTxLocalServiceTime,numWaitedLocalCommits,avgPutsPerWrTransaction,localUpdateTxCommitServiceTime,avgTOGMUPrepareNoWaitRtt,numberOfRemotePuts,avgTCBTime,numRemoteTxWaitingTimeInGMUQueueDuePendingTx,numTOGMUSuccessfulPrepareNoWait,numAbortedTxDueToWriteLock,avgNumNodesRemoteGet,currentState,localUpdateTxRemoteRollbackServiceTime,avgRemoteTxWaitingTimeInGMUQueueDuePendingTx,numberOfRemoteGets,avgLocalTxWaitingTimeInGMUQueueDuePendingTx,tOGMUPrepareWaitProbability,avgLocalLockHoldTime,avgNumAsyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgPrepareCommandSize,tOGMUAvgSuccessfulValidationResponseTime,numLocalRemoteLockContentions,avgResponseTime,currentProtocolInfo,avgRemoteLockHoldTime,numberOfCommits,tOAvgValidationConditionalWaitTime,numOwnedWrItemsInLocalPrepare,avgRollbackCommandSize,numReadsBeforeWrite,numAbortedTxDueToValidation,abortRate,localUpdateTxLocalRollbackResponseTime,avgNumOfLockLocalTx,numberOfLocalCommits,avgGetsPerWrTransaction,remoteUpdateTxRollbackServiceTime,readOnlyTxTotalResponseTime,avgLockWaitingTime,allowProtocolSwitch,remoteUpdateTxRollbackResponseTime,remotePutExecutionTime,avgRemoteTxCompleteNotifyTime,avgClusteredGetCommandReplySize,numOwnedWrItemsInRemotePrepare,avgReadOnlyTxDuration,numWaitedRemoteCommits,avgNumNodesRollback,replicationDegree,remoteContentionProbability,avgLocalLocalAbortLockHoldTime,numberOfPuts,avgNumSyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,avgGmuClusteredGetCommandRttNoWait,avgRemotePutsPerWrTransaction,readOnlyTxTotalCpuTime,numLocalLocalLockContentions,numWaitedRemoteGets,avgClusteredGetCommandSize,tOMaxSuccessfulValidationWaitingTime,localUpdateTxRemoteRollbackResponseTime,enabled,localUpdateTxTotalResponseTime,avgRemoteGetsPerROTransaction,avgPrepareRtt,avgRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,numEarlyAborts,terminationCost,throughput,tOGMUPrepareRttMinusAvgValidationTime,avgCommitCommandSize,avgNumNodesCompleteNotification,avgLocalSuccessfulLockHoldTime,switchCoolDownTime,tOPrepareWaitTime,lockContentionProbability,numOwnedRdItemsInRemotePrepare,avgGetsPerROTransaction,remotelyDeadXact,avgNumNodesPrepare,numLocalTxWaitingTimeInGMUQueueDuePendingTx,localActiveTransactions,availableProtocolsInfo,tOGMUAvgSuccessfulValidationServiceTime,localUpdateTxLocalRollbackServiceTime,currentProtocolId,numLocalPrepareAborts,numOwnedRdItemsInLocalPrepare,avgRemoteGetsPerWrTransaction,avgAbortedWriteTxDuration,remoteUpdateTxCommitResponseTime,avgLocalRemoteAbortLockHoldTime,localUpdateTxPrepareServiceTime,numRemoteLocalLockContentions,localUpdateTxLocalResponseTime,remoteGetResponseTime,numAbortedTxDueDeadlock,localReadOnlyTxLocalServiceTime,localReadOnlyTxLocalResponseTime,avgNumOfLockSuccessLocalTx,avgNTCBTime,numAbortedTxDueToReadLock,localUpdateTxPrepareResponseTime,numberOfGets,avgCommitRtt,avgRemoteGetRtt,gMUClusteredGetCommandServiceTime,updateXactToPrepare,currentEpoch,avgLocalTxWaitingTimeInGMUQueueDueToSlowCommits,localUpdateTxCommitResponseTime,waitedTimeInRemoteCommitQueue,remoteGetServiceTime,localContentionProbability,avgNumPutsBySuccessfulLocalTx,avgLockHoldTime,availableProtocolIds,gMUClusteredGetCommandResponseTime,tONumValidationWaited,numAbortedXacts,avgTxArrivalRate,percentageSuccessWriteTransactions,avgRollbackAsync,writeSkewProbability,localReadOnlyTxCommitResponseTime,avgRollbackRtt,percentageWriteTransactions,Before,After
0,180006,0,11233,93,0,0,34642.7477311828,15716.171394373721,34642.7477311828,8.693535140384954,18395.201086021505,0.9987927975207834,4.039886453333333E7,1,1000,UNIFORM,1,29.791853434575316,27.036193095532404,1,0,0,34507,117,0,0,0,0.0,0,0,114,false,0,0,40,2810,17126,0,0,0,0,116,0,14266,0,5.0,1119,0,0,1,0,0,0,0,SAFE,0,0,0,0,0,21367,39,0,2853,0,0,15776,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},9336,15935,0,5.0,0,-1.0,0,0.0,0,0,11326,5000,42,15625,0,true,39,0,0,0,5.0,15621,0,0,40,0.0,0,465,0,0,0,0.0,13893,0,0,0,0,0,true,34512,0.0,14594,0,0,0,37164,62.922222222222224,0,71,0,21367,60,0,0.0,0.0,5000,0,40,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,110,0,1663,0,16252,0,0,13737,15454,0,86,0,15029,56630000,0,0,0,93,0,0,3144,0,0,0.0,5.0,9663,2PC__ TO__ PB,0,0,0,88.74444444444444,0.008211195479427865,0,0.0,0,0,0.008211195479427865,1080,1080
1,180009,0,11412,118,0,1,33654.563347457624,15401.487728356116,33966.50713559322,7.494585551990287,17869.00743220339,0.9987646364913331,2.9233316266666666E7,1,1000,UNIFORM,1,27.705946492064868,25.99277590842078,1,0,0,33541,121,0,0,0,0.0,0,0,110,false,0,0,40,3018,17458,0,0,0,0,117,0,14047,0,5.0,1272,0,0,1,0,0,1,0,SAFE,0,0,0,0,0,19527,39,0,2853,0,0,15505,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},12551,16114,0,5.0,71,-1.0,0,8.67227473766369E-5,3099,0,11530,5000,38,15319,0,true,35,0,0,0,5.0,15315,0,40,40,0.0,0,590,0,0,0,0.0,13614,0,0,0,0,0,true,33545,0.0,13733,0,0,0,31232,64.05555555555556,0,71,0,19527,60,0,0.0,0.0,5000,0,40,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,1163,2PC,1,0.0,0.0,36505,107,0,2065,0,15809,0,0,13462,15152,0,81,0,14315,57650000,0,0,0,119,0,0,3339,0,0,0.0,5.0,12690,2PC__ TO__ PB,0,0,1,89.7388888888889,0.010234171725932351,2794,0.0,0,0,0.01032000693781979,1080,1080
2,180004,0,11671,122,0,0,34403.32144262295,15044.960904464057,34403.32144262295,7.357859832103791,18839.98998360656,0.9984977703937398,2.9566373333333332E7,1,1000,UNIFORM,1,24.221491054015093,21.98513228186212,1,0,0,34277,112,0,0,0,0.0,0,0,99,false,0,0,40,2954,16920,0,0,0,0,112,0,13585,0,5.0,1214,0,0,1,0,0,0,0,SAFE,0,0,0,0,0,19746,39,0,2853,0,0,15161,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},12216,16373,0,5.0,0,-1.0,0,0.0,0,0,11793,5000,37,14964,0,true,35,0,0,0,5.0,14961,0,0,40,0.0,0,610,0,0,0,0.0,13357,0,0,0,0,0,true,34281,0.0,14710,0,0,0,31864,65.51666666666667,0,71,0,19746,60,0,0.0,0.0,5000,0,40,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,96,0,2055,0,15591,0,0,13228,14826,0,75,0,15365,58965000,0,0,0,122,0,0,3253,0,0,0.0,5.0,12427,2PC__ TO__ PB,0,0,0,91.17777777777778,0.01034511998643263,0,0.0,0,0,0.01034511998643263,1080,1080
3,180002,0,11547,135,0,0,33560.62462962963,15178.301566640686,33560.62462962963,6.520327854819381,18048.968481481483,0.9984713307171119,2.78094224E7,1,1000,UNIFORM,1,22.91050333846944,21.4216555384352,1,0,0,33423,105,0,0,0,0.0,0,0,97,false,0,0,40,2929,16951,0,0,0,0,101,0,13847,0,5.0,1138,0,0,1,0,0,0,0,SAFE,0,0,0,0,0,18040,39,0,2853,0,0,15311,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},11483,16249,0,5.0,0,-1.0,0,0.0,0,0,11682,5000,33,15103,0,true,31,0,0,0,5.0,15099,0,0,40,0.0,0,675,0,0,0,0.0,13500,0,0,0,0,0,true,33427,0.0,14113,0,0,0,31724,64.9,0,71,0,18040,60,0,0.0,0.0,5000,0,40,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,97,0,1905,0,15521,0,0,13377,14969,0,70,0,14620,58410000,0,0,0,135,0,0,3217,0,0,0.0,5.0,11623,2PC__ TO__ PB,0,0,0,90.4888888888889,0.011556240369799691,0,0.0,0,0,0.011556240369799691,1080,1080
4,180000,0,11497,125,0,4,33606.258976000005,15258.549451857007,34976.758472,7.1360011181833825,18128.944,0.998122320015518,2.8144255466666665E7,1,1000,UNIFORM,1,22.770086186134527,21.292223206605883,1,0,0,33466,115,0,0,0,0.0,0,0,99,false,0,0,40,3069,16944,0,0,0,0,110,0,13748,0,5.0,1182,0,0,1,0,0,4,0,SAFE,0,0,0,0,0,19440,39,0,2853,0,0,15393,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},11657,16199,0,5.0,71,-1.0,0,3.440564252537416E-4,3194,0,11622,5000,36,15185,0,true,32,0,0,0,5.0,15181,0,40,40,0.0,0,625,0,0,0,0.0,13574,0,0,0,0,0,true,33469,0.0,14020,0,0,0,29071,64.56666666666666,0,71,0,19440,60,0,0.0,0.0,5000,0,40,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,1136,2PC,4,0.0,0.0,42647,97,0,1952,0,15479,0,0,13451,15049,0,71,0,14568,58110000,0,0,0,129,0,0,3353,0,0,0.0,5.0,11889,2PC__ TO__ PB,0,0,4,90.21111111111111,0.010755463775598004,2987,0.0,0,0,0.011095819714433167,1080,1080
5,180002,0,13291,129,0,0,31811.503108527133,13219.107261680836,31811.503108527133,5.942267883755589,18410.675054263567,0.9983914955302718,2.8980245333333332E7,1,1000,UNIFORM,1,19.778914977645304,18.576732190760058,1,0,0,31696,116,0,0,0,0.0,0,0,93,false,0,0,40,2938,14954,0,0,0,0,109,0,11797,0,5.0,1190,0,0,1,0,0,0,0,SAFE,0,0,0,0,0,17293,39,0,2853,0,0,13326,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},11471,17993,0,5.0,0,-1.0,0,0.0,0,0,13420,5000,32,13151,0,true,29,0,0,0,5.0,13148,0,0,40,0.0,0,645,0,0,0,0.0,11642,0,0,0,0,0,true,31700,0.0,14566,0,0,0,24753,74.55555555555556,0,71,0,17293,60,0,0.0,0.0,5000,0,40,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,91,0,1913,0,13387,0,0,11533,13030,0,66,0,15008,67100000,0,0,0,129,0,0,3243,0,0,0.0,5.0,11601,2PC__ TO__ PB,0,0,0,100.17777777777778,0.009612518628912072,0,0.0,0,0,0.009612518628912072,1080,1080
6,180001,0,11146,130,0,0,36023.24322307693,15709.343309348646,36023.24322307693,7.139837176303654,19870.476876923076,0.9981039773956139,2.9836392533333335E7,1,1000,UNIFORM,1,26.282112185172046,24.355661050017737,1,0,0,35881,128,0,0,0,0.0,0,0,103,false,0,0,40,3091,17571,0,0,0,0,124,0,14262,0,5.0,1218,0,0,1,0,0,0,0,SAFE,0,0,0,0,0,20105,39,0,2853,0,0,15859,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},10553,15848,0,5.0,0,-1.0,0,0.0,0,0,11276,5000,36,15629,0,true,33,0,0,0,5.0,15625,0,0,40,0.0,0,650,0,0,0,0.0,13951,0,0,0,0,0,true,35885,0.0,15695,0,0,0,31745,62.644444444444446,0,71,0,20105,60,0,0.0,0.0,5000,0,40,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,102,0,2021,0,16141,0,0,13816,15483,0,77,0,16241,56380000,0,0,0,130,0,0,3424,0,0,0.0,5.0,10810,2PC__ TO__ PB,0,0,0,88.2611111111111,0.011528910961333806,0,0.0,0,0,0.011528910961333806,1080,1080
7,180002,0,11501,106,0,1,34840.53425471698,15303.520826189026,35202.35064150944,9.15153583735355,19180.260943396224,0.9985344888987189,2.9681532266666666E7,1,1000,UNIFORM,1,29.557405754651967,26.296690644383183,1,0,0,34707,114,0,0,0,0.0,0,0,104,false,0,0,40,2978,17252,0,0,0,0,110,0,13837,0,5.0,1257,0,0,1,0,0,1,0,SAFE,0,0,0,0,0,19534,39,0,2853,0,0,15400,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},13906,16203,0,5.0,71,-1.0,0,8.614748449345279E-5,3106,0,11607,5000,37,15222,0,true,34,0,0,0,5.0,15219,0,40,40,0.0,0,530,0,0,0,0.0,13567,0,0,0,0,0,true,34711,0.0,15112,0,0,0,30780,64.48333333333333,0,71,0,19534,60,0,0.0,0.0,5000,0,40,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,1188,2PC,1,0.0,0.0,38050,104,0,2087,0,15664,0,0,13429,15071,0,82,0,15646,58035000,0,0,0,107,0,0,3316,0,0,0.0,5.0,13985,2PC__ TO__ PB,0,0,1,90.23333333333333,0.0091324200913242,2796,0.0,0,0,0.00921778084079945,1080,1080
8,179997,0,12138,124,0,2,33483.07304032258,14463.570688910859,34336.47528225806,5.69268109915199,18512.342782258063,0.9980237531828774,2.9482056533333335E7,1,1000,UNIFORM,1,19.48506523157208,18.496396934116113,1,0,0,33358,113,0,0,0,0.0,0,0,92,false,0,0,40,2870,16372,0,0,0,0,99,0,13167,0,5.0,1192,0,0,1,0,0,2,0,SAFE,0,0,0,0,0,19847,39,0,2853,0,0,14597,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},14535,16840,0,5.0,71,-1.0,0,1.6307893020221786E-4,6261,0,12262,5000,38,14399,0,true,37,0,0,0,5.0,14397,0,40,40,0.0,0,620,0,0,0,0.0,12855,0,0,0,0,0,true,33362,0.0,14723,0,0,0,24946,68.12222222222222,0,71,0,19847,60,0,0.0,0.0,5000,0,40,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,1455,2PC,2,0.0,0.0,52681,92,0,1957,0,14959,0,0,12749,14279,0,61,0,15189,61310000,0,0,0,126,0,0,3147,0,0,0.0,5.0,14623,2PC__ TO__ PB,0,0,2,93.77222222222223,0.010112542815201435,5973,0.0,0,0,0.010273972602739725,1080,1080
9,180004,0,11299,131,0,1,34253.77102290076,15507.726349145942,34711.1397480916,7.145426559356137,18195.168358778625,0.998470597806969,3.37235952E7,1,1000,UNIFORM,1,26.643402501968332,24.135599947511153,1,0,0,34123,110,0,0,0,0.0,0,0,104,false,0,0,40,3019,17379,0,0,0,0,112,0,13994,0,5.0,1285,0,0,1,0,0,1,0,SAFE,0,0,0,0,0,17795,39,0,2853,0,0,15643,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},14224,16001,0,5.0,71,-1.0,0,8.748141020033243E-5,3994,0,11430,5000,35,15428,0,true,33,0,0,0,5.0,15424,0,40,40,0.0,0,655,0,0,0,0.0,13744,0,0,0,0,0,true,34127,0.0,14140,0,0,0,30210,63.5,0,71,0,17795,60,0,0.0,0.0,5000,0,40,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,1488,2PC,1,0.0,0.0,59597,101,0,2027,0,16053,0,0,13602,15273,0,79,0,14649,57150000,0,0,0,132,0,0,3338,0,0,0.0,5.0,14311,2PC__ TO__ PB,0,0,1,89.11111111111111,0.011461067366579177,3455,0.0,0,0,0.01154754614644388,1080,1080
