SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,UPDATE_XACT_RESPONSE_TIME,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,RG_NTCB,RG_NTCB_S,avgLocalGetTime,localReadOnlyTxCommitServiceTime,gMUClusteredGetCommandWaitingTime,avgWriteTxDuration,remoteUpdateTxPrepareResponseTime,numKilledTxDueToValidation,localReadOnlyTxPrepareResponseTime,numLocalTxWaitingTimeInGMUQueueDueToSlowCommits,applicationContentionFactor,remoteUpdateTxCommitServiceTime,gMUWaitingTimeEnabled,avgCompleteNotificationAsync,avgLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,numRemoteRemoteLockContentions,avgNumNodesCommit,tOGMUPrepareRttMinusMaxValidationTime,avgCommitAsync,localUpdateTxTotalCpuTime,avgPrepareAsync,numLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,localReadOnlyTxPrepareServiceTime,waitedTimeInLocalCommitQueue,remoteUpdateTxPrepareServiceTime,avgNumOfLockRemoteTx,localUpdateTxLocalServiceTime,localUpdateTxCommitServiceTime,avgPutsPerWrTransaction,numWaitedLocalCommits,avgTOGMUPrepareNoWaitRtt,numberOfRemotePuts,avgTCBTime,numRemoteTxWaitingTimeInGMUQueueDuePendingTx,numTOGMUSuccessfulPrepareNoWait,numAbortedTxDueToWriteLock,avgNumNodesRemoteGet,currentState,localUpdateTxRemoteRollbackServiceTime,avgRemoteTxWaitingTimeInGMUQueueDuePendingTx,numberOfRemoteGets,avgLocalTxWaitingTimeInGMUQueueDuePendingTx,tOGMUPrepareWaitProbability,avgLocalLockHoldTime,avgNumAsyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgPrepareCommandSize,tOGMUAvgSuccessfulValidationResponseTime,numLocalRemoteLockContentions,avgResponseTime,currentProtocolInfo,avgRemoteLockHoldTime,numberOfCommits,tOAvgValidationConditionalWaitTime,numOwnedWrItemsInLocalPrepare,avgRollbackCommandSize,numReadsBeforeWrite,numAbortedTxDueToValidation,abortRate,localUpdateTxLocalRollbackResponseTime,avgNumOfLockLocalTx,numberOfLocalCommits,avgGetsPerWrTransaction,remoteUpdateTxRollbackServiceTime,readOnlyTxTotalResponseTime,avgLockWaitingTime,allowProtocolSwitch,remoteUpdateTxRollbackResponseTime,remotePutExecutionTime,avgRemoteTxCompleteNotifyTime,numOwnedWrItemsInRemotePrepare,avgClusteredGetCommandReplySize,avgReadOnlyTxDuration,numWaitedRemoteCommits,replicationDegree,avgNumNodesRollback,avgLocalLocalAbortLockHoldTime,remoteContentionProbability,numberOfPuts,avgNumSyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,avgGmuClusteredGetCommandRttNoWait,avgRemotePutsPerWrTransaction,readOnlyTxTotalCpuTime,numLocalLocalLockContentions,numWaitedRemoteGets,avgClusteredGetCommandSize,tOMaxSuccessfulValidationWaitingTime,localUpdateTxRemoteRollbackResponseTime,enabled,localUpdateTxTotalResponseTime,avgRemoteGetsPerROTransaction,avgPrepareRtt,avgRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,numEarlyAborts,terminationCost,throughput,tOGMUPrepareRttMinusAvgValidationTime,avgCommitCommandSize,avgLocalSuccessfulLockHoldTime,avgNumNodesCompleteNotification,switchCoolDownTime,tOPrepareWaitTime,numOwnedRdItemsInRemotePrepare,lockContentionProbability,remotelyDeadXact,avgGetsPerROTransaction,avgNumNodesPrepare,numLocalTxWaitingTimeInGMUQueueDuePendingTx,localActiveTransactions,availableProtocolsInfo,localUpdateTxLocalRollbackServiceTime,tOGMUAvgSuccessfulValidationServiceTime,currentProtocolId,numLocalPrepareAborts,numOwnedRdItemsInLocalPrepare,avgRemoteGetsPerWrTransaction,avgAbortedWriteTxDuration,remoteUpdateTxCommitResponseTime,localUpdateTxPrepareServiceTime,avgLocalRemoteAbortLockHoldTime,numRemoteLocalLockContentions,localUpdateTxLocalResponseTime,remoteGetResponseTime,numAbortedTxDueDeadlock,localReadOnlyTxLocalResponseTime,localReadOnlyTxLocalServiceTime,avgNumOfLockSuccessLocalTx,avgNTCBTime,numAbortedTxDueToReadLock,localUpdateTxPrepareResponseTime,numberOfGets,avgCommitRtt,avgRemoteGetRtt,gMUClusteredGetCommandServiceTime,updateXactToPrepare,currentEpoch,avgLocalTxWaitingTimeInGMUQueueDueToSlowCommits,localUpdateTxCommitResponseTime,waitedTimeInRemoteCommitQueue,remoteGetServiceTime,localContentionProbability,avgNumPutsBySuccessfulLocalTx,avgLockHoldTime,availableProtocolIds,gMUClusteredGetCommandResponseTime,tONumValidationWaited,numAbortedXacts,avgTxArrivalRate,percentageSuccessWriteTransactions,avgRollbackAsync,writeSkewProbability,localReadOnlyTxCommitResponseTime,avgRollbackRtt,percentageWriteTransactions,Before,After
0,179995,0,42812,4827,0,91,8257.990497824736,3243.9919063580305,8460.346264346384,1.3977484181856275,4848.523381603481,0.9657515978842058,7.384665333333333E7,1,1000,UNIFORM,1,7.744881772470145,5.7830203016970465,1,0,0,8226,56,0,0,0,0.0,29,false,0,0,11,8,0,379,3490,0,0,0,0,48,0,2787,226,5.0,0,0,0,1,0,0,91,0,SAFE,0,0,0,0,0,4873,7,0,2853,0,11,3746,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3853,81838,0,5.0,71,-1.0,0,0.001906557720511209,471,0,47639,1000,31,3219,0,true,29,0,0,5.0,0,3218,0,8,7,7862,0.0,24135,0,0,0,0.0,2613,0,0,0,0,0,true,8227,0.0,4152,0,0,0,8002,264.6611111111111,0,71,4834,0,60,0,0.0,0.0,0,1000,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},224,0,2PC,91,0.0,0.0,10661,52,457,0,0,3418,0,0,3173,2577,0,26,0,4297,47639000,0,0,0,4918,0,0,484,0,0,4.4733631557543715E-4,5.0,3977,2PC__ TO__ PB,0,0,91,458.2,0.10132454501563845,380,0.0,0,0,0.1030379216425728,1016,1016
1,179996,0,42884,4777,0,96,8161.822885911661,3256.2132947486243,8388.469448398577,1.9001290072659507,4879.513350010467,0.9294996943112527,7.948998506666666E7,1,1000,UNIFORM,1,8.01776880876102,6.105768452792261,1,0,0,8128,58,0,0,0,0.0,31,false,0,0,16,8,0,387,3417,0,0,0,0,47,0,2701,235,5.0,0,0,0,1,0,0,96,0,SAFE,0,0,0,0,0,5012,7,0,2853,0,16,3742,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3918,81910,0,5.0,71,-1.0,0,0.0020101765186255416,590,0,47661,1000,30,3229,0,true,27,0,0,5.0,0,3228,0,8,7,8476,0.0,23885,0,0,0,0.0,2615,0,0,0,0,0,true,8129,0.0,4149,0,0,0,8428,264.78333333333336,0,71,4947,0,60,0,0.0,0.0,0,1000,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},252,0,2PC,96,0.0,0.0,11180,58,458,0,0,3296,0,0,3176,2575,0,28,0,4292,47661000,0,0,0,4873,0,0,507,0,0,6.566796634516725E-4,5.0,4050,2PC__ TO__ PB,0,0,96,458.6277777777778,0.10022869851660687,499,0.0,0,0,0.10203739765898193,1016,1016
2,179994,0,43310,4887,0,93,8504.107629220382,3162.8064885476797,8746.90821444649,1.5266621660799338,5157.965235113566,0.9646435960644261,1.024120816E8,1,1000,UNIFORM,1,7.950551294263822,6.122177138123835,1,0,0,8468,60,0,0,0,0.0,32,false,0,0,10,8,0,490,3437,0,0,0,0,48,0,2696,275,5.0,0,0,0,1,0,0,93,0,SAFE,0,0,0,0,0,5062,7,0,2853,0,10,3700,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3835,82336,0,5.0,71,-1.0,0,0.0019258645682335887,650,0,48197,1000,31,3136,0,true,28,0,0,5.0,0,3135,0,8,7,7189,0.0,24435,0,0,0,0.0,2539,0,0,0,0,0,true,8470,0.0,4287,0,0,0,8939,267.7611111111111,0,71,5032,0,60,0,0.0,0.0,0,1000,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},280,0,2PC,93,0.0,0.0,12678,57,441,0,0,3361,0,0,3082,2497,0,27,0,4445,48197000,0,0,0,4980,0,0,631,0,0,4.0160642570281126E-4,5.0,3989,2PC__ TO__ PB,0,0,93,460.9611111111111,0.10139635247007076,536,0.0,0,0,0.10312694139573411,1016,1016
3,179997,0,47513,5121,0,96,7831.154138644796,2916.1550392103213,8038.365003319664,1.430649516404324,4833.35339230619,0.9592743662002495,8.327108373333333E7,1,1000,UNIFORM,1,7.141299374170301,5.6222795562298495,1,0,0,7801,55,0,0,0,0.0,30,false,0,0,10,8,0,404,3152,0,0,0,0,47,0,2473,238,5.0,0,0,0,1,0,0,96,0,SAFE,0,0,0,0,0,4810,7,0,2853,0,10,3388,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3923,86539,0,5.0,71,-1.0,0,0.0018205954864403565,567,0,52634,1000,29,2891,0,true,27,0,0,5.0,0,2890,0,8,8,9306,0.0,25605,0,0,0,0.0,2349,0,0,0,0,0,true,7802,0.0,4096,0,0,0,7187,292.4111111111111,0,71,4752,0,60,0,0.0,0.0,0,1000,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},242,0,2PC,96,0.0,0.0,10983,53,420,0,0,3007,0,0,2842,2309,0,26,0,4246,52634000,0,0,0,5217,0,0,519,0,0,3.8336208548974505E-4,5.0,4038,2PC__ TO__ PB,0,0,96,484.31111111111113,0.09729452445187521,446,0.0,0,0,0.09893798596624312,1016,1016
4,180000,0,44311,4895,0,71,8343.121502145046,3114.9979443704724,8515.443834933605,1.6012536883332995,5084.085580183861,0.9655226698410241,5.694178293333333E7,1,1000,UNIFORM,1,8.475075024859468,5.953125251131359,1,0,0,8311,60,0,0,0,0.0,29,false,0,0,4,8,0,466,3430,0,0,0,0,49,0,2661,281,5.0,0,0,0,1,0,0,71,0,SAFE,0,0,0,0,0,5037,7,0,2853,0,4,3625,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3825,83337,0,5.0,71,-1.0,0,0.0014408344663839113,635,0,49206,1000,32,3089,4641,true,29,0,0,5.0,0,3088,0,8,8,7901,0.0,24475,0,0,0,0.0,2509,0,0,0,0,0,true,8313,0.0,4232,0,0,0,8051,273.3666666666667,0,71,5008,0,60,0,0.0,0.0,0,1000,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},256,0,2PC,71,0.0,0.0,11790,52,463,0,0,3270,0,0,3038,2468,0,27,0,4402,49206000,0,0,0,4966,0,0,606,0,0,1.6109544905356423E-4,5.0,3980,2PC__ TO__ PB,0,0,71,466.5,0.09947973824330367,541,0.0,0,0,0.10077723887411977,1016,1016
5,179993,0,42277,4780,0,91,8520.134704393306,3262.4479271944556,8740.154085774058,1.5474579197420888,5083.767346861925,0.8682920957686154,1.0086164906666666E8,1,1000,UNIFORM,1,8.284342029354374,6.40730612115042,1,0,0,8488,65,0,0,0,0.0,32,false,0,0,13,8,0,492,3563,0,0,0,0,53,0,2795,277,5.0,0,0,0,1,0,0,91,0,SAFE,0,0,0,0,0,4938,7,0,2853,0,13,3790,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3832,81303,0,5.0,71,-1.0,0,0.0019300924747603291,609,0,47057,1000,34,3236,0,true,31,0,0,5.0,0,3235,0,8,7,9195,0.0,23900,0,0,0,0.0,2615,0,0,0,0,0,true,8490,0.0,4198,0,0,0,7269,261.4277777777778,0,71,4887,0,60,0,0.0,0.0,0,1000,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},275,0,2PC,91,0.0,0.0,11477,53,465,0,0,3448,0,0,3182,2574,0,29,0,4373,47057000,0,0,0,4871,0,0,634,0,0,5.337712995278177E-4,5.0,3967,2PC__ TO__ PB,0,0,91,455.2388888888889,0.10157893618377713,457,0.0,0,0,0.10331297191821498,1016,1016
6,179996,0,43653,4823,0,95,8450.180601907527,3159.554044166495,8660.467655815883,1.6037686685470753,5180.739660792038,0.9368961262673827,8.039342453333333E7,1,1000,UNIFORM,1,8.397919540466534,6.4122019517819275,1,0,0,8415,58,0,0,0,0.0,32,false,0,0,18,8,0,517,3423,0,0,0,0,50,0,2654,289,5.0,0,0,0,1,0,0,95,0,SAFE,0,0,0,0,0,5212,7,0,2853,0,18,3677,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3862,82679,0,5.0,71,-1.0,0,0.0019558996108789196,596,0,48476,1000,35,3132,0,true,32,0,0,5.0,0,3131,0,8,7,7963,0.0,24115,0,0,0,0.0,2537,0,0,0,0,0,true,8416,0.0,4264,0,0,0,7372,269.31111111111113,0,71,5182,0,60,0,0.0,0.0,0,1000,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},269,0,2PC,95,0.0,0.0,10590,56,455,0,0,3282,0,0,3083,2497,0,30,0,4443,48476000,0,0,0,4918,0,0,655,0,0,7.320048800325336E-4,5.0,4028,2PC__ TO__ PB,0,0,95,462.9111111111111,0.09949253238716066,484,0.0,0,0,0.10125383459265817,1016,1016
7,180001,0,43429,4916,0,89,8452.072165174939,3160.8475627345783,8636.148496541904,1.5689626295577486,5102.618831570382,0.9428114673550639,5.88257616E7,1,1000,UNIFORM,1,7.728086881116571,5.9774248461824335,1,0,0,8419,58,0,0,0,0.0,30,false,0,0,14,8,0,463,3473,0,0,0,0,48,0,2712,271,5.0,0,0,0,1,0,0,89,0,SAFE,0,0,0,0,0,5086,7,0,2853,0,14,3691,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3861,82455,0,5.0,71,-1.0,0,0.0018375521327992732,486,0,48345,1000,31,3136,319,true,29,0,0,5.0,0,3135,0,8,7,6372,0.0,24580,0,0,0,0.0,2547,0,0,0,0,0,true,8421,0.0,4253,0,0,0,7735,268.5833333333333,0,71,5071,0,60,0,0.0,0.0,0,1000,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},243,0,2PC,89,0.0,0.0,10095,48,464,0,0,3359,0,0,3082,2506,0,27,0,4430,48345000,0,0,0,5005,0,0,596,0,0,5.594405594405594E-4,5.0,4013,2PC__ TO__ PB,0,0,89,461.6388888888889,0.10168579997931534,395,0.0,0,0,0.10333649915348722,1016,1016
