SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,UPDATE_XACT_RESPONSE_TIME,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,RG_NTCB,RG_NTCB_S,avgLocalGetTime,localReadOnlyTxCommitServiceTime,gMUClusteredGetCommandWaitingTime,avgWriteTxDuration,remoteUpdateTxPrepareResponseTime,localReadOnlyTxPrepareResponseTime,numKilledTxDueToValidation,numLocalTxWaitingTimeInGMUQueueDueToSlowCommits,applicationContentionFactor,gMUWaitingTimeEnabled,avgLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgCompleteNotificationAsync,remoteUpdateTxCommitServiceTime,tOGMUPrepareRttMinusMaxValidationTime,avgNumNodesCommit,numRemoteRemoteLockContentions,avgCommitAsync,localUpdateTxTotalCpuTime,avgPrepareAsync,numLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,localReadOnlyTxPrepareServiceTime,waitedTimeInLocalCommitQueue,localUpdateTxLocalServiceTime,avgNumOfLockRemoteTx,remoteUpdateTxPrepareServiceTime,localUpdateTxCommitServiceTime,avgPutsPerWrTransaction,numWaitedLocalCommits,avgTOGMUPrepareNoWaitRtt,numberOfRemotePuts,avgTCBTime,numRemoteTxWaitingTimeInGMUQueueDuePendingTx,numTOGMUSuccessfulPrepareNoWait,numAbortedTxDueToWriteLock,avgNumNodesRemoteGet,currentState,localUpdateTxRemoteRollbackServiceTime,avgRemoteTxWaitingTimeInGMUQueueDuePendingTx,numberOfRemoteGets,avgLocalTxWaitingTimeInGMUQueueDuePendingTx,tOGMUPrepareWaitProbability,avgLocalLockHoldTime,avgNumAsyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgPrepareCommandSize,tOGMUAvgSuccessfulValidationResponseTime,numLocalRemoteLockContentions,avgResponseTime,currentProtocolInfo,avgRemoteLockHoldTime,numberOfCommits,tOAvgValidationConditionalWaitTime,numOwnedWrItemsInLocalPrepare,avgRollbackCommandSize,numReadsBeforeWrite,numAbortedTxDueToValidation,localUpdateTxLocalRollbackResponseTime,abortRate,avgNumOfLockLocalTx,numberOfLocalCommits,avgGetsPerWrTransaction,remoteUpdateTxRollbackServiceTime,readOnlyTxTotalResponseTime,avgLockWaitingTime,allowProtocolSwitch,remoteUpdateTxRollbackResponseTime,remotePutExecutionTime,avgRemoteTxCompleteNotifyTime,avgReadOnlyTxDuration,avgClusteredGetCommandReplySize,numOwnedWrItemsInRemotePrepare,numWaitedRemoteCommits,replicationDegree,avgNumNodesRollback,remoteContentionProbability,avgLocalLocalAbortLockHoldTime,numberOfPuts,avgNumSyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,avgGmuClusteredGetCommandRttNoWait,coolDownTimeExpired,avgRemotePutsPerWrTransaction,readOnlyTxTotalCpuTime,numWaitedRemoteGets,numLocalLocalLockContentions,avgClusteredGetCommandSize,tOMaxSuccessfulValidationWaitingTime,localUpdateTxRemoteRollbackResponseTime,enabled,localUpdateTxTotalResponseTime,avgRemoteGetsPerROTransaction,avgPrepareRtt,avgRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,numEarlyAborts,terminationCost,throughput,tOGMUPrepareRttMinusAvgValidationTime,avgNumNodesCompleteNotification,avgCommitCommandSize,avgLocalSuccessfulLockHoldTime,switchCoolDownTime,lockContentionProbability,tOPrepareWaitTime,numOwnedRdItemsInRemotePrepare,remotelyDeadXact,avgGetsPerROTransaction,avgNumNodesPrepare,numLocalTxWaitingTimeInGMUQueueDuePendingTx,localActiveTransactions,availableProtocolsInfo,tOGMUAvgSuccessfulValidationServiceTime,localUpdateTxLocalRollbackServiceTime,currentProtocolId,numLocalPrepareAborts,avgRemoteGetsPerWrTransaction,numOwnedRdItemsInLocalPrepare,avgAbortedWriteTxDuration,avgLocalRemoteAbortLockHoldTime,remoteUpdateTxCommitResponseTime,localUpdateTxPrepareServiceTime,localUpdateTxLocalResponseTime,numRemoteLocalLockContentions,remoteGetResponseTime,numAbortedTxDueDeadlock,localReadOnlyTxLocalResponseTime,localReadOnlyTxLocalServiceTime,avgNumOfLockSuccessLocalTx,avgNTCBTime,numAbortedTxDueToReadLock,localUpdateTxPrepareResponseTime,numberOfGets,avgCommitRtt,avgRemoteGetRtt,updateXactToPrepare,gMUClusteredGetCommandServiceTime,currentEpoch,avgLocalTxWaitingTimeInGMUQueueDueToSlowCommits,localUpdateTxCommitResponseTime,waitedTimeInRemoteCommitQueue,remoteGetServiceTime,localContentionProbability,avgNumPutsBySuccessfulLocalTx,avgLockHoldTime,availableProtocolIds,gMUClusteredGetCommandResponseTime,tONumValidationWaited,numAbortedXacts,avgTxArrivalRate,percentageSuccessWriteTransactions,avgRollbackAsync,localReadOnlyTxCommitResponseTime,writeSkewProbability,avgRollbackRtt,percentageWriteTransactions,Before,After
0,299996,0,2673,2689,0,1360,64873.68751171439,12451.126291432847,99025.13046336928,23.54222775959536,51414.57375901822,0.9198049690569319,2.8037016E8,1,2500,UNIFORM,1,103.20845730437371,34.41240955072895,7,0,0,64533,125,0,0,0,0.0,false,0,0,34,0,80,19,7840,7038,0,0,0,0,4308,0,43,1066,5.0,0,0,0,21,0,0,1360,0,SAFE,0,0,0,0,0,51696,79,0,2856,0,19,55455,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},32804,263551,0,5.0,71,-1.0,0,8578,0.20232073787563226,0,5362,1000,12,12260,3572,true,27,0,0,12252,0,5.0,0,80,79,0.0,58719,13445,0,0,0,true,0.0,3971,0,0,0,0,0,true,64551,0.0,41482,0,0,0,50753,17.873333333333335,0,0,71,48341,60,0.0,0,0.0,0,1000,80,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,1020,2PC,1360,0.0,0.0,66965,0,76,1584,13560,0,0,0,11894,3850,0,352,0,42205,5362000,0,0,4049,0,0,0,8587,0,0,9.385033341565819E-4,5.0,32980,2PC__ TO__ PB,0,0,1360,1327.05,0.5014919806042522,8103,0,0.0,0,0.6023504909253199,2660,2660
1,300027,0,2702,2745,0,1517,61728.11110418943,11989.14575684678,97360.49060327868,27.629719270534178,49443.496509653916,0.8801692135518152,2.0249651304347825E8,1,2500,UNIFORM,1,92.981640723722,32.59693365881677,7,0,0,61420,114,0,0,0,0.0,false,0,0,34,0,80,23,7442,7165,0,0,0,0,4390,0,42,1090,5.0,0,0,0,20,0,0,1517,0,SAFE,0,0,0,0,0,51602,79,0,2856,0,23,54612,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},34189,263515,0,5.0,71,-1.0,0,8682,0.217834577828834,0,5447,1000,13,11759,5310,true,25,0,0,11753,0,5.0,0,80,79,0.0,52233,13725,0,0,0,true,0.0,4125,0,0,0,0,0,true,61427,0.0,40026,0,0,0,41159,18.156666666666666,0,0,71,51311,60,0.0,0,0.0,0,1000,80,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,1029,2PC,1517,0.0,0.0,64020,0,70,1614,12372,0,0,0,11444,4007,0,333,0,40710,5447000,0,0,4262,0,0,0,8168,0,0,0.0010793054903801033,5.0,34368,2PC__ TO__ PB,0,0,1517,1326.9233333333334,0.5039471268588214,8215,0,0.0,0,0.6120045950603101,2660,2660
2,300006,0,3078,3215,0,1739,54255.952435769825,9819.361358024693,83768.19014027993,21.57010732071713,43896.88740933126,0.8243567649077584,1.7242844139130434E8,1,2500,UNIFORM,1,76.90579195717132,31.237188247011954,5,0,0,54018,79,0,0,0,0.0,false,0,0,31,0,80,46,5116,6821,0,0,0,0,4205,0,40,1002,5.0,0,0,0,18,0,0,1739,0,SAFE,0,0,0,0,0,44373,79,0,2856,0,46,47306,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},34146,263830,0,5.0,71,-1.0,0,5998,0.2165089641434263,0,6293,1000,12,9661,4543,true,16,0,0,9653,0,5.0,0,80,79,0.0,45053,16075,0,0,0,true,0.0,3988,0,0,0,0,0,true,54035,0.0,37204,0,0,0,34841,20.976666666666667,0,0,71,44089,60,0.0,0,0.0,0,1000,80,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,950,2PC,1739,0.0,0.0,54236,0,47,1545,10424,0,0,0,9400,3878,0,264,0,37758,6293000,0,0,4954,0,0,0,5705,0,0,0.0018570851836899474,5.0,34284,2PC__ TO__ PB,0,0,1739,1327.9066666666668,0.5108851104401716,5631,0,0.0,0,0.6167828685258964,2660,2660
3,300018,0,3216,3120,0,1587,55940.14389134615,10782.646371268656,84877.49545320512,21.985729269216204,44857.61346666667,0.9136541101801136,1.8810945426086956E8,1,2500,UNIFORM,1,90.04959863687996,32.71966288022214,6,0,0,55697,92,0,0,0,0.0,false,0,0,31,0,80,22,5535,7106,0,0,0,0,4384,0,42,1052,5.0,0,0,0,19,0,0,1587,0,SAFE,0,0,0,0,0,45409,79,0,2856,0,22,46960,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},33970,263984,0,5.0,71,-1.0,0,6472,0.20030291556228702,0,6336,1000,13,10609,5551,true,20,0,0,10605,0,5.0,0,80,79,0.0,47104,15600,0,0,0,true,0.0,4199,0,0,0,0,0,true,55712,0.0,37631,0,0,0,38535,21.12,0,0,71,44756,60,0.0,0,0.0,0,1000,80,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,987,2PC,1587,0.0,0.0,56494,0,54,1600,11183,0,0,0,10351,4085,0,279,0,38215,6336000,0,0,4707,0,0,0,6174,0,0,9.347779902273211E-4,5.0,34111,2PC__ TO__ PB,0,0,1587,1328.3566666666666,0.49242424242424243,6101,0,0.0,0,0.5940931465354032,2660,2660
4,300041,0,3294,3301,0,1669,53556.25761405635,9648.25470856102,81151.37111996365,24.026898717328173,43558.82943229324,0.8609137527767313,2.0497292866666666E8,1,2500,UNIFORM,1,74.10416590029043,30.680778315585673,5,0,0,53347,78,0,0,0,0.0,false,0,0,30,0,80,31,4959,6765,0,0,0,0,4195,0,39,987,5.0,0,0,0,18,0,0,1669,0,SAFE,0,0,0,0,0,43525,79,0,2856,0,31,45146,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},33875,264058,0,5.0,71,-1.0,0,5643,0.20196030977734752,0,6595,1000,12,9475,3031,true,17,0,0,9470,0,5.0,0,80,79,0.0,46259,16505,0,0,0,true,0.0,3974,0,0,0,0,0,true,53356,0.0,37093,0,0,0,32493,21.983333333333334,0,0,71,42445,60,0.0,0,0.0,0,1000,80,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,938,2PC,1669,0.0,0.0,54190,0,43,1516,10080,0,0,0,9264,3868,0,250,0,37615,6595000,0,0,4970,0,0,0,5534,0,0,0.0012474849094567405,5.0,33989,2PC__ TO__ PB,0,0,1669,1328.5866666666666,0.5005307050796057,5299,0,0.0,0,0.601403678606002,2660,2660
5,300035,0,3479,3439,0,1709,51182.39118435592,9759.364334004023,77235.5464004071,18.112059116726556,41352.765986624014,0.8742210591142981,1.8647771304347825E8,1,2500,UNIFORM,1,75.56090842703142,30.577111510374404,5,0,0,50974,71,0,0,0,0.0,false,0,0,29,0,80,38,4868,6716,0,0,0,0,4215,0,39,972,5.0,0,0,0,17,0,0,1709,0,SAFE,0,0,0,0,0,41067,79,0,2856,0,38,43034,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},33788,264208,0,5.0,71,-1.0,0,5496,0.19809899153819405,0,6918,1000,12,9597,11128,true,16,0,0,9592,0,5.0,0,80,79,0.0,42899,17195,0,0,0,true,0.0,4075,0,0,0,0,0,true,50981,0.0,35049,0,0,0,34146,23.06,0,0,71,40164,60,0.0,0,0.0,0,1000,80,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,911,2PC,1709,0.0,0.0,52100,0,39,1463,9913,0,0,0,9365,3972,0,242,0,35565,6918000,0,0,5148,0,0,0,5378,0,0,0.0014763014763014763,5.0,33885,2PC__ TO__ PB,0,0,1709,1329.09,0.4971089910378722,5160,0,0.0,0,0.5967311927668947,2660,2660
6,300000,0,3255,3419,0,1763,51530.438765136,9574.687010752688,78522.71970195964,16.602051084508712,41868.83067388125,0.9057472259506776,1.8816667826086956E8,1,2500,UNIFORM,1,68.33987045158231,30.372684129429892,5,0,0,51343,70,0,0,0,0.0,false,0,0,29,0,80,24,4956,6774,0,0,0,0,4207,0,39,992,5.0,0,0,0,18,0,0,1763,0,SAFE,0,0,0,0,0,42475,79,0,2856,0,24,44640,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},31457,263979,0,5.0,71,-1.0,0,5491,0.2089605309944293,0,6674,1000,11,9430,3637,true,14,0,0,9426,0,5.0,0,80,79,0.0,43595,17095,0,0,0,true,0.0,4025,0,0,0,0,0,true,51354,0.0,35540,0,0,0,30802,22.246666666666666,0,0,71,42017,60,0.0,0,0.0,0,1000,80,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,925,2PC,1763,0.0,0.0,52017,0,38,1508,9744,0,0,0,9195,3923,0,220,0,36023,6674000,0,0,5182,0,0,0,5463,0,0,9.262832883056735E-4,5.0,31590,2PC__ TO__ PB,0,0,1763,1328.3033333333333,0.5122864848666467,5175,0,0.0,0,0.6141993599620719,2660,2660
7,300010,0,3433,3412,0,1688,51820.821098769055,10010.550556655986,77736.56347977727,21.653678893706786,41701.806434935526,0.8502849390434953,2.077797676521739E8,1,2500,UNIFORM,1,68.90077967889371,31.657050978553848,5,0,0,51644,71,0,0,0,0.0,false,0,0,29,0,80,44,4897,6827,0,0,0,0,4267,0,39,994,5.0,0,0,0,18,0,0,1688,0,SAFE,0,0,0,0,0,42366,79,0,2856,0,44,43525,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},32685,264170,0,5.0,71,-1.0,0,5672,0.19782022735263097,0,6845,1000,12,9846,32,true,14,0,0,9842,0,5.0,0,80,79,0.0,42057,17060,0,0,0,true,0.0,4123,0,0,0,0,0,true,51647,0.0,35409,0,0,0,17893,22.816666666666666,0,0,71,42496,60,0.0,0,0.0,0,1000,80,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,944,2PC,1688,0.0,0.0,52089,0,39,1501,10190,0,0,0,9617,4017,0,234,0,35932,6845000,0,0,5100,0,0,0,5404,0,0,0.0017254901960784314,5.0,32811,2PC__ TO__ PB,0,0,1688,1328.9866666666667,0.49846603360116876,5356,0,0.0,0,0.5976795968592523,2660,2660
8,299999,0,3560,3475,0,1728,50717.60232604317,9504.975056741572,76475.43867021584,21.229582791281526,41287.38581179856,0.8463735026964403,1.7739520313043478E8,1,2500,UNIFORM,1,71.64270284149265,31.393465822207006,5,0,0,50513,69,0,0,0,0.0,false,0,0,29,0,80,28,4937,6754,0,0,0,0,4194,0,38,988,5.0,0,0,0,17,0,0,1728,0,SAFE,0,0,0,0,0,42661,79,0,2856,0,28,42318,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},32675,264284,0,5.0,71,-1.0,0,5429,0.19719274221157138,0,7035,1000,11,9357,6433,true,14,0,0,9352,0,5.0,0,80,79,0.0,43426,17375,0,0,0,true,0.0,3982,0,0,0,0,0,true,50523,0.0,34937,0,0,0,30335,23.45,0,0,71,42373,60,0.0,0,0.0,0,1000,80,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,926,2PC,1728,0.0,0.0,51437,0,39,1504,9507,0,0,0,9137,3881,0,237,0,35443,7035000,0,0,5203,0,0,0,5427,0,0,0.0010763021333845858,5.0,32804,2PC__ TO__ PB,0,0,1728,1329.3066666666666,0.4939587775408671,5136,0,0.0,0,0.5937464338696793,2660,2660
9,300029,0,2741,2666,0,1461,63201.35105476369,13080.617274352426,98937.13045273819,28.143861968549796,49330.93973068267,0.8881114551697243,1.8022049391304347E8,1,2500,UNIFORM,1,89.48854091438555,32.65498907979033,7,0,0,62857,116,0,0,0,0.0,false,0,0,33,0,80,21,7125,7362,0,0,0,0,4678,0,44,1038,5.0,0,0,0,21,0,0,1461,0,SAFE,0,0,0,0,0,49702,79,0,2856,0,21,55007,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},32531,263564,0,5.0,71,-1.0,0,8948,0.2127256843331392,0,5407,1000,13,12872,11131,true,30,0,0,12858,0,5.0,0,80,79,0.0,48434,13330,0,0,0,true,0.0,4407,0,0,0,0,0,true,62871,0.0,40257,0,0,0,56247,18.023333333333333,0,0,71,50139,60,0.0,0,0.0,0,1000,80,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,1016,2PC,1461,0.0,0.0,64751,0,73,1572,13944,0,0,0,12552,4289,0,335,0,40966,5407000,0,0,4127,0,0,0,7763,0,0,0.001017688393506179,5.0,32691,2PC__ TO__ PB,0,0,1461,1327.09,0.4930645459589421,8507,0,0.0,0,0.6009027373325568,2660,2660
