SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,UPDATE_XACT_RESPONSE_TIME,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,RG_NTCB,RG_NTCB_S,avgLocalGetTime,localReadOnlyTxCommitServiceTime,avgWriteTxDuration,gMUClusteredGetCommandWaitingTime,remoteUpdateTxPrepareResponseTime,localReadOnlyTxPrepareResponseTime,numKilledTxDueToValidation,numLocalTxWaitingTimeInGMUQueueDueToSlowCommits,applicationContentionFactor,remoteUpdateTxCommitServiceTime,gMUWaitingTimeEnabled,avgLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgCompleteNotificationAsync,numRemoteRemoteLockContentions,tOGMUPrepareRttMinusMaxValidationTime,avgNumNodesCommit,avgCommitAsync,localUpdateTxTotalCpuTime,avgPrepareAsync,numLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,localReadOnlyTxPrepareServiceTime,waitedTimeInLocalCommitQueue,avgNumOfLockRemoteTx,remoteUpdateTxPrepareServiceTime,localUpdateTxLocalServiceTime,avgPutsPerWrTransaction,numWaitedLocalCommits,localUpdateTxCommitServiceTime,avgTOGMUPrepareNoWaitRtt,numberOfRemotePuts,avgTCBTime,numRemoteTxWaitingTimeInGMUQueueDuePendingTx,numTOGMUSuccessfulPrepareNoWait,numAbortedTxDueToWriteLock,avgNumNodesRemoteGet,currentState,localUpdateTxRemoteRollbackServiceTime,avgRemoteTxWaitingTimeInGMUQueueDuePendingTx,numberOfRemoteGets,avgLocalTxWaitingTimeInGMUQueueDuePendingTx,tOGMUPrepareWaitProbability,avgLocalLockHoldTime,avgNumAsyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgPrepareCommandSize,tOGMUAvgSuccessfulValidationResponseTime,numLocalRemoteLockContentions,avgResponseTime,currentProtocolInfo,avgRemoteLockHoldTime,numberOfCommits,tOAvgValidationConditionalWaitTime,numOwnedWrItemsInLocalPrepare,avgRollbackCommandSize,numReadsBeforeWrite,numAbortedTxDueToValidation,localUpdateTxLocalRollbackResponseTime,abortRate,avgNumOfLockLocalTx,numberOfLocalCommits,avgGetsPerWrTransaction,readOnlyTxTotalResponseTime,remoteUpdateTxRollbackServiceTime,avgLockWaitingTime,allowProtocolSwitch,remoteUpdateTxRollbackResponseTime,remotePutExecutionTime,avgRemoteTxCompleteNotifyTime,numOwnedWrItemsInRemotePrepare,avgClusteredGetCommandReplySize,avgReadOnlyTxDuration,numWaitedRemoteCommits,avgNumNodesRollback,replicationDegree,avgLocalLocalAbortLockHoldTime,remoteContentionProbability,numberOfPuts,avgNumSyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,avgGmuClusteredGetCommandRttNoWait,coolDownTimeExpired,avgRemotePutsPerWrTransaction,readOnlyTxTotalCpuTime,numLocalLocalLockContentions,numWaitedRemoteGets,avgClusteredGetCommandSize,tOMaxSuccessfulValidationWaitingTime,localUpdateTxRemoteRollbackResponseTime,enabled,localUpdateTxTotalResponseTime,avgRemoteGetsPerROTransaction,avgRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgPrepareRtt,avgRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,numEarlyAborts,terminationCost,throughput,tOGMUPrepareRttMinusAvgValidationTime,avgLocalSuccessfulLockHoldTime,avgNumNodesCompleteNotification,avgCommitCommandSize,switchCoolDownTime,lockContentionProbability,tOPrepareWaitTime,numOwnedRdItemsInRemotePrepare,avgGetsPerROTransaction,remotelyDeadXact,avgNumNodesPrepare,numLocalTxWaitingTimeInGMUQueueDuePendingTx,localActiveTransactions,availableProtocolsInfo,localUpdateTxLocalRollbackServiceTime,tOGMUAvgSuccessfulValidationServiceTime,currentProtocolId,numLocalPrepareAborts,avgRemoteGetsPerWrTransaction,numOwnedRdItemsInLocalPrepare,avgAbortedWriteTxDuration,avgLocalRemoteAbortLockHoldTime,localUpdateTxPrepareServiceTime,remoteUpdateTxCommitResponseTime,localUpdateTxLocalResponseTime,numRemoteLocalLockContentions,remoteGetResponseTime,numAbortedTxDueDeadlock,localReadOnlyTxLocalResponseTime,localReadOnlyTxLocalServiceTime,avgNumOfLockSuccessLocalTx,avgNTCBTime,numAbortedTxDueToReadLock,localUpdateTxPrepareResponseTime,numberOfGets,avgCommitRtt,avgRemoteGetRtt,gMUClusteredGetCommandServiceTime,updateXactToPrepare,currentEpoch,avgLocalTxWaitingTimeInGMUQueueDueToSlowCommits,waitedTimeInRemoteCommitQueue,localUpdateTxCommitResponseTime,remoteGetServiceTime,localContentionProbability,avgNumPutsBySuccessfulLocalTx,avgLockHoldTime,availableProtocolIds,gMUClusteredGetCommandResponseTime,tONumValidationWaited,numAbortedXacts,avgTxArrivalRate,percentageSuccessWriteTransactions,avgRollbackAsync,writeSkewProbability,localReadOnlyTxCommitResponseTime,avgRollbackRtt,percentageWriteTransactions,Before,After
0,299997,0,68566,7755,0,56,8249.593043842682,3427.9393433625996,8330.502102385557,1.4131412074315568,4698.556973565442,0.9414397415517516,7.07268907826087E7,1,2500,UNIFORM,1,6.437997250481166,5.182414273930633,1,0,8223,0,64,0,0,0,0.0,28,false,0,0,7,0,8,347,3663,0,0,0,0,0,53,2965,5.0,0,229,0,0,1,0,0,56,0,SAFE,0,0,0,0,0,4616,7,0,2856,0,7,3901,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3726,128587,0,5.0,71,-1.0,0,471,7.332050224544038E-4,0,76321,1000,3404,33,0,true,31,0,0,5.0,0,3403,0,7,8,7700,0.0,38775,0,0,0,true,0.0,2839,0,0,0,0,0,true,8224,0.0,0,4028,0,0,6959,254.40333333333334,0,4599,0,71,60,0.0,0,0.0,1000,0,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},223,0,2PC,56,0.0,0.0,11130,0,449,47,3563,0,0,0,3356,2798,0,25,0,4173,76321000,0,0,0,7811,0,0,0,459,0,1.792344130072974E-4,5.0,3842,2PC__ TO__ PB,0,0,56,429.73333333333335,0.10161030384822002,386,0.0,0,0,0.10226900768555978,2516,2516
1,299996,0,67403,7509,0,48,8457.398270342257,3494.933802872276,8532.79045745106,1.1313653948772677,4809.384955253695,0.9657328796704341,7.805848E7,1,2500,UNIFORM,1,6.739694477054429,5.107498719316969,2,0,8429,0,60,0,0,0,0.0,27,false,0,0,7,0,8,356,3800,0,0,0,0,0,48,3079,5.0,0,237,0,0,1,0,0,48,0,SAFE,0,0,0,0,0,4703,7,0,2856,0,7,3975,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3793,127426,0,5.0,71,-1.0,0,566,6.403415154749199E-4,0,74912,1000,3471,31,0,true,29,0,0,5.0,0,3470,0,8,8,7876,0.0,37545,0,0,0,true,0.0,2899,0,0,0,0,0,true,8431,0.0,0,4111,0,0,7181,249.70666666666668,0,4690,0,71,60,0.0,0,0.0,1000,0,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},251,0,2PC,48,0.0,0.0,11705,0,464,51,3661,0,0,0,3419,2856,0,24,0,4260,74912000,0,0,0,7557,0,0,0,483,0,1.8525870054254335E-4,5.0,3904,2PC__ TO__ PB,0,0,48,425.86333333333334,0.1002376121315677,468,0.0,0,0,0.10081376734258271,2516,2516
2,299998,0,67053,7638,0,50,8625.127258837392,3478.1192821350273,8695.806785022256,1.0706562127881618,5031.3142927467925,0.9662481023034037,9.437812591304348E7,1,2500,UNIFORM,1,6.601577621385853,5.265881310124296,2,0,8597,0,60,0,0,0,0.0,26,false,0,0,7,0,8,455,3790,0,0,0,0,0,50,3040,5.0,0,272,0,0,1,0,0,50,0,SAFE,0,0,0,0,0,4979,7,0,2856,0,7,3987,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3745,127074,0,5.0,71,-1.0,0,564,6.689768667799467E-4,0,74691,1000,3455,34,0,true,31,0,0,5.0,0,3454,0,7,8,7043,0.0,38190,0,0,0,true,0.0,2886,0,0,0,0,0,true,8598,0.0,0,4203,0,0,7141,248.97,0,4973,0,71,60,0.0,0,0.0,1000,0,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},264,0,2PC,50,0.0,0.0,10706,0,454,50,3607,0,0,0,3404,2842,0,24,0,4364,74691000,0,0,0,7688,0,0,0,591,0,1.8210197710718002E-4,5.0,3901,2PC__ TO__ PB,0,0,50,424.69,0.1022613166244929,452,0.0,0,0,0.10286188303608461,2516,2516
3,299997,0,68395,7546,0,45,8476.248510601643,3436.777706221215,8551.960758945137,1.273974192614429,4897.176847468858,0.9361905403721692,1.0053880104347827E8,1,2500,UNIFORM,1,6.938056207722475,4.939357421103888,2,0,8449,0,57,0,0,0,0.0,26,false,0,0,9,0,8,432,3760,0,0,0,0,0,47,3021,5.0,0,265,0,0,1,0,0,45,0,SAFE,0,0,0,0,0,4905,7,0,2856,0,9,3920,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3739,128416,0,5.0,71,-1.0,0,790,5.922143552759719E-4,0,75941,1000,3413,33,0,true,31,0,0,5.0,0,3412,0,7,8,6821,0.0,37730,0,0,0,true,0.0,2859,0,0,0,0,0,true,8450,0.0,0,4102,0,0,7071,253.13666666666666,0,4900,0,71,60,0.0,0,0.0,1000,0,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},284,0,2PC,45,0.0,0.0,12601,0,451,45,3593,0,0,0,3361,2814,0,25,0,4264,75941000,0,0,0,7591,0,0,0,562,0,2.3712290870768016E-4,5.0,3885,2PC__ TO__ PB,0,0,45,429.17,0.09936661355526001,686,0.0,0,0,0.0998999815755534,2516,2516
4,299995,0,67314,7544,0,51,8590.868243769884,3479.8884738538786,8668.470879374336,1.335368740738763,4957.074875662778,0.9681923149161906,1.0875007860869566E8,1,2500,UNIFORM,1,6.384775621086918,5.067403542965465,2,0,8558,0,62,0,0,0,0.0,29,false,0,0,5,0,8,449,3844,0,0,0,0,0,49,3055,5.0,0,290,0,0,1,0,0,51,0,SAFE,0,0,0,0,0,4860,7,0,2856,0,5,3976,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3712,127341,0,5.0,71,-1.0,0,628,6.80826068963676E-4,0,74858,1000,3455,33,0,true,30,0,0,5.0,0,3454,0,7,8,7682,0.0,37720,0,0,0,true,0.0,2876,0,0,0,0,0,true,8559,0.0,0,4117,0,0,7091,249.52666666666667,0,4848,0,71,60,0.0,0,0.0,1000,0,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},249,0,2PC,51,0.0,0.0,11385,0,476,48,3644,0,0,0,3402,2831,0,26,0,4288,74858000,0,0,0,7595,0,0,0,595,0,1.3166556945358788E-4,5.0,3855,2PC__ TO__ PB,0,0,51,425.5733333333333,0.10077747201367923,541,0.0,0,0,0.10138968615253174,2516,2516
5,299995,0,66882,7386,0,47,8570.937873002978,3525.105636972579,8644.458127132411,1.4530359550561798,4895.987973869483,0.9682059484610712,7.061386260869566E7,1,2500,UNIFORM,1,6.953526798089215,5.402412285541277,2,0,8537,0,58,0,0,0,0.0,29,false,0,0,6,0,8,465,3908,0,0,0,0,0,49,3091,5.0,0,279,0,0,1,0,0,47,0,SAFE,0,0,0,0,0,4861,7,0,2856,0,6,4008,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3708,126903,0,5.0,71,-1.0,0,573,6.324429792101191E-4,0,74268,1000,3501,33,0,true,30,0,0,5.0,0,3500,0,7,8,7643,0.0,36930,0,0,0,true,0.0,2904,0,0,0,0,0,true,8539,0.0,0,4051,0,0,7461,247.56,0,4848,0,71,60,0.0,0,0.0,1000,0,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},277,0,2PC,47,0.0,0.0,11473,0,513,48,3685,0,0,0,3452,2863,0,25,0,4226,74268000,0,0,0,7433,0,0,0,595,0,1.6144221713978204E-4,5.0,3850,2PC__ TO__ PB,0,0,47,424.1166666666667,0.09945063822911618,451,0.0,0,0,0.10002018435040032,2516,2516
6,299996,0,65724,7392,0,39,8735.62302448593,3568.8977405057512,8802.278194805196,1.2028533388011755,4986.404957251082,0.9414471824988868,7.206181460869566E7,1,2500,UNIFORM,1,6.953156120565922,5.215144897819697,2,0,8704,0,60,0,0,0,0.0,29,false,0,0,9,0,8,450,3913,0,0,0,0,0,50,3110,5.0,0,289,0,0,1,0,0,39,0,SAFE,0,0,0,0,0,4956,7,0,2856,0,9,4074,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3732,125745,0,5.0,71,-1.0,0,656,5.331146196432232E-4,0,73116,1000,3546,33,0,true,30,0,0,5.0,0,3545,0,7,8,6995,0.0,36960,0,0,0,true,0.0,2955,0,0,0,0,0,true,8706,0.0,0,4138,0,0,6794,243.72,0,4947,0,71,60,0.0,0,0.0,1000,0,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},268,0,2PC,39,0.0,0.0,12546,0,490,45,3759,0,0,0,3493,2910,0,24,0,4313,73116000,0,0,0,7431,0,0,0,597,0,2.4222850222042794E-4,5.0,3881,2PC__ TO__ PB,0,0,39,420.26666666666665,0.10109962251764319,553,0.0,0,0,0.10157883945048185,2516,2516
7,299994,0,66449,7251,0,46,8691.483367811337,3551.3694192538637,8781.114266170183,1.2934693949502345,4979.9066171562545,0.9299384840692191,1.0150548104347827E8,1,2500,UNIFORM,1,6.4953683860819575,5.187101076668565,2,0,8663,0,59,0,0,0,0.0,30,false,0,0,6,0,8,435,3883,0,0,0,0,0,47,3125,5.0,0,276,0,0,1,0,0,46,0,SAFE,0,0,0,0,0,4903,7,0,2856,0,6,4042,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3732,126470,0,5.0,71,-1.0,0,553,6.237626447536137E-4,0,73700,1000,3529,35,0,true,32,0,0,5.0,0,3528,0,8,8,7529,0.0,36255,0,0,0,true,0.0,2956,0,0,0,0,0,true,8665,0.0,0,4162,0,0,6807,245.66666666666666,0,4891,0,71,60,0.0,0,0.0,1000,0,8,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},275,0,2PC,46,0.0,0.0,14048,0,459,50,3726,0,0,0,3481,2915,0,24,0,4327,73700000,0,0,0,7297,0,0,0,578,0,1.6445114430587912E-4,5.0,3873,2PC__ TO__ PB,0,0,46,422.67333333333335,0.0983853459972863,450,0.0,0,0,0.09894773953841564,2516,2516
