SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,UPDATE_XACT_RESPONSE_TIME,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,RG_NTCB,RG_NTCB_S,avgLocalGetTime,localReadOnlyTxCommitServiceTime,avgWriteTxDuration,gMUClusteredGetCommandWaitingTime,remoteUpdateTxPrepareResponseTime,numKilledTxDueToValidation,localReadOnlyTxPrepareResponseTime,numLocalTxWaitingTimeInGMUQueueDueToSlowCommits,localReadOnlyTxRemoteNodesRead,applicationContentionFactor,avgLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,remoteUpdateTxCommitServiceTime,gMUWaitingTimeEnabled,avgCompleteNotificationAsync,tOGMUPrepareRttMinusMaxValidationTime,numRemoteRemoteLockContentions,avgNumNodesCommit,avgCommitAsync,localUpdateTxTotalCpuTime,localUpdateCommittedXact,avgPrepareAsync,numLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,localReadOnlyTxPrepareServiceTime,waitedTimeInLocalCommitQueue,localUpdateTxLocalServiceTime,remoteUpdateTxPrepareServiceTime,avgNumOfLockRemoteTx,localUpdateTxCommitServiceTime,avgPutsPerWrTransaction,numWaitedLocalCommits,avgTOGMUPrepareNoWaitRtt,numberOfRemotePuts,avgTCBTime,numRemoteTxWaitingTimeInGMUQueueDuePendingTx,numTOGMUSuccessfulPrepareNoWait,numAbortedTxDueToWriteLock,avgNumNodesRemoteGet,currentState,localUpdateTxRemoteRollbackServiceTime,avgRemoteTxWaitingTimeInGMUQueueDuePendingTx,numberOfRemoteGets,avgLocalTxWaitingTimeInGMUQueueDuePendingTx,tOGMUPrepareWaitProbability,avgLocalLockHoldTime,avgNumAsyncSentCommitMsgs,avgPrepareCommandSize,numRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,tOGMUAvgSuccessfulValidationResponseTime,numLocalRemoteLockContentions,avgResponseTime,localReadOnlyCommittedXact,currentProtocolInfo,avgRemoteLockHoldTime,numberOfCommits,tOAvgValidationConditionalWaitTime,numOwnedWrItemsInLocalPrepare,avgRollbackCommandSize,numReadsBeforeWrite,numAbortedTxDueToValidation,localUpdateTxLocalRollbackResponseTime,abortRate,numberOfLocalCommits,avgNumOfLockLocalTx,avgGetsPerWrTransaction,readOnlyTxTotalResponseTime,remoteUpdateTxRollbackServiceTime,avgLockWaitingTime,allowProtocolSwitch,currentProtocolAsInt,remoteUpdateTxRollbackResponseTime,remotePutExecutionTime,avgRemoteTxCompleteNotifyTime,numOwnedWrItemsInRemotePrepare,avgReadOnlyTxDuration,avgClusteredGetCommandReplySize,numWaitedRemoteCommits,replicationDegree,avgNumNodesRollback,remoteContentionProbability,avgLocalLocalAbortLockHoldTime,numberOfPuts,avgNumSyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,avgGmuClusteredGetCommandRttNoWait,coolDownTimeExpired,avgRemotePutsPerWrTransaction,readOnlyTxTotalCpuTime,numWaitedRemoteGets,numLocalLocalLockContentions,avgClusteredGetCommandSize,tOMaxSuccessfulValidationWaitingTime,localUpdateTxRemoteRollbackResponseTime,enabled,localUpdateTxTotalResponseTime,avgRemoteGetsPerROTransaction,avgPrepareRtt,avgRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,numEarlyAborts,terminationCost,throughput,tOGMUPrepareRttMinusAvgValidationTime,avgLocalSuccessfulLockHoldTime,avgCommitCommandSize,avgNumNodesCompleteNotification,switchCoolDownTime,tOPrepareWaitTime,numOwnedRdItemsInRemotePrepare,lockContentionProbability,remotelyDeadXact,avgGetsPerROTransaction,avgNumNodesPrepare,numLocalTxWaitingTimeInGMUQueueDuePendingTx,localActiveTransactions,localUpdateTxRemoteNodesRead,availableProtocolsInfo,localUpdateTxLocalRollbackServiceTime,tOGMUAvgSuccessfulValidationServiceTime,currentProtocolId,numLocalPrepareAborts,numOwnedRdItemsInLocalPrepare,avgRemoteGetsPerWrTransaction,avgAbortedWriteTxDuration,localUpdateTxPrepareServiceTime,avgLocalRemoteAbortLockHoldTime,remoteUpdateTxCommitResponseTime,numRemoteLocalLockContentions,localUpdateTxLocalResponseTime,remoteGetResponseTime,numAbortedTxDueDeadlock,localReadOnlyTxLocalResponseTime,localReadOnlyTxLocalServiceTime,avgNumOfLockSuccessLocalTx,avgNTCBTime,numAbortedTxDueToReadLock,localUpdateTxPrepareResponseTime,numberOfGets,avgCommitRtt,avgRemoteGetRtt,updateXactToPrepare,gMUClusteredGetCommandServiceTime,currentEpoch,avgLocalTxWaitingTimeInGMUQueueDueToSlowCommits,waitedTimeInRemoteCommitQueue,localUpdateTxCommitResponseTime,remoteGetServiceTime,localContentionProbability,avgNumPutsBySuccessfulLocalTx,avgLockHoldTime,availableProtocolIds,gMUClusteredGetCommandResponseTime,tONumValidationWaited,numAbortedXacts,avgTxArrivalRate,percentageSuccessWriteTransactions,avgRollbackAsync,localReadOnlyTxCommitResponseTime,writeSkewProbability,avgRollbackRtt,percentageWriteTransactions,Before,After
0,180369,0,171,169,0,0,529447.8866627219,531369.1089122806,529447.8866627219,7.27675,5674.726710059172,0.6360645143794994,1.7882523466666666E8,1,100000,UNIFORM,1,86.61581764705882,46.01571470588235,10,0,529257,0,156,0,0,0,9.0,0.0,0,98,false,0,0,0,9,704,57096,169,0,0,0,0,55738,145,0,498,5.0,0,0,425,12,0,0,0,1,SAFE,0,0,170094,0,0,4803,8,2863,0,0,0,530211,171,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3319,1822,0,2.485207100591716,0,-1.0,0,0,0.0,340,0,1000,531159,0,0,true,0,0,34,0,2.5654520917678814,531153,0,0,5,0,0.0,0,845,0,0,0,true,2.514792899408284,57215,0,0,43,0,0,true,529266,499.12280701754383,3904,0,0,0,68747,1.8888888888888888,0,4803,71,0,60,0,0.0,0.0,0,1000,9,0,0,9.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,501.4437869822485,0,779,0,110,0,523841,1022,0,530818,56924,0,202,0,4203,340000,0,987,169,0,0,0,0,1091,90,0.0,5.0,3452,2PC__ TO__ PB,0,0,0,10.122222222222222,0.4970588235294118,0,0,0.0,0,0.4970588235294118,49877,49877
1,180488,0,176,166,0,0,528097.2639879518,527253.9828693182,528097.2639879518,8.482535087719297,6658.87698192771,0.6086228156200606,1.640756112E8,1,100000,UNIFORM,1,67.38543567251462,48.39259356725146,10,0,527870,0,165,0,0,0,8.0,0.0,0,88,false,0,0,0,9,882,56029,166,0,0,0,0,54382,135,0,615,5.0,0,0,435,13,0,0,0,1,SAFE,0,0,170696,0,0,5697,8,2863,0,0,0,527446,176,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3297,1819,0,2.3795180722891565,0,-1.0,0,0,0.0,342,0,1000,527053,0,0,true,0,0,68,0,2.5903859174001354,527045,0,0,5,0,0.0,0,830,0,0,0,true,2.6204819277108435,55293,0,0,43,0,0,true,527882,498.9318181818182,4603,0,0,0,73885,1.9,0,5697,71,0,60,0,0.0,0.0,0,1000,9,0,0,8.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,499.30120481927713,0,946,0,94,0,521479,1016,0,526605,54990,0,200,0,4965,342000,0,983,166,0,0,0,0,1278,86,0.0,5.0,3546,2PC__ TO__ PB,0,0,0,10.105555555555556,0.4853801169590643,0,0,0.0,0,0.4853801169590643,49967,49967
2,180142,0,174,184,0,0,511638.8499619565,494135.6234425287,511638.8499619565,6.08808938547486,5618.862945652174,0.6356830976478244,1.662336928E8,1,100000,UNIFORM,1,56.08987709497207,42.89739664804469,10,0,511443,0,124,0,0,0,8.0,0.0,0,82,false,0,0,0,9,805,57367,184,0,0,0,0,55867,115,0,581,5.0,0,0,443,12,0,0,0,1,SAFE,0,0,179509,0,0,6134,8,2863,0,0,0,502933,174,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3850,1813,0,2.592391304347826,0,-1.0,0,0,0.0,358,0,1000,493943,0,0,true,0,0,63,0,2.5986254295532647,493934,0,0,5,0,0.0,0,920,0,0,0,true,2.407608695652174,52375,0,0,43,0,0,true,511455,500.52298850574715,3639,0,0,0,69671,1.988888888888889,0,6134,71,0,60,0,0.0,0.0,0,1000,9,0,0,8.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,502.2717391304348,0,838,0,87,0,506096,964,0,493580,52101,0,173,0,4001,358000,0,933,184,0,0,0,0,1237,85,0.0,5.0,4105,2PC__ TO__ PB,0,0,0,10.072222222222223,0.5139664804469274,0,0,0.0,0,0.5139664804469274,49853,49853
3,180343,0,174,174,0,0,522280.7069080459,514025.2879080459,522280.7069080459,8.831954022988507,5900.146597701149,0.5959831449340438,1.6031744853333333E8,1,100000,UNIFORM,1,74.92758620689655,47.36755459770115,10,0,522047,0,156,0,0,0,9.0,0.0,0,89,false,0,0,0,9,939,55661,174,0,0,0,0,54112,135,0,593,5.0,0,0,437,12,0,0,0,1,SAFE,0,0,174027,0,0,5068,8,2863,0,0,0,517928,174,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3378,1831,0,2.4885057471264367,0,-1.0,0,0,0.0,348,0,1000,513816,0,0,true,0,0,68,0,2.5657451112609575,513809,0,0,5,0,0.0,0,870,0,0,0,true,2.5114942528735633,53044,0,0,43,0,0,true,522055,500.8045977011494,3762,0,0,0,68658,1.9333333333333333,0,5068,71,0,60,0,0.0,0.0,0,1000,9,0,0,9.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,499.35057471264366,0,868,0,84,0,516421,997,0,513379,52736,0,219,0,4156,348000,0,967,174,0,0,0,0,1324,84,0.0,5.0,3558,2PC__ TO__ PB,0,0,0,10.172222222222222,0.5,0,0,0.0,0,0.5,49920,49920
4,180016,0,186,169,0,0,507922.2842071006,506176.9575,507922.2842071006,7.279211267605634,5332.387579881657,0.5331862056687745,1.6662541493333334E8,1,100000,UNIFORM,1,82.15580281690141,47.79495774647887,10,0,507714,0,120,0,0,0,8.0,0.0,0,83,false,0,0,0,9,847,53962,169,0,0,0,0,52402,122,0,609,5.0,0,0,420,12,0,0,0,1,SAFE,0,0,177596,0,0,4553,8,2863,0,0,0,506825,186,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3666,1834,0,2.514792899408284,0,-1.0,0,0,0.0,355,0,1000,506023,0,0,true,0,0,62,0,2.5868830290736984,506017,0,0,5,0,0.0,0,845,0,0,0,true,2.485207100591716,54130,0,0,43,0,0,true,507726,499.9731182795699,3413,0,0,0,63188,1.9722222222222223,0,4553,71,0,60,0,0.0,0.0,0,1000,9,0,0,8.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,500.59763313609466,0,866,0,79,0,502621,976,0,505590,53846,0,185,0,3771,355000,0,946,169,0,0,0,0,1214,84,0.0,5.0,3746,2PC__ TO__ PB,0,0,0,10.188888888888888,0.476056338028169,0,0,0.0,0,0.476056338028169,50152,50152
5,180051,0,191,158,0,0,521617.0243670886,511000.3528115183,521617.0243670886,8.206670487106017,5617.0183924050625,0.6379014892314386,1.617172288E8,1,100000,UNIFORM,1,92.83458739255013,49.547189111747855,10,0,521414,0,161,0,0,0,8.0,0.0,0,87,false,0,0,0,9,803,56168,158,0,0,0,0,54644,134,0,587,5.0,0,0,402,12,0,0,0,1,SAFE,0,0,174467,0,0,4406,8,2863,0,0,0,515618,191,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3628,1838,0,2.4556962025316458,0,-1.0,0,0,0.0,349,0,1000,510837,0,0,true,0,0,77,0,2.5439892545332436,510823,0,0,5,0,0.0,0,790,0,0,0,true,2.5443037974683542,53253,0,0,43,0,0,true,521425,498.6544502617801,3692,0,0,0,71866,1.9388888888888889,0,4406,71,0,60,0,0.0,0.0,0,1000,9,0,0,8.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,501.4177215189873,0,851,0,82,0,516070,994,0,510451,52947,0,196,0,4042,349000,0,964,158,0,0,0,0,1196,84,0.0,5.0,3694,2PC__ TO__ PB,0,0,0,10.21111111111111,0.45272206303724927,0,0,0.0,0,0.45272206303724927,50069,50069
6,180243,0,184,164,0,0,511117.8113170732,523880.01184782607,511117.8113170732,8.834468390804597,5094.141121951219,0.6274249319974289,1.631800016E8,1,100000,UNIFORM,1,65.9062959770115,44.24974425287356,10,0,510919,0,145,0,0,0,8.0,0.0,0,83,false,0,0,0,9,865,55441,164,0,0,0,0,53974,124,0,580,5.0,0,0,420,13,0,0,0,1,SAFE,0,0,173233,0,0,4852,8,2863,0,0,0,517689,184,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3589,1827,0,2.4390243902439024,0,-1.0,0,0,0.0,348,0,1000,523733,0,0,true,0,0,79,0,2.5929682217714674,523723,0,0,5,0,0.0,0,820,0,0,0,true,2.5609756097560976,57595,0,0,43,0,0,true,510930,498.1902173913044,3122,0,0,0,63759,1.9333333333333333,0,4852,71,0,60,0,0.0,0.0,0,1000,9,0,0,8.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,497.3536585365854,0,805,0,78,0,506073,1001,0,523375,57321,0,168,0,3493,348000,0,969,164,0,0,0,0,1249,88,0.0,5.0,3712,2PC__ TO__ PB,0,0,0,10.15,0.47126436781609193,0,0,0.0,0,0.47126436781609193,50037,50037
7,180252,0,198,156,0,0,517554.61784615385,502443.0656111111,517554.61784615385,6.172887005649717,5771.064641025641,0.6682346575687339,1.641062512E8,1,100000,UNIFORM,1,82.72575988700565,44.84188418079096,10,0,517394,0,116,0,0,0,9.0,0.0,0,87,false,0,0,0,9,859,58351,156,0,0,0,0,56726,118,0,602,5.0,0,0,393,13,0,0,0,1,SAFE,0,0,177447,0,0,5388,8,2863,0,0,0,508936,198,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3673,1850,0,2.480769230769231,0,-1.0,0,0,0.0,354,0,1000,502279,0,0,true,0,0,61,0,2.5287433155080214,502272,0,0,5,0,0.0,0,780,0,0,0,true,2.519230769230769,54355,0,0,43,0,0,true,517402,502.5,3818,0,0,0,59647,1.9666666666666666,0,5388,71,0,60,0,0.0,0.0,0,1000,9,0,0,9.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,499.6923076923077,0,939,0,90,0,511851,977,0,501922,54079,0,181,0,4154,354000,0,945,156,0,0,0,0,1271,87,0.0,5.0,3824,2PC__ TO__ PB,0,0,0,10.277777777777779,0.4406779661016949,0,0,0.0,0,0.4406779661016949,49882,49882
8,180147,0,175,176,0,0,516623.7939431818,509711.61651428574,516623.7939431818,8.04939886039886,5510.6678125,0.6462100276150684,1.6671383946666667E8,1,100000,UNIFORM,1,66.84574643874645,47.47280626780627,10,0,516401,0,136,0,0,0,8.0,0.0,0,87,false,0,0,0,9,788,57442,176,0,0,0,0,55869,127,0,603,5.0,0,0,455,12,0,0,0,1,SAFE,0,0,174729,0,0,4458,8,2863,0,0,0,512979,175,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3263,1823,0,2.414772727272727,0,-1.0,0,0,0.0,351,0,1000,509545,0,0,true,0,0,59,0,2.5699728260869565,509538,0,0,5,0,0.0,0,880,0,0,0,true,2.585227272727273,53615,0,0,43,0,0,true,516411,498.8228571428571,3558,0,0,0,71341,1.95,0,4458,71,0,60,0,0.0,0.0,0,1000,9,0,0,8.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,496.78977272727275,0,884,0,83,0,511140,992,0,509112,53304,0,177,0,3921,351000,0,959,176,0,0,0,0,1222,86,0.0,5.0,3395,2PC__ TO__ PB,0,0,0,10.127777777777778,0.5014245014245015,0,0,0.0,0,0.5014245014245015,50145,50145
9,180444,0,167,176,0,0,522979.4843920454,529143.3341856288,522979.4843920454,8.236148688046647,5717.224596590909,0.6791329758891886,1.6198485066666666E8,1,100000,UNIFORM,1,92.15120408163264,49.37025072886297,11,0,522699,0,123,0,0,0,8.0,0.0,0,96,false,0,0,0,9,934,54346,176,0,0,0,0,52726,126,0,659,5.0,0,0,426,13,0,0,0,1,SAFE,0,0,171292,0,0,5499,8,2863,0,0,0,525739,167,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3373,1804,0,2.5795454545454546,0,-1.0,0,0,0.0,343,0,1000,528949,0,0,true,0,0,69,0,2.6139630390143735,528943,0,0,5,0,0.0,0,880,0,0,0,true,2.4204545454545454,56386,0,0,43,0,0,true,522710,499.2754491017964,3500,0,0,0,73379,1.9055555555555554,0,5499,71,0,60,0,0.0,0.0,0,1000,9,0,0,8.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,499.5056818181818,0,876,0,95,0,517345,1012,0,528520,56070,0,246,0,3853,343000,0,979,176,0,0,0,0,1395,85,0.0,5.0,3593,2PC__ TO__ PB,0,0,0,10.022222222222222,0.5131195335276968,0,0,0.0,0,0.5131195335276968,50148,50148
