SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,UPDATE_XACT_RESPONSE_TIME,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,RG_NTCB,RG_NTCB_S,avgLocalGetTime,localReadOnlyTxCommitServiceTime,gMUClusteredGetCommandWaitingTime,avgWriteTxDuration,remoteUpdateTxPrepareResponseTime,localReadOnlyTxPrepareResponseTime,numKilledTxDueToValidation,localReadOnlyTxRemoteNodesRead,numLocalTxWaitingTimeInGMUQueueDueToSlowCommits,applicationContentionFactor,remoteUpdateTxCommitServiceTime,avgCompleteNotificationAsync,gMUWaitingTimeEnabled,avgLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgNumNodesCommit,numRemoteRemoteLockContentions,tOGMUPrepareRttMinusMaxValidationTime,avgCommitAsync,localUpdateTxTotalCpuTime,localUpdateCommittedXact,avgPrepareAsync,numLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,localReadOnlyTxPrepareServiceTime,waitedTimeInLocalCommitQueue,localUpdateTxLocalServiceTime,remoteUpdateTxPrepareServiceTime,avgNumOfLockRemoteTx,numWaitedLocalCommits,avgPutsPerWrTransaction,localUpdateTxCommitServiceTime,avgTOGMUPrepareNoWaitRtt,numberOfRemotePuts,avgTCBTime,numRemoteTxWaitingTimeInGMUQueueDuePendingTx,numTOGMUSuccessfulPrepareNoWait,numAbortedTxDueToWriteLock,avgNumNodesRemoteGet,currentState,localUpdateTxRemoteRollbackServiceTime,avgRemoteTxWaitingTimeInGMUQueueDuePendingTx,numberOfRemoteGets,avgLocalTxWaitingTimeInGMUQueueDuePendingTx,tOGMUPrepareWaitProbability,avgLocalLockHoldTime,avgNumAsyncSentCommitMsgs,avgPrepareCommandSize,numRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,tOGMUAvgSuccessfulValidationResponseTime,numLocalRemoteLockContentions,avgResponseTime,localReadOnlyCommittedXact,currentProtocolInfo,avgRemoteLockHoldTime,numberOfCommits,tOAvgValidationConditionalWaitTime,numOwnedWrItemsInLocalPrepare,avgRollbackCommandSize,numReadsBeforeWrite,numAbortedTxDueToValidation,abortRate,localUpdateTxLocalRollbackResponseTime,numberOfLocalCommits,avgNumOfLockLocalTx,avgGetsPerWrTransaction,remoteUpdateTxRollbackServiceTime,readOnlyTxTotalResponseTime,avgLockWaitingTime,currentProtocolAsInt,allowProtocolSwitch,remoteUpdateTxRollbackResponseTime,remotePutExecutionTime,avgRemoteTxCompleteNotifyTime,numOwnedWrItemsInRemotePrepare,avgReadOnlyTxDuration,avgClusteredGetCommandReplySize,numWaitedRemoteCommits,avgNumNodesRollback,replicationDegree,avgLocalLocalAbortLockHoldTime,remoteContentionProbability,numberOfPuts,avgNumSyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,avgGmuClusteredGetCommandRttNoWait,coolDownTimeExpired,avgRemotePutsPerWrTransaction,readOnlyTxTotalCpuTime,numWaitedRemoteGets,numLocalLocalLockContentions,avgClusteredGetCommandSize,tOMaxSuccessfulValidationWaitingTime,localUpdateTxRemoteRollbackResponseTime,enabled,localUpdateTxTotalResponseTime,avgRemoteGetsPerROTransaction,avgPrepareRtt,avgRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,numEarlyAborts,avgRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,terminationCost,throughput,tOGMUPrepareRttMinusAvgValidationTime,avgLocalSuccessfulLockHoldTime,avgCommitCommandSize,avgNumNodesCompleteNotification,switchCoolDownTime,numOwnedRdItemsInRemotePrepare,lockContentionProbability,tOPrepareWaitTime,remotelyDeadXact,avgGetsPerROTransaction,avgNumNodesPrepare,numLocalTxWaitingTimeInGMUQueueDuePendingTx,localActiveTransactions,localUpdateTxRemoteNodesRead,availableProtocolsInfo,localUpdateTxLocalRollbackServiceTime,tOGMUAvgSuccessfulValidationServiceTime,currentProtocolId,numLocalPrepareAborts,avgRemoteGetsPerWrTransaction,numOwnedRdItemsInLocalPrepare,avgAbortedWriteTxDuration,localUpdateTxPrepareServiceTime,remoteUpdateTxCommitResponseTime,avgLocalRemoteAbortLockHoldTime,numRemoteLocalLockContentions,localUpdateTxLocalResponseTime,remoteGetResponseTime,numAbortedTxDueDeadlock,localReadOnlyTxLocalResponseTime,localReadOnlyTxLocalServiceTime,avgNumOfLockSuccessLocalTx,avgNTCBTime,numAbortedTxDueToReadLock,localUpdateTxPrepareResponseTime,numberOfGets,avgCommitRtt,avgRemoteGetRtt,updateXactToPrepare,gMUClusteredGetCommandServiceTime,currentEpoch,avgLocalTxWaitingTimeInGMUQueueDueToSlowCommits,localUpdateTxCommitResponseTime,waitedTimeInRemoteCommitQueue,remoteGetServiceTime,localContentionProbability,avgNumPutsBySuccessfulLocalTx,avgLockHoldTime,availableProtocolIds,gMUClusteredGetCommandResponseTime,tONumValidationWaited,numAbortedXacts,avgTxArrivalRate,percentageSuccessWriteTransactions,avgRollbackAsync,localReadOnlyTxCommitResponseTime,writeSkewProbability,avgRollbackRtt,percentageWriteTransactions,Before,After
0,179995,0,82976,9044,0,0,3732.5583779301196,1755.0972429859235,3732.5583779301196,1.028470180395566,1973.3086153250774,0.6814641637584745,1.4808396746666667E8,1,100000,UNIFORM,1,9.435832492936319,7.027123755705282,16,0,0,3679,45,0,0,1.4168675279598921,0,0.0,44,0,false,0,2,0,0,209,666,9044,0,0,0,0,235,45,0,0,1.0,135,0,6794,108,0,0,0,1,SAFE,0,0,138146,0,0,1704,1,663,0,0,0,1910,82976,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1434,108422,0,0.24878372401592216,0,-1.0,0,0.0,0,92020,0,2,0,1719,0,0,true,0,29,0,1.0,1717,0,0,0,2,0,0.0,9044,0,0,0,true,0.7512162759840778,217,0,0,43,0,0,true,3682,1.5010123409178557,1429,0,0,0,11282,511.22222222222223,0,1704,71,0,60,0.0,0.0,0,0,2,2,0,0,1.421826625386997,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,1.5035382574082266,0.0,0,267,43,0,0,1766,1079,0,1676,186,0,38,0,1570,184040,0,1032,9044,0,0,0,297,0,99,0.0,1.0,1467,2PC__ TO__ PB,0,0,0,602.3444444444444,0.09828298196044338,0,0,0.0,0,0.09828298196044338,24878,24878
1,179995,0,84375,9236,0,0,3729.1245344304893,1718.3464296770371,3729.1245344304893,1.2192000299110148,1976.6038473365093,0.6912732255833584,1.1104388426666667E8,1,100000,UNIFORM,1,8.88246081122945,6.641676501693177,15,0,0,3687,46,0,0,1.412882962962963,0,0.0,39,0,false,0,2,0,0,242,720,9236,0,0,0,0,264,45,0,0,1.0,148,0,7016,107,0,0,0,1,SAFE,0,0,140760,0,0,1591,1,663,0,0,0,1880,84375,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1399,109992,0,0.24036379385015158,0,-1.0,0,0.0,0,93611,0,2,0,1683,0,0,true,0,55,0,1.0,1682,0,0,0,2,0,0.0,9236,0,0,0,true,0.7596362061498484,207,0,0,43,0,0,true,3689,1.5038577777777777,1390,0,0,0,10873,520.0611111111111,0,1591,71,0,60,0.0,0.0,0,0,2,2,0,0,1.4098094413165874,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,1.501948895625812,0.0,0,281,39,0,0,1771,1054,0,1640,176,0,35,0,1536,187222,0,1009,9236,0,0,0,338,0,93,0.0,1.0,1421,2PC__ TO__ PB,0,0,0,611.0666666666667,0.09866361859183216,0,0,0.0,0,0.09866361859183216,24826,24826
2,179995,0,87923,9691,0,0,3608.398151583944,1642.7334943871342,3608.398151583944,1.338799270596431,1934.5862899597564,0.6520695093194365,1.1416228853333333E8,1,100000,UNIFORM,1,8.887889104021964,6.573955528920032,15,0,0,3565,41,0,0,1.413520921715592,0,0.0,39,0,false,0,2,0,0,228,714,9691,0,0,0,0,256,40,0,0,1.0,153,0,7261,106,0,0,0,1,SAFE,0,0,146124,0,0,1642,1,663,0,0,0,1801,87923,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1368,113932,0,0.2507481168094108,0,-1.0,0,0.0,0,97614,0,2,0,1609,0,0,true,0,52,0,1.0,1607,0,0,0,2,0,0.0,9691,0,0,0,true,0.7492518831905892,203,0,0,43,0,0,true,3567,1.497310146378081,1380,0,0,0,9994,542.3,0,1642,71,0,60,0.0,0.0,0,0,2,2,0,0,1.4124445361675781,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,1.4937570942111238,0.0,0,277,38,0,0,1688,1009,0,1567,173,0,36,0,1518,195228,0,966,9691,0,0,0,317,0,91,0.0,1.0,1404,2PC__ TO__ PB,0,0,0,632.9555555555555,0.09927879197656074,0,0,0.0,0,0.09927879197656074,25055,25055
3,179997,0,84009,9227,0,0,3703.468954806546,1728.8744668547417,3703.468954806546,1.3008911900982452,1961.9019177414111,0.7173410265957538,1.1422320053333333E8,1,100000,UNIFORM,1,9.096612081170363,6.7612511261744395,16,0,0,3659,48,0,0,1.4117415991143807,0,0.0,39,0,false,0,2,0,0,220,702,9227,0,0,0,0,257,44,0,0,1.0,142,0,6950,107,0,0,0,1,SAFE,0,0,140070,0,0,1600,1,663,0,0,0,1887,84009,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1411,109781,0,0.24677576677143168,0,-1.0,0,0.0,0,93236,0,2,0,1694,0,0,true,0,51,0,1.0,1692,0,0,0,2,0,0.0,9227,0,0,0,true,0.7532242332285684,205,0,0,43,0,0,true,3661,1.502755657131974,1411,0,0,0,11106,517.9777777777778,0,1600,71,0,60,0.0,0.0,0,0,2,2,0,0,1.4083667497561505,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,1.498320147393519,0.0,0,277,37,0,0,1756,1061,0,1651,173,0,36,0,1552,186472,0,1018,9227,0,0,0,310,0,92,0.0,1.0,1434,2PC__ TO__ PB,0,0,0,609.8944444444444,0.09896391951606676,0,0,0.0,0,0.09896391951606676,24968,24968
4,179996,0,86013,9547,0,0,3710.6729912014243,1673.3870242986525,3710.6729912014243,1.2095612285475095,1971.5712992563108,0.730566889551457,1.23826104E8,1,100000,UNIFORM,1,9.548605023022185,6.995911008790289,14,0,0,3668,42,0,0,1.4131933544929254,0,0.0,39,0,false,0,2,0,0,233,719,9547,0,0,0,0,257,42,0,0,1.0,155,0,7155,107,0,0,0,1,SAFE,0,0,142987,0,0,1703,1,663,0,0,0,1840,86013,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1369,112035,0,0.25054991096679585,0,-1.0,0,0.0,0,95560,0,2,0,1639,0,0,true,0,52,0,1.0,1637,0,0,0,2,0,0.0,9547,0,0,0,true,0.7494500890332042,205,0,0,43,0,0,true,3670,1.495971539185937,1398,0,0,0,10036,530.8888888888889,0,1703,71,0,60,0.0,0.0,0,0,2,2,0,0,1.4188750392793548,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,1.4993191578506337,0.0,0,281,36,0,0,1758,1034,0,1598,174,0,37,0,1544,191120,0,993,9547,0,0,0,326,0,92,0.0,1.0,1411,2PC__ TO__ PB,0,0,0,622.4166666666666,0.09990581833403098,0,0,0.0,0,0.09990581833403098,25051,25051
5,179995,0,83668,9362,0,0,3748.1827464217045,1725.0383491896544,3748.1827464217045,1.4453187896377513,2002.6182066866054,0.650315103294947,1.2423858026666667E8,1,100000,UNIFORM,1,8.883521509190583,6.631543405353112,16,0,0,3702,45,0,0,1.4089974661758378,0,0.0,39,0,false,0,2,0,0,235,721,9362,0,0,0,0,261,42,0,0,1.0,150,0,7068,109,0,0,0,1,SAFE,0,0,139133,0,0,1700,1,663,0,0,0,1892,83668,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1334,109792,0,0.24503311258278146,0,-1.0,0,0.0,0,93030,0,2,0,1691,0,0,true,0,52,0,1.0,1689,0,0,0,2,0,0.0,9362,0,0,0,true,0.7549668874172185,207,0,0,43,0,0,true,3704,1.4958646077353348,1427,0,0,0,10241,516.8333333333334,0,1700,71,0,60,0.0,0.0,0,0,2,2,0,0,1.4046143986327708,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,1.4929502243110446,0.0,0,282,38,0,0,1756,1065,0,1649,175,0,36,0,1569,186060,0,1023,9362,0,0,0,332,0,93,0.0,1.0,1378,2PC__ TO__ PB,0,0,0,609.9555555555555,0.10063420402020853,0,0,0.0,0,0.10063420402020853,25087,25087
6,179996,0,85224,9439,0,0,3668.8662698379067,1698.9700614028914,3668.8662698379067,1.3600058312117724,1953.5732222693082,0.6479558839469409,1.251901376E8,1,100000,UNIFORM,1,8.973929169791788,6.648813137128551,16,0,0,3627,45,0,0,1.414754059889233,0,0.0,40,0,false,0,2,0,0,221,714,9439,0,0,0,0,261,43,0,0,1.0,146,0,7035,107,0,0,0,1,SAFE,0,0,141996,0,0,1603,1,663,0,0,0,1858,85224,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1398,110996,0,0.25468799660981034,0,-1.0,0,0.0,0,94663,0,2,0,1664,0,0,true,0,51,0,1.0,1663,0,0,0,2,0,0.0,9439,0,0,0,true,0.7453120033901897,209,0,0,43,0,0,true,3629,1.4996362526987703,1403,0,0,0,10154,525.9055555555556,0,1603,71,0,60,0.0,0.0,0,0,2,2,0,0,1.416251721580676,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,1.5034431613518382,0.0,0,279,39,0,0,1731,1043,0,1622,178,0,36,0,1547,189326,0,1001,9439,0,0,0,310,0,94,0.0,1.0,1425,2PC__ TO__ PB,0,0,0,616.6444444444444,0.09971160854821842,0,0,0.0,0,0.09971160854821842,25086,25086
7,179996,0,85438,9622,0,0,3659.058166389524,1688.2228232753575,3659.058166389524,1.4480834420366084,1930.4292241737685,0.7044113823393847,1.259295984E8,1,100000,UNIFORM,1,8.382907879234168,6.627891415947823,14,0,0,3618,43,0,0,1.4205154615042488,0,0.0,39,0,false,0,2,0,0,215,706,9622,0,0,0,0,261,41,0,0,1.0,143,0,7177,106,0,0,0,1,SAFE,0,0,142880,0,0,1639,1,663,0,0,0,1852,85438,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1404,111470,0,0.25410517563916024,0,-1.0,0,0.0,0,95060,0,2,0,1655,0,0,true,0,53,0,1.0,1653,0,0,0,2,0,0.0,9622,0,0,0,true,0.7458948243608398,204,0,0,43,0,0,true,3620,1.5027388281560898,1395,0,0,0,9954,528.1111111111111,0,1639,71,0,60,0.0,0.0,0,0,2,2,0,0,1.431303263354812,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,1.5058199958428602,0.0,0,276,37,0,0,1743,1039,0,1616,174,0,35,0,1531,190120,0,999,9622,0,0,0,302,0,92,0.0,1.0,1434,2PC__ TO__ PB,0,0,0,619.2777777777778,0.10122028192720386,0,0,0.0,0,0.10122028192720386,25065,25065
